序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,化纤,,,黏胶丝，尼龙，涤纶，氨纶，丙纶,,,,,,,,ABCDEFGH,X161-化纤
2,新乡化纤,黏胶丝-粘胶长丝,河南-新乡,,,,,,,,,ABCDEFGH,X161-化纤
3,吉林化纤,黏胶丝-粘胶长丝,吉林-吉林,,,,,,,,,ABCDEFGH,X161-化纤
4,中泰化学,黏胶丝-黏胶短纤,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,X161-化纤
5,三友化工,黏胶丝-黏胶短纤,河北-唐山,,,,,,,,,ABCDEFGH,X161-化纤
6,恒天海龙,黏胶丝-黏胶短纤,山东-潍坊,,,,,,,,,ABCDEFGH,X161-化纤
7,南京化纤,黏胶丝-黏胶短纤,江苏-南京,,,,,,,,,ABCDEFGH,X161-化纤
8,新乡化纤,黏胶丝-黏胶短纤,,,,,,,,,,ABCDEFGH,X161-化纤
9,恒逸石化,尼龙-尼龙6,广西-钦州,,,,,,,,,ABCDEFGH,X161-化纤
10,鲁西化工,尼龙-尼龙6,山东-聊城,,,,,,,,,ABCDEFGH,X161-化纤
11,海阳科技,尼龙-尼龙6,,,,,,,,,,ABCDEFGH,X161-化纤
12,聚合顺,尼龙-尼龙6,浙江-杭州,,,,,,,,,ABCDEFGH,X161-化纤
13,恒申新材,尼龙-尼龙6,广东-江门,,,,,,,,,ABCDEFGH,X161-化纤
14,神马股份,尼龙-尼龙66,河南-平顶山,,,,,,,,,ABCDEFGH,X161-化纤
15,华峰化学,尼龙-尼龙66,浙江-温州,,,,,,,,,ABCDEFGH,X161-化纤
16,台华新材,尼龙-尼龙66,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
17,华鼎股份,尼龙-尼龙66丝线,浙江-金华,,,,,,,,,ABCDEFGH,X161-化纤
18,台华新材,尼龙-尼龙66丝线,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
19,恒申新材,尼龙-尼龙66丝线,,,,,,,,,,ABCDEFGH,X161-化纤
20,海阳科技,尼龙-尼龙66丝线,,,,,,,,,,ABCDEFGH,X161-化纤
21,桐昆股份,涤纶-涤纶短纤,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
22,新凤鸣,涤纶-涤纶短纤,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
23,恒逸石化,涤纶-涤纶短纤,,,,,,,,,,ABCDEFGH,X161-化纤
24,荣盛石化,涤纶-涤纶短纤,浙江-杭州,,,,,,,,,ABCDEFGH,X161-化纤
25,天富龙,涤纶-涤纶短纤,江苏-扬州,,,,,,,,,ABCDEFGH,X161-化纤
26,华西股份,涤纶-涤纶短纤,江苏-无锡,,,,,,,,,ABCDEFGH,X161-化纤
27,优彩资源,涤纶-涤纶短纤,江苏-无锡,,,,,,,,,ABCDEFGH,X161-化纤
28,江南高纤,涤纶-涤纶短纤,江苏-苏州,,,,,,,,,ABCDEFGH,X161-化纤
29,尤夫股份,涤纶-涤纶短纤,浙江-湖州,,,,,,,,,ABCDEFGH,X161-化纤
30,铜昆股份,涤纶-涤纶长丝,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
31,新凤鸣,涤纶-涤纶长丝,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
32,恒力石化,涤纶-涤纶长丝,辽宁-大连,,,,,,,,,ABCDEFGH,X161-化纤
33,荣盛石化,涤纶-涤纶长丝,浙江-杭州,,,,,,,,,ABCDEFGH,X161-化纤
34,恒逸石化,涤纶-涤纶长丝,,,,,,,,,,ABCDEFGH,X161-化纤
35,东方盛虹,涤纶-涤纶长丝,江苏-苏州,,,,,,,,,ABCDEFGH,X161-化纤
36,海利得,涤纶-涤纶长丝,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
37,尤夫股份,涤纶-涤纶长丝,浙江-湖州,,,,,,,,,ABCDEFGH,X161-化纤
38,苏州龙杰,涤纶-涤纶长丝,江苏-苏州,,,,,,,,,ABCDEFGH,X161-化纤
39,汇隆新材-300,涤纶-涤纶长丝,浙江-湖州,,,,,,,,,ABCDEFGH,X161-化纤
40,海利得,涤纶-涤纶帘子布,浙江-嘉兴,,,,,,,,,ABCDEFGH,X161-化纤
41,恒天海龙,涤纶-涤纶帘子布,潍坊,,,,,,,,,ABCDEFGH,X161-化纤
42,海阳科技,涤纶-涤纶帘子布,江苏-泰州,,,,,,,,,ABCDEFGH,X161-化纤
43,华峰化学,氨纶,浙江-温州,,,,,,,,,ABCDEFGH,X161-化纤
44,新乡化纤,氨纶,,,,,,,,,,ABCDEFGH,X161-化纤
45,泰和新材,氨纶,山东-烟台,,,,,,,,,ABCDEFGH,X161-化纤
46,蒙泰高新-300,丙纶,广东-揭阳,,,,,,,,,ABCDEFGH,X161-化纤
