序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,数据中心分为4类,电气系统,温控系统,IT设备,管理运维,,,,,,1,ABCDEFGH,b-数据中心
2,数据中心-电气系统分为,通信电源,服务器电源,UPS不间断电源,BBU备用电源,变压器,燃气轮机,备用发电机,UPS通常是集中式部署，需要专门的机房来安置，而BBU可以分布式地嵌入服务器机柜内,,1,ABCDEFGH,b-数据中心
3,数据中心-温控系统分为,冷却塔,浸没式液冷,机房空调,温控设备,,,,,,1,ABCDEFGH,b-数据中心
4,数据中心-IT设备分为,服务器,交换机,DAC无源铜缆,AOC有源光缆,AEC有源电缆,,,,,1,ABCDEFGH,数据中心
5,数据中心-管理运维分为,电信运营商,第3方运营商,其他IDC厂商,,,,,,,1,ABCDEFGH,数据中心
6,中恒电气,通信电源,数据中心与通信电源营收6.37亿,浙江杭州,,,,,,,1,ABCDEFGH,b-数据中心
7,动力源,通信电源,数据中心与通信电源营收4.02亿,北京丰台,,,,,,,1,ABCDEFGH,b-数据中心
8,茂硕电源,通信电源,公司产品包括通信电源,深圳,,,,,,,1,ABCDEFGH,b-数据中心
9,科泰电源,柴油发电机组,"柴油发电机组营收占比A股第一,89%,2023年营收9.73亿",上海青浦区,,,,,,,1,ABCDEFGH,数据中心
10,泰豪科技,柴油发电机组,"柴油发电机组营收占比A股第二,41%",江西南昌,,,,,,,1,ABCDEFGH,数据中心
11,潍柴重机,柴油发电机组,"柴油发电机组营收占比A股第三,28%，2023营收10亿",山东潍坊,,,,,,,1,ABCDEFGH,b-数据中心
12,苏美达,柴油发电机组,公司大型柴油发电机业务致力于为数据中心他一共安全可靠的备用电源解决方案,江苏南京,,,,,,,1,ABCDEFGH,b-数据中心
13,金通灵-300,柴油发电机组,公司柴油发电机组主要用于军方装备和通信设备的备用电源,江苏南通,南京金陵山,,,,,,1,ABCDEFGH,b-数据中心
14,凤形股份,柴油发电机组,子公司特种电机产品可应用于数据中心等市场,江西南昌,凤凰镇，隶属江西省吉安市吉安县,,,,,,1,ABCDEFGH,数据中心
15,欧陆通-300,服务器电源,服务器电源营收A股第一，8亿,深圳,,,,,,,1,ABCDEFGH,数据中心
16,麦格米特,服务器电源,英伟达服务器电源供货商,深圳,,,,,,,1,ABCDEFGH,b-数据中心
17,泰嘉股份,服务器电源,公司旗下雅达电子与华为储能和逆变器业务事业部达成初步协议进入OEM业务,湖南长沙,OEM-俗称代工（生产）,,,,,,1,ABCDEFGH,b-数据中心
18,科华数据,UPS不间断电源,不间断电源市占率A股第一，14%,福建厦门,,,,,,,1,ABCDEFGH,b-数据中心
19,科士达,UPS不间断电源,不间断电源市占率A股第二，7%,深圳,,,,,,,1,ABCDEFGH,数据中心
20,英威腾,UPS不间断电源,不间断电源市占率A股第三，5.6%,深圳,中英街,,,,,,1,ABCDEFGH,数据中心
21,蔚蓝锂芯,UPS不间断电源,公司锂电池产品包括BBU（后备 电源）,江苏苏州,蔚来汽车是合肥,,,,,,1,ABCDEFGH,b-数据中心
22,雄韬股份,UPS不间断电源,公司铅酸电池产品主要应用于UPS领域,深圳,,,,,,,1,ABCDEFGH,b-数据中心
23,南都电源-300,UPS不间断电源,公司是国内较早进入不间断电源行业的铅酸电池企业,浙江杭州,南宋时期，杭州升为临安府，并成为南宋都城,,,,,,1,ABCDEFGH,b-数据中心
24,圣阳股份,UPS不间断电源,公司的UPS 高压直流锂电电源系统应用于数据中心机房,山东济宁,圣-至圣，亚圣（孔子，孟子）,,,,,,1,ABCDEFGH,数据中心
25,蔚蓝锂芯,BBU备用电源组,BBU备用电源电池电芯进度A股第一，有向第3方少量出货用于BBU备用电源的电池电芯,江苏苏州,蔚来汽车是合肥,,,,,,1,ABCDEFGH,数据中心
26,欣旺达-300,BBU备用电源组,公司有BBU电池产品，可以更具客户需求进行生产,深圳,,,,,,,1,ABCDEFGH,b-数据中心
27,时代万恒,BBU备用电源组,公司官方显示有展示BBU备用电池产品,辽宁大连,辽宁时代万恒控股集团有限公司（以下简称时代万恒）成立于2008年10月23日，是由1997年改组而成的原辽宁时代集团有限责任公司与1998年成立的辽宁万恒集团有限公司，通过合并重组组建的国有独资公司。,,,,,,1,ABCDEFGH,b-数据中心
28,康盛股份,BBU备用电源组,公司已发布5G BBU 一体式液冷机柜、6U BBU 一体式液冷机柜,浙江杭州,,,,,,,1,ABCDEFGH,b-数据中心
29,海得控制,BBU备用电源组,公司研究储能系统用于算力备用电源,上海闽行区,海-上海,,,,,,1,ABCDEFGH,数据中心
30,特变电工,变压器,电力变压器市占率第一，4.09%,新疆,没想到是新疆的,,,,,,1,ABCDEFGH,数据中心
31,许继电气,变压器,电力变压器市占率第二，1.43%,河南许昌,胖东来的老家,,,,,,1,ABCDEFGH,b-数据中心
32,保变电气,变压器,电力变压器市占率第三，0.91%,河北保定,,,,,,,1,ABCDEFGH,b-数据中心
33,顺钠股份,变压器,电力变压器市占率第四，0.54%,广东佛山,,,,,,,1,ABCDEFGH,b-数据中心
34,中国西电,变压器,电力变压器市占率第五，0.31%,陕西西安,,,,,,,1,ABCDEFGH,数据中心
