序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,潮宏基,汕尾,黄金,潮汕地区位于广东省东南沿海，具体包括汕头市、潮州市、揭阳市三市，广义上还包括汕尾市,,,,,,,,ABCDEFGH,
2,,,,,,,,,,,,ABCDEFGH,
3,,,,,,,,,,,,ABCDEFGH,
4,,,,,,,,,,,,ABCDEFGH,
5,,,,,,,,,,,,ABCDEFGH,
6,,,,,,,,,,,,ABCDEFGH,
7,,,,,,,,,,,,ABCDEFGH,
8,,,,,,,,,,,,ABCDEFGH,
9,,,,,,,,,,,,ABCDEFGH,
10,,,,,,,,,,,,ABCDEFGH,
11,,,,,,,,,,,,ABCDEFGH,
12,,,,,,,,,,,,ABCDEFGH,
13,,,,,,,,,,,,ABCDEFGH,
14,,,,,,,,,,,,ABCDEFGH,
15,,,,,,,,,,,,ABCDEFGH,
16,,,,,,,,,,,,ABCDEFGH,
17,,,,,,,,,,,,ABCDEFGH,
18,,,,,,,,,,,,ABCDEFGH,
19,,,,,,,,,,,,ABCDEFGH,
20,,,,,,,,,,,,ABCDEFGH,
21,,,,,,,,,,,,ABCDEFGH,
22,,,,,,,,,,,,ABCDEFGH,
23,,,,,,,,,,,,ABCDEFGH,
24,,,,,,,,,,,,ABCDEFGH,
25,,,,,,,,,,,,ABCDEFGH,
26,,,,,,,,,,,,ABCDEFGH,
27,,,,,,,,,,,,ABCDEFGH,
28,,,,,,,,,,,,,
