序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,数据中心电力设备包含：,变压器,电源,柴油发电机组,柴油发电机部件,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
2,电源分为,UPS不间断电源,BBU备用电源组,高压直流系统,电池BMS,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
3,柴油发电机部件,柴油发电机,缸体,曲柄连杆,配气系统,燃油供给系统,冷却系统,,,,1,ABCDEFGH,b1-数据中心-电力设备
4,特变电工,变压器,电力变压器市占率第一，4.09%， 已经应用于东莞安华、华为、浩云长盛宁夏中卫3号等数据中心,新疆-昌吉,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
5,许继电气,变压器,电力变压器市占率第二，1.43%，已应用于百度云、世纪互联香山、万国数据廊坊、中原大数据中心等项目,河南-许昌,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
6,保变电气,变压器,电力变压器市占率第3 ,保定,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
7,顺钠股份,变压器,电力变压器市占率第4， 已应用于阿里巴巴杭州智算中心，秦淮数据中心、乌兰察布算力基地等,广东-佛山,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
8,北京科锐,变压器,电力变压器市占率第5，已应用于阿里巴巴数据中心,北京,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
9,中国西电,变压器,电力变压器市占率第5，已应用于东数西算贵安数据中心、马来西亚柔佛州数据中心等,西安,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
10,三变科技,变压器,电力变压器市占率第6，,浙江台州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
11,伊戈尔,变压器,电力变压器市占率第6，已应用于阿里云，腾讯云等数据中心,广东-佛山,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
12,九洲集团-300,变压器,公司产品包含变压器,黑龙江-哈尔滨,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
13,扬电科技-301,变压器,国内较早生产非晶变压器的企业,江苏-泰州,扬电科技的发展历史最早可以追溯到1993年5月，集体企业 泰县扬动物资公司,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
14,望变电气,变压器,变压器原材料取向硅钢销售龙头企业,重庆,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
15,明阳电气,变压器,变压器营收6.9亿,广东-中山,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
16,欧陆通-300,服务器电源,服务器电源营收A股第一，8.1亿,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
17,麦格米特,服务器电源,英伟达服务器电源供货商,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
18,泰嘉股份,服务器电源,公司旗下雅达电子已与华为储能和逆变器业务事业部达成初步OEM业务,湖南长沙,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
19,奥海科技,服务器电源,公司的服务器电源产品主要用于AI服务器和数据中心服务器等,广东-东莞,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
20,科华数据,UPS不间断电源,不间断电源市占率A股第一，14.9%,福建厦门,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
21,科士达,UPS不间断电源,不间断电源市占率A股第二，7.3%,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
22,英威腾,UPS不间断电源,不间断电源市占率A股第三，5.6%,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
23,蔚蓝锂芯,UPS不间断电源,公司锂电池产品包括BBU（）后备电源,苏州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
24,雄韬股份,UPS不间断电源,公司铅酸电池主要应用于UPS领域,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
25,南都电源,UPS不间断电源,公司是国内较早进入不间断电源行业的铅酸电池企业,杭州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
26,圣阳股份,UPS不间断电源,公司的UPS高压直流锂电电源系统应用于数据中心机房,济宁,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
27,天正电气,UPS不间断电源,公司的直流熔断器作为合作伙伴的配套产品已供货于客户腾讯、百度的高压直流系统电源产品,浙江温州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
28,奥特迅,UPS不间断电源,公司的电源产品有供货于阿里巴巴数据中心,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
29,蔚蓝锂芯,BBU备用电源组,BBU备用电源电池电芯 进度A股第一，有向第3方少量出货用于BBU备用电源的电池电芯,苏州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
30,时代万恒,BBU备用电源组,公司官网展示BBU备用电源电池产品,辽宁大连,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
31,欣旺达-300,BBU备用电源组,公司有BBU 电池产品，可以更具客户需求进行生产,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
32,康盛股份,BBU备用电源组,公司已发布5G BBU 一体式 液冷机柜，6U bbu 一体式液冷机柜,杭州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
33,华塑科技,BBU备用电源组,公司产品包括后备电池BMS（后备电池管理）,杭州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
34,海得控制,BBU备用电源组,公司研究储能系统用于算力,上海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
35,科信技术-300,BBU备用电源组,公司数据中心产品主要包括智能微模块数据中心，封闭冷通道，IDC机柜等产品。,深圳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
36,中恒电气,高压直流系统,高压直流系统HVDC市占率第一，28%,杭州,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
37,动力源,高压直流系统,高压直流系统HVDC市占率第二，19.35%,北京,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
38,铭普光磁,高压直流系统,高压直流系统HVDC市占率第三，10.6%,东莞,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
39,茂硕电源,高压直流系统,公司产品包括通信电源,深圳,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
40,万控智造,高压直流系统,公司产品包括数据中心： 环网柜,浙江-温州,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
41,柘中股份,高压直流系统,公司生产的成套开关设备可用于数据中心,上海,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
42,麦格米特,高压直流系统,800V  HVDC 解决方案有望供货英伟达,深圳,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
43,禾望电气,高压直流系统,HVDC解决方案有望供货海外,深圳,高压直流输电（HVDC）,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
44,华塑科技-300,电池BMS,数据中心电池安全监控设备市占率国内第一,杭州,,BMS‌（Battery Management System，电池管理系统）是一个嵌入式系统，用于监控和管理电池的各种参数，确保电池单元保持在安全的工作范围内,,,,,1,ABCDEFGH,b1-数据中心-电力设备
45,东软载波,电池BMS,公司只会能源管理平台可应用于数据中心能源管理,青岛,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
46,江海股份,超级电容,超级电容国内市场市占率A股第一，9%,江苏-南通,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
47,元力股份-300,超级电容,关键原料，公司超级电容炭 产能750吨/年,福建-南平,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
48,美锦能源,超级电容,关键原料，公司超级电容炭 产能10顿/年,山西-太原,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
49,祥和实业,超级电容,部件，公司产品包括超级电容用的：橡胶密封塞,浙江-台州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
50,东阳光,超级电容,部件，公司产品包括超级电容电池材料，且超级电容器生产基地建设正在规划中,广东-韶关,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
51,思源电气,超级电容,控股公司烯晶碳能 主要产品包括双电层 超级电容,上海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
52,新筑股份,超级电容,子公司奥威科技 建成我国唯一 “国家车用超级电容”器系统工程技术研究中心 ,四川成都,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
53,康盛股份,超级电容,参股公司天津普兰 纳米科技产品包括超级电容器,杭州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
54,泰尔股份,超级电容,控股公司众迈科技产品包括超级电容器,安徽-马鞍山,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
55,北京科锐,超级电容,控股子公司北京科锐博润研发超级电容充电装置,北京,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
56,科泰电源-300,柴油发电机组,柴油发电机组营收占比A股第一，89%；,上海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
57,泰豪科技,柴油发电机组,柴油发电机组营收占比A股第二， 41.84%,江西南昌,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
58,潍柴重机,柴油发电机组,柴油发电机组营收占比A股第三。,,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
59,苏美达,柴油发电机组,公司大型柴油发电机业务致力于为数据中心提供安全可靠的备用电源解决方案。,江苏南京,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
60,金通灵-300,柴油发电机组,公司柴油发电机组主要以逸待劳用于军方转呗和通信设备的备用电源,江苏南通,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
61,凤形股份,柴油发电机组,子公司特种电机产品可应用于数据中心等市场；,江西-南昌,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
62,潍柴动力,部件-柴油发动机,多缸柴油机市占率A股第一，14%,,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
63,全柴动力,部件-柴油发动机,多缸柴油机市占率A股第二，9.47%,安徽滁州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
64,云内动力,部件-柴油发动机,多缸柴油机市占率A股第三，8.88%,云南-昆明,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
65,新柴股份-300,部件-柴油发动机,多缸柴油机市占率A股第四，6.58%,浙江绍兴,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
66,动力新科,部件-柴油发动机,多缸柴油机市占率A股第五，4.4%,上海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
67,苏常柴A,部件-柴油发动机,单杠柴油机市占率国内第一,常州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
68,长源东谷,部件-缸体,缸体缸盖营收占比A股第一，86%，供货玉柴，康明斯等。,湖北-襄阳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
69,华丰股份,部件-缸体,公司产品包括缸体、气缸盖、曲轴箱等集体部件,潍坊,百年企业，国内最早生产柴油发动机,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
70,天润工业,部件-曲柄连杆,曲轴连杆市占率国内第一，超60%，供货潍柴，康明斯,威海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
71,渤海汽车,部件-曲柄连杆,活塞市占率国内第一，35%，供货潍柴、玉柴,滨州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
72,北特科技,部件-曲柄连杆,减震器活塞杆市占率国内第一，超50%，主要为汽车使用,上海,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
73,新坐标,部件-配气系统,配气系统营收占比A股第一，87%,杭州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
74,密封科技-300,部件-配气系统,密封垫营收占比A股第一，80%，间接参与配戏机构密封环节，配套潍柴，一汽,烟台,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
75,全柴动力,部件-配气系统,公司配气系统相关产品主要应用于其发动机产品,安徽滁州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
76,湘油泵,部件-燃油供给系统,柴油机油泵营收占比A股第一，31%，配套康明斯，潍柴，卡特彼得,湖南-衡阳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
77,威孚高科,部件-燃油供给系统,燃油喷射系统营收占比A股第一，45%，柴油喷射系统包括高压油泵，高压油轨,江苏无锡,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
78,飞龙股份,部件-冷却系统,关联度第一，公司产品包括柴油机冷却系统适配大功率柴油机，供货潍柴,河南-南阳,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
79,雪龙集团,部件-冷却系统,公司产品包括 柴油机冷却风扇,浙江宁波,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
80,银轮股份,部件-冷却系统,公司产品包括机油冷却器用于柴油机润滑系统，供货卡特彼勒，康明斯等,浙江台州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
81,川环科技,部件-冷却系统,冷却系统软管营收占比A股第一，62.3%,四川-达州,,,,,,,1,ABCDEFGH,b1-数据中心-电力设备
