序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,环保AIDC分为：,垃圾焚烧供电， 溴化锂余热制冷,环保AIDC （人工智能数据中心） 是一种深度融合绿色低碳理念与数字技术的新型基础设施，旨在通过能源高效利用、低碳技术集成和资源循环模式创新，实现算力服务与可持续发展的协同推进。,,xiu 溴化锂,,,,,,,ABCDEFGH,b2-环保AIDC
2,瀚蓝环境,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第一，7.35顿/天，产能分布广东,广东-佛山,,,,,,,,ABCDEFGH,b2-环保AIDC
3,三峰环境,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第二，4.15万吨、产能分布在重庆,重庆,,,,,,,,ABCDEFGH,b2-环保AIDC
4,绿色动力,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第三，4.03万吨/天， 产能分布在全国,深圳,,,,,,,,ABCDEFGH,b2-环保AIDC
5,上海环境,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第四，3.87万吨/天，产能分布在上海,上海,,,,,,,,ABCDEFGH,b2-环保AIDC
6,伟明环保,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第五，3.6万吨/天，产能分布在长三角,浙江-温州,,,,,,,,ABCDEFGH,b2-环保AIDC
7,永兴股份,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第六，3.21万吨/天，产能分布在广州,广州,,,,,,,,ABCDEFGH,b2-环保AIDC
8,旺能环境,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第七，2.19万吨/天，产能分布在浙江，湖北，四川，安徽，广东等,浙江-潮州,,,,,,,,ABCDEFGH,b2-环保AIDC
9,圣元环保-300,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第八，1.39万吨/天，产能分布在福建，山东,福建-厦门,,,,,,,,ABCDEFGH,b2-环保AIDC
10,中科环保-300,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第九，1.05万吨/天，产能分布在浙江，四川，广西,北京,,,,,,,,ABCDEFGH,b2-环保AIDC
11,军信股份,环保AIDC-垃圾焚烧供电,"垃圾焚烧能力A股第十，0.78万吨/天,产能分布在长沙",湖南-长沙,,,,,,,,ABCDEFGH,b2-环保AIDC
12,天源环保,环保AIDC-垃圾焚烧供电,垃圾焚烧能力A股第十一，0.5万吨/天,湖北武汉,,,,,,,,ABCDEFGH,b2-环保AIDC
13,双良节能,环保AIDC-溴化锂余热制冷,关联度第一，公司产品包括溴化锂制冷机，溴冷机技术通过吸收式制冷实现低品位余热提效，适配数据中心,江苏-无锡,,,,,,,,ABCDEFGH,b2-环保AIDC
14,富春环保,环保AIDC-溴化锂余热制冷,子公司铂瑞南昌、东港热电灯运用溴化锂制冷技术，可用于数据中心,杭州,,,,,,,,ABCDEFGH,b2-环保AIDC
15,冰轮环境,环保AIDC-溴化锂余热制冷,公司进行溴化锂吸收式水源热泵研发,山东-烟台,,,,,,,,ABCDEFGH,b2-环保AIDC
