序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,英伟达GB200,高速铜缆，电磁屏蔽，HDI电路板,,扇出型封装,电源,芯片测试,代工,,,,,ABCDEFGH,b3-英伟达
2,供货商和供应商的区别, 供货商：主要服务于生产企业，为他们提供生产所需的原材料、设备等资源，以支持企业的生产活动。,供应商：主要服务于零售商，为他们提供商品和服务，以满足零售市场的需求。,,,,,,,,,ABCDEFGH,b3-英伟达
3,高速铜缆分为：,供货商,背板连接器,DAC转化器,,,,,,,,ABCDEFGH,b3-英伟达
4,神宇股份-300,高速铜缆-供货商,安费诺供应商，提供高端高速数据线,江苏-无锡,,,,,,,,ABCDEFGH,b3-英伟达
5,安费诺是什么,"   安费诺集团创立于1932年，是全球顶尖的连接器制造商，也是纳斯达克行业领军公司，在全球设立了100多家分公司，员工总数逾7万人，2024年位列美国《财富》500强企业325名。

 

      ",安费诺总部位于美国康涅狄格州，集团在全球实施本地化战略，共在全球设立100多家工厂/办事处，全球员工总数逾90，000人，直接为各大洲的客户提供产品和实施本地化服务。目前，在中国的事业部多达50多家以上。,,,,,,,,,ABCDEFGH,b3-英伟达
6,沃尔核材,高速铜缆-供货商,安费诺供应商，提供高速通信线,深圳,,,,,,,,ABCDEFGH,b3-英伟达
7,博威合金,高速铜缆-供货商,安费诺供应商，提供铜合金原材料,浙江-宁波,,,,,,,,ABCDEFGH,b3-英伟达
8,鼎通科技-688,高速铜缆-供货商,安费诺供应商，提供高速线缆连接头,广东-东莞,,,,,,,,ABCDEFGH,b3-英伟达
9,维科精密,高速铜缆-供货商,安费诺供应商，提供通讯连接器及零部件,上海,,,,,,,,ABCDEFGH,b3-英伟达
10,新亚电子,高速铜缆-供货商,安费诺供应商，提供优质高频数据线,浙江-温州,,,,,,,,ABCDEFGH,b3-英伟达
11,奕东电子-300,高速铜缆-供货商,安费诺供应商，提供连接器组件,广东-东莞,,,,,,,,ABCDEFGH,b3-英伟达
12,楚江新材,高速铜缆-供货商,安费诺供应商，提供铜带及铜导体,安徽-芜湖,,,,,,,,ABCDEFGH,b3-英伟达
13,胜蓝股份-300,高速铜缆-供货商,安费诺供应商之一,广东-东莞,,,,,,,,ABCDEFGH,b3-英伟达
14,宝胜股份,高速铜缆-供货商,安费诺供应商之一,江苏-扬州,,,,,,,,ABCDEFGH,b3-英伟达
15,华丰科技-688,高速铜缆-背板连接器,华为高速连接器核心供应商,四川-绵阳,,,,,,,,ABCDEFGH,b3-英伟达
16,得润电子,高速铜缆-背板连接器,连接器应收第一，77亿，家电与消费电子,深圳,,,,,,,,ABCDEFGH,b3-英伟达
17,胜蓝股份-300,高速铜缆-背板连接器,连接器应收第二，11亿，消费单子与汽车,广东-东莞,,,,,,,,ABCDEFGH,b3-英伟达
18,陕西华达-300,高速铜缆-背板连接器,连接器营收第三，5亿，军用,陕西-西安,,,,,,,,ABCDEFGH,b3-英伟达
19,创益通-300,高速铜缆-背板连接器,连接器营收第四，4.3亿，消费电子与存储产品,深圳,,,,,,,,ABCDEFGH,b3-英伟达
20,立讯精密,高速铜缆-DAC转换器,DAC转化器综合实力第一,深圳,,,,,,,,ABCDEFGH,b3-英伟达
21,DAC转换器是什么,数模转换器，又称D/A转换器，简称DAC，它是把数字量转变成模拟的器件,,,,,,,,,,ABCDEFGH,b3-英伟达
22,兆龙互连-300,高速铜缆-DAC转换器,DAC转化器综合实力第二,浙江-湖州,,,,,,,,ABCDEFGH,b3-英伟达
23,金信诺,高速铜缆-DAC转换器,DAC转换器综合实力第三,深圳,,,,,,,,ABCDEFGH,b3-英伟达
