序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,星际之门,美国 星际之门 是美国政府与科技巨头联合发起的人工智能基础设施超级项目，旨在通过大规模投资建设数据中心和算力设施，巩固美国在AI领域的全球领导地位,中国星际之门主要分为 政府，企业，集群,,,,,,,,,ABCDEFGH,b4-星际之门
2,深桑达A-300,政府-央企,深圳,实控人为中国电子信息产业集团，旗下有中国电子云,,,,,,,,ABCDEFGH,b4-星际之门
3,易华录,政府-央企,北京-石景山,实控人为华录集团，旗下又数据湖数据中心,,,,,,,,ABCDEFGH,b4-星际之门
4,紫光股份,政府-央企,北京,实控人为教育部，旗下有云平台紫鸾平台，绿洲平台,,,,,,,,ABCDEFGH,b4-星际之门
5,歌华有线,政府-央企,北京,实控人为中国光电，旗下又云平台 歌华政企云,,,,,,,,ABCDEFGH,b4-星际之门
6,中国电信,政府-央企,北京,公有云国内市占率第一，天翼云,,,,,,,,ABCDEFGH,b4-星际之门
7,中国移动,政府-央企,北京 ,公有云国内市占率第二，移动云,,,,,,,,ABCDEFGH,b4-星际之门
8,中国联通,政府-央企,北京,公有云国内市占率第三，联通云 ,,,,,,,,ABCDEFGH,b4-星际之门
9,铜牛信息,政府-北京,北京,实控人为北京国资委，IDC 服务营收占比89%,,,,,,,,ABCDEFGH,b4-星际之门
10,常山北明,政府-河北,河北-石家庄,实控人为石家庄国资委，旗下有云平台 -常山云,,,,,,,,ABCDEFGH,b4-星际之门
11,杭钢股份,政府-浙江,杭州,实控人为浙江国资委，旗下有杭钢云计算数据中心,,,,,,,,ABCDEFGH,b4-星际之门
12,云赛智联,政府-上海,上海,实控人上海国资委，云计算大数据业务营收占比56%,,,,,,,,ABCDEFGH,b4-星际之门
13,湘邮科技,政府-湖南,湖南-长沙,实控人为中国邮政，办公地为常山，旗下有云平台-湘油云,,,,,,,,ABCDEFGH,b4-星际之门
14,广电运通,政府-广东,广州,实控人广东国资委，旗下有云平台 -运通云,,,,,,,,ABCDEFGH,b4-星际之门
15,荣联科技,政府-山东,山东-济宁,实控人济宁高新区国资委，IT服务中包含云托管、云管理服务,,,,,,,,ABCDEFGH,b4-星际之门
16,美利云,政府-宁夏,宁夏-中卫,实控人为中国诚通控股集团，办公地为宁夏，旗下中卫数据中心位于宁夏中卫市,,,,,,,,ABCDEFGH,b4-星际之门
17,南天信息,政府-云南,云南-昆明,实控人为云南省国资委，公司为云南国资控股为一IT上市平台，旗下有云南云上云平台,,,,,,,,ABCDEFGH,b4-星际之门
18,川网传媒,政府-四川,四川-成都,实控人为四川省委宣传部，旗下有云平台-川网云,,,,,,,,ABCDEFGH,b4-星际之门
19,拓维信息,企业-华为,湖南-长沙,公司第一大采购客户为华为，采购占比63%,,,,,,,,ABCDEFGH,b4-星际之门
20,常山北明,企业-华为,河北-石家庄,公司第一大采购客户为华为，占比14.88%,,,,,,,,ABCDEFGH,b4-星际之门
21,科华数据,企业-腾讯,福建-厦门,腾讯数据中心核心供应商,,,,,,,,ABCDEFGH,b4-星际之门
22,数据港,企业-阿里,上海,阿里为公司第一大客户，营收占比92%,,,,,,,,ABCDEFGH,b4-星际之门
23,锐捷网络-300,企业-阿里,福建-福州,阿里为公司第一大客户，营收占比17%,,,,,,,,ABCDEFGH,b4-星际之门
24,润建股份,企业-阿里,广西-南宁,与阿里合作建设中国-东盟智算云项目,,,,,,,,ABCDEFGH,b4-星际之门
25,杭钢股份,企业-阿里,杭州,与阿里云合作建设浙江云计算数据中心项目,,,,,,,,ABCDEFGH,b4-星际之门
26,光环新网-300,企业-字节,北京-门头沟,字节为公司第一大客户，营收占比64%,,,,,,,,ABCDEFGH,b4-星际之门
27,润泽科技,企业-字节,河北-廊坊,字节为公司第一大客户，营收占比60%,,,,,,,,ABCDEFGH,b4-星际之门
28,浪潮信息,企业-字节,济南,字节为公司第一大客户，营收占比22%,,,,,,,,ABCDEFGH,b4-星际之门
29,数字政通-300,企业-小米,北京,金山云为公司第5大客户,,,,,,,,ABCDEFGH,b4-星际之门
30,平治信息-300,企业-小米,浙江-杭州,公司与金山云签订算力合作合同,,,,,,,,ABCDEFGH,b4-星际之门
31,大位科技,企业-小米,广东-揭阳,子公司森华易腾 在手订单包括与小米科技、金山云等,,,,,,,,ABCDEFGH,b4-星际之门
32,奥飞数据-300,企业-百度,广州,百度为公司第一大客户，营收占比22%,,,,,,,,ABCDEFGH,b4-星际之门
33,亚康股份-300,企业-百度,北京-大兴,百度为公司第四大客户，营收占比4.5%,,,,,,,,ABCDEFGH,b4-星际之门
34,奥飞数据-300,集群-京津冀,广州,北京酒仙桥数据中心、北京德昇数据中心，廊坊数据中心,,,,,,,,ABCDEFGH,b4-星际之门
35,光环新网-300,集群-京津冀,北京-门头沟,北京亦庄绿色数据中心,,,,,,,,ABCDEFGH,b4-星际之门
36,数据港,集群-京津冀,上海,张北数据中心,,,,,,,,ABCDEFGH,b4-星际之门
37,科华数据,集群-京津冀,福建-厦门,北京科中数据中心,,,,,,,,ABCDEFGH,b4-星际之门
38,大位科技,集群-京津冀,广东-揭阳,张北榕泰算力数据中心,,,,,,,,ABCDEFGH,b4-星际之门
39,云赛智联,集群-长三角,上海,松江、宝山数据中心,,,,,,,,ABCDEFGH,b4-星际之门
40,朗科科技-300,集群-粤港澳,深圳,韶关数据中心,,,,,,,,ABCDEFGH,b4-星际之门
41,甘咨询,集群-甘肃枢纽,甘肃-兰州,参股丝绸之路信息港，参与庆阳算力调度平台建设,,,,,,,,ABCDEFGH,b4-星际之门
42,弘信电子-300,集群-甘肃枢纽,福建-厦门,公司与燧原科技合作建设庆阳智算中心,,,,,,,,ABCDEFGH,b4-星际之门
43,亿田智能-300,集群-甘肃枢纽,浙江-绍兴,全资子公司甘肃亿算 主导庆阳智算中心,,,,,,,,ABCDEFGH,b4-星际之门
44,贵广网络,集群-贵阳枢纽,贵州-贵阳,参股东数西算（贵州）产业有限公司30%股权,,,,,,,,ABCDEFGH,b4-星际之门
45,启明星辰,集群-贵阳枢纽,北京,公司在贵州枢纽节点提供网络安全及算力服务,,,,,,,,ABCDEFGH,b4-星际之门
46,依米康-300,集群-贵阳枢纽,四川-成都,公司为成渝枢纽提供数据中心节能解决方案,,,,,,,,ABCDEFGH,b4-星际之门
47,润泽科技,集群-成渝枢纽,河北-廊坊,已在成渝经济圈，重庆布局AIDC智算基础设施群,,,,,,,,ABCDEFGH,b4-星际之门
48,奥飞数据-300,集群-成渝枢纽,广州,成都双流数据中心,,,,,,,,ABCDEFGH,b4-星际之门
49,美利云,集群-宁夏枢纽,宁夏-中卫,宁夏中卫数据中心,,,,,,,,ABCDEFGH,b4-星际之门
50,宁夏建材,集群-宁夏枢纽,宁县-银川,中建材大数据中心,,,,,,,,ABCDEFGH,b4-星际之门
51,城地香江,集群-内蒙枢纽,上海,参与中国移动呼和浩特数据中心·50MW机电资源服务,,,,,,,,ABCDEFGH,b4-星际之门
52,光环新网-300,集群-内蒙枢纽,北京-门头沟,公司与和林格尔新区智算中心形成同城双中心,,,,,,,,ABCDEFGH,b4-星际之门
