序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,机器人分为,华为，,宇树,达闼,夸父,天工,其他厂商,自研,,,,ABCDEFGH,c1-国内机器人
2,赛力斯,华为,重庆,赛力斯近期发布了大量机器人相关岗位,,,,,,,,ABCDEFGH,c1-国内机器人
3,科力尔,华为,湖南-永州,关联度A股第一，中标华为伺服电机系统订单,,,,,,,,ABCDEFGH,c1-国内机器人
4,柯力传感,华为,浙江-宁波,关联度A股第二，六维传感器已交付华为,,,,,,,,ABCDEFGH,c1-国内机器人
5,亿嘉和,华为,江苏-南京,关联度A股第三，与华为云机器人平台开展技术架构交流合作,,,,,,,,ABCDEFGH,c1-国内机器人
6,卧龙电驱,宇树,浙江绍兴,公司持股宇树科技0.14%股份,,,,,,,,ABCDEFGH,c1-国内机器人
7,精工科技,宇树,浙江-绍兴,公司持股宇树科技0.05%股份,,,,,,,,ABCDEFGH,c1-国内机器人
8,朗科智能-300,宇树,广东-深圳,公司持股宇树科技0.04%股份,,,,,,,,ABCDEFGH,c1-国内机器人
9,雪龙集团,宇树,浙江宁波,公司持股宇树科技0.03%股份,,,,,,,,ABCDEFGH,c1-国内机器人
10,中际旭创-300,宇树,烟台,公司持股宇树科技0.03%股份,,,,,,,,ABCDEFGH,c1-国内机器人
11,景兴纸业,宇树,浙江-嘉兴,公司持股宇树科技0.0.2%股份,,,,,,,,ABCDEFGH,c1-国内机器人
12,荣晟环保,宇树,浙江-嘉兴,公司持股宇树科技0.02%股份,,,,,,,,ABCDEFGH,c1-国内机器人
13,吉华集团,宇树,浙江-杭州,公司持股宇树科技0.02%股份,,,,,,,,ABCDEFGH,c1-国内机器人
14,长盛轴承,宇树-合作商,浙江-嘉兴,合作商，为宇树科技提供样品,,,,,,,,ABCDEFGH,c1-国内机器人
15,盛通股份,宇树-合作商,北京,合作商-与宇树科技智能机器狗合作,,,,,,,,ABCDEFGH,c1-国内机器人
16,启明星辰,达闼-参股,北京,参股达闼机器人1.684%股份,"达闼机器人是一家上海本土机器人独角兽企业，成立于2018年，于2023年完成了C轮融资，交易金额超10亿元。天眼查数据显示，达闼机器人背后股东包括上海国盛集团(上海国有资本运营平台公司)、软银愿景基金、珠海格力、博将资本、启明星辰、金地集团等。
达闼机器人的“特色”在于云端机器人(云脑+安全网+机器人)架构，即通过5G网络把云端大脑和机器人的身体连接起来，把所有物理世界建模放在了数据孪生体系，让人工智能做外挂，去控制虚拟的机器人，同时让虚拟的机器人和实体的机器人同步。其开发了多模态人工智能大模型RobotGPT，致力于将RobotGPT接入更多机器人。",,,,,,,ABCDEFGH,c1-国内机器人
17,金地集团,达闼-参股,深圳,参股达闼机器人1.5065%股份,,,,,,,,ABCDEFGH,c1-国内机器人
18,夏厦精密,达闼-供货,浙江-宁波,已经向达闼科技送样人性服务机器人关节减速器,,,,,,,,ABCDEFGH,c1-国内机器人
19,朗特智能-300,达闼-供货,深圳,已经向达闼科技供货PCBA,,,,,,,,ABCDEFGH,c1-国内机器人
20,平治信息-300,达闼-供货,杭州,与达闼科技签署合作协议打造3C工厂智能转配线，具身智能大模型,,,,,,,,ABCDEFGH,c1-国内机器人
21,大众公用,夸父-参股,上海,参股了乐聚的股东深创投,"乐聚公司是一家老牌人形机器人公司，创立于2016年3月，腾讯、深创投均为乐聚公司的股东。其总部位于深圳，同时在哈尔滨及杭州设有研发及生产基地，核心成员来自哈工大博士团队。
夸父机器人是该公司最新一代的人形机器人，发布于2023年12月，是国内首款可跳跃、可适应多地形行走的开源鸿蒙人形机器人，重约45kg，全身26个自由度，行走速度最高可达4.6km/h，可快速连续跳跃跳跃高度超20cm，搭载自研一体化关节和深度摄像头，可实现全方位视觉感知。",,,,,,,ABCDEFGH,c1-国内机器人
22,蓝黛科技,夸父-参股,重庆,公司拟通过投资持股泉智博4.34%股权，乐聚机器人为泉智博股东,,,,,,,,ABCDEFGH,c1-国内机器人
23,海尔智家,夸父-合作商,青岛,夸父机器人为公司联合开发产品,,,,,,,,ABCDEFGH,c1-国内机器人
24,富佳股份,夸父-合作商,浙江-宁波,子公司为乐聚机器人代工各类线路板,,,,,,,,ABCDEFGH,c1-国内机器人
25,京城股份,天工-参股,北京,实控人京城机电持股北京人形机器人创新中心比例第一，28%,北京人形机器人中心由四家公司组建构成;分为占股28.57%的京城机电、28.57%的优必选、28.57%的小米机器人以及14.28%的北京亦庄机器人。,,,,,,,ABCDEFGH,c1-国内机器人
26,麦克奥迪-300,天工-参股,福建-厦门,实控人亦庄投资持股北京人形机器人创新中心比例A股第二，14%,,,,,,,,ABCDEFGH,c1-国内机器人
27,天奇股份,天工-参股,江苏-无锡,公司与优必选合资成立优奇智能主要从事机器人业务，公司持股30%，优必选持股36%,,,,,,,,ABCDEFGH,c1-国内机器人
28,珠城科技-300,天工-供货,浙江温州,优必选供货商，独家供货机器人连接器,,,,,,,,ABCDEFGH,c1-国内机器人
29,祥鑫科技,天工-供货,东莞,优必选供应商，提供金属结构件,,,,,,,,ABCDEFGH,c1-国内机器人
30,三花智控,天工-供货,浙江绍兴,优必选供货商，提供人形机器人关节总成供应,,,,,,,,ABCDEFGH,c1-国内机器人
31,中科创达-300,天工-供货,北京,优必选供货商，提供智能平台技术,,,,,,,,ABCDEFGH,c1-国内机器人
32,丰立智能-300,天工-供货,台州,提供机器人谐波减速器以及齿轮箱,,,,,,,,ABCDEFGH,c1-国内机器人
33,鸣志电器,天工-供货,上海,提供机器人步进电机,,,,,,,,ABCDEFGH,c1-国内机器人
34,雷赛智能,天工-供货,深圳,提供机器人无刷空心杯电机,,,,,,,,ABCDEFGH,c1-国内机器人
35,三花智控,智元-参股,绍兴,公司母公司三花控股集团参与智元机器人A+轮融资,,,,,,,,ABCDEFGH,c1-国内机器人
36,均普智能,智元-合作商,浙江宁波,签署合作协议向智元机器人全面开放智能生产场景,,,,,,,,ABCDEFGH,c1-国内机器人
37,上海电气,青龙-参股,上海,参股人形机器人上海有限公司,,,,,,,,ABCDEFGH,c1-国内机器人
38,张江高科,青龙-参股,上海,参股人形机器人上海有限公司,,,,,,,,ABCDEFGH,c1-国内机器人
39,东方精工,嘉腾-参股,佛山,公司直接参股嘉腾机器人，参股比例19.83%,,,,,,,,ABCDEFGH,c1-国内机器人
40,亿嘉和,特种机器人,江苏-南京,电力特种机器人营收A股第一，4亿,,,,,,,,ABCDEFGH,c1-国内机器人
41,建设工业,特种机器人,云南-昆明,公司产品包括多功能足式机器人、小型室内清剿机器人、小型智能察打机器人,,,,,,,,ABCDEFGH,c1-国内机器人
42,内蒙一机,特种机器人,内蒙-包头,公司两栖无人查险机器人系列产品目前已完成研制。,,,,,,,,ABCDEFGH,c1-国内机器人
43,青鸟消防,特种机器人,青岛,参股公司产品包括全地形脉冲雾化灭火机器人,,,,,,,,ABCDEFGH,c1-国内机器人
44,星网宇达,特种机器人,北京,公司推出AI机器人教练,,,,,,,,ABCDEFGH,c1-国内机器人
45,华荣股份,特种机器人,上海,公司与天创机器人正式签署战略合作协议，双方将在防爆机器人，人工智能产品、海外市场发展等方面展开深度合作。,,,,,,,,ABCDEFGH,c1-国内机器人
46,埃斯顿,工业机器人,南京,国产工业 机器人国内出货量第一,,,,,,,,ABCDEFGH,c1-国内机器人
47,汇川技术-300,工业机器人,深圳,国产工业机器人国内出货量第三,,,,,,,,ABCDEFGH,c1-国内机器人
48,新时达,工业机器人,上海,国产工业机器人国内出货量第四,,,,,,,,ABCDEFGH,c1-国内机器人
49,克来机电,工业机器人,上海,工业机器人营收4.08亿,,,,,,,,ABCDEFGH,c1-国内机器人
50,博实股份,工业机器人,哈尔滨,工业机器人营收1.35亿,,,,,,,,ABCDEFGH,c1-国内机器人
51,泰尔股份,工业机器人,安徽-马鞍山,公司拥有包装、贴标等工业机器人,,,,,,,,ABCDEFGH,c1-国内机器人
52,金奥博,工业机器人,深圳,各类并联机器人和六轴多关节机器人,,,,,,,,ABCDEFGH,c1-国内机器人
53,福达股份,工业机器人,广西-桂林,关键零部件产品的研发，积极拓展机器人减速器。,,,,,,,,ABCDEFGH,c1-国内机器人
54,四川金顶,工业机器人,四川-乐山,自动驾驶储充机器人。,,,,,,,,ABCDEFGH,c1-国内机器人
55,华纬科技,工业机器人,浙江-诸暨,供应工业机器人弹簧,塈ji,,,,,,,ABCDEFGH,c1-国内机器人
56,爱柯迪,工业机器人,浙江-宁波,24年12月18日设立全资子公司瞬动机器人技术（宁波）有限公司，包括智能机器人，工业机器人的研发销售,,,,,,,,ABCDEFGH,c1-国内机器人
57,天正电气,工业机器人,浙江-温州,公司生产的断路器、熔断器、接触器、变压器可应用于机器人产业。,,,,,,,,ABCDEFGH,c1-国内机器人
58,格力博,农业机器人,,,,,,,,,,ABCDEFGH,c1-国内机器人
59,大业股份,农业机器人,,,,,,,,,,ABCDEFGH,c1-国内机器人
60,中坚科技,农业机器人,,,,,,,,,,ABCDEFGH,c1-国内机器人
61,锋龙股份,农业机器人,,,,,,,,,,ABCDEFGH,c1-国内机器人
62,美力科技-300,自研-其他,浙江-绍兴,公司应用于人形机器人的弹簧，处于小批量交样阶段,,,,,,,,ABCDEFGH,c1-国内机器人
63,尤洛卡-300,自研-其他,泰安,巡检机器人、轨道安装机器人,,,,,,,,ABCDEFGH,c1-国内机器人
64,中重科技,自研-其他,天津,智能打包、标识、拆辊机器人,辊（gun),,,,,,,ABCDEFGH,c1-国内机器人
65,中化装备,自研-其他,青岛,单维滑轨机器人和工业机器人,,,,,,,,ABCDEFGH,c1-国内机器人
66,爱仕达,自研-其他,浙江-台州,子公司钱江机器人是浙江省最大工业机器人本体企业,,,,,,,,ABCDEFGH,c1-国内机器人
67,远大智能,自研-其他,辽宁-沈阳,子公司沈阳远大智能产品包括工业机器人,,,,,,,,ABCDEFGH,c1-国内机器人
68,华研精机-300,自研-其他,广州,公司产品包括取件机器人,,,,,,,,ABCDEFGH,c1-国内机器人
69,斯莱克-300,自研-其他,苏州,公司产品包括堆垛机器人,,,,,,,,ABCDEFGH,c1-国内机器人
70,华升股份,自研-其他,长沙,参股公司湖南英捷高科技MIM（金属粉末注射）人形机器人,,,,,,,,ABCDEFGH,c1-国内机器人
71,全筑股份,自研-其他,上海,公司与上海大学共同研制了人工替代智能施工机器人,,,,,,,,ABCDEFGH,c1-国内机器人
72,精伦电子,自研-其他,湖北-武汉,全资子公司上海鲍麦克斯电子科技主营产品包括专用伺服驱动系统，数控系统,,,,,,,,ABCDEFGH,c1-国内机器人
73,派斯林,自研-其他,吉林-长春,公司主要从事焊装工业机器人系统集成业务,,,,,,,,ABCDEFGH,c1-国内机器人
74,科大智能-300,自研-其他,上海,公司与复旦大学联合研发健康顾问机器人,,,,,,,,ABCDEFGH,c1-国内机器人
