序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,小米机器人分为,直接供货（关节总成，连杆总成 传感器 连接器 减速器 材料 芯片）,有望切入,,,,,,,,,ABCDEFGH,
2.0,震裕科技-300,直接供货-关节总成,浙江-宁波,大腿关节总成,,,,,,,,ABCDEFGH,
3.0,拓扑集团,直接供货-关节总成,浙江-宁波,拥有关节总成技术，参与小米供应链大会,,,,,,,,ABCDEFGH,
4.0,方正电机,直接供货-关节总成,浙江-丽水,机器人关节项目开发中，应客户保密需求未披露,,,,,,,,ABCDEFGH,
5.0,龙溪股份,直接供货-连杆总成,福建-漳州,有望供货连杆总成,,,,,,,,ABCDEFGH,
6.0,汉威科技-300,直接供货-传感器,河南-郑州,小米参股子公司，有望供货电子皮肤,,,,,,,,ABCDEFGH,
7.0,凌云股份,直接供货-传感器,河北-保定,,,,,,,,,ABCDEFGH,
8.0,瀚川智能-688,直接供货-传感器,江苏-苏州,,,,,,,,,ABCDEFGH,
9.0,聚赛龙-300,直接供货-传感器,广州,PEEK轻量化材料供货小米扫地机器人,,,,,,,,ABCDEFGH,
10.0,全志科技-300,直接供货-芯片,广东-珠海,小米仿生机器人铁蛋采用公司芯片,,,,,,,,ABCDEFGH,
11.0,弘信电子-300,直接供货-芯片,福建-厦门,小米仿生机器人铁蛋的全套电路板解决方案提供商,,,,,,,,ABCDEFGH,
,有望切人的分,扫地机器人链，小米汽车伙伴，其他,,,,,,,,,,,
12.0,石头科技-688,有望切入-扫地机器人链,北京,与小米联合推出米家扫地机器人,,,,,,,,ABCDEFGH,
13.0,永利股份-300,有望切入-扫地机器人链,上海,供货小米扫地机器人精密塑料件,,,,,,,,ABCDEFGH,
14.0,江苏雷利-300,有望切入-扫地机器人链,江苏-常州,供货微型电机及驱动系统,,,,,,,,ABCDEFGH,
15.0,山东威达,有望切入-扫地机器人链,山东-威海,公司锂电池包及相关控制系统产品为小米扫地机器人供应,,,,,,,,ABCDEFGH,
16.0,德迈仕-300,有望切入-小米汽车伙伴,辽宁-大连,汽车零部件供货小米汽车，公司减速器及机器人丝杠业务有望优先合作小米,,,,,,,,ABCDEFGH,
17.0,创新新材,有望切入-小米汽车伙伴,北京,参与小米保险杠材料开发，公司主营铝合金材料也供货小米电子产品,,,,,,,,ABCDEFGH,
18.0,威孚高科,有望切入-小米汽车伙伴,江苏-无锡,公司通过间接参股企业联合汽车电子为小米汽车供应电驱系统核心零部件,,,,,,,,ABCDEFGH,
19.0,京城股份,有望切入-其他,北京,实控人京城机电与小米，优必选共同发起成立了北京人性机器人创新中心,,,,,,,,ABCDEFGH,
,优必选-A股还没上市,优必选成立于2012年，是一家集人工智能和人形机器人研发、平台软件开发运用及产品销售为一体的全球性高科技创新企业。,,,,,,,,,,,
20.0,友阿股份,有望切入-其他,湖南-长沙,与小米旗下基金共同参股佛山隆深机器人,,,,,,,,ABCDEFGH,
21.0,,,,,,,,,,,,ABCDEFGH,
22.0,,,,,,,,,,,,ABCDEFGH,
23.0,,,,,,,,,,,,ABCDEFGH,
24.0,,,,,,,,,,,,ABCDEFGH,
25.0,,,,,,,,,,,,ABCDEFGH,
26.0,,,,,,,,,,,,ABCDEFGH,
27.0,,,,,,,,,,,,ABCDEFGH,
28.0,,,,,,,,,,,,,
