序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,轴承分为,机器人轴承，汽车轴承，风电轴承，航天轴承，高端轴承，其他,,,,,,,,,,ABCDEFGH,c3-轴承
2,轴承市占率前五,万向钱潮，新强联，大连重工，五洲新春，襄阳轴承,,,,,,,,,,ABCDEFGH,c3-轴承
3,万向钱潮,轴承市占率前五,杭州,轴承市占率A股第一，7.9%，主要是汽车领域,,,,,,,,ABCDEFGH,c3-轴承
4,新强联-300,轴承市占率前五,河南-洛阳,轴承市占率A股第二，1.1%，主要面向风电,,,,,,,,ABCDEFGH,c3-轴承
5,大连重工,轴承市占率前五,辽宁-大连,轴承市占率A股第三，1%，主要面向风电， 公司控股股东大连装备投资集团控股 瓦房店轴承,,,,,,,,ABCDEFGH,c3-轴承
6,五洲新春,轴承市占率前五,浙江-绍兴,轴承市占率 A股 第四，0.9%，主要面向风电领域,,,,,,,,ABCDEFGH,c3-轴承
7,襄阳轴承,轴承市占率前五,湖北-襄阳,轴承市占率A股第五，0.6%，主要面向汽车领域,,,,,,,,ABCDEFGH,c3-轴承
8,南方精工,机器人轴承,江苏-常州,滚针轴承市占率A股第一，公司滚针轴承产品用于 RV减速器，供货中马传动，中大力德,南方精工（南方轴承）,滚针- 常见的是圆珠，区别滚针,,,,,,ABCDEFGH,c3-轴承
9,五洲新春,机器人轴承,浙江-绍兴,汽车，风电，用轴承为主，公司已开发出机器人全系列减速器轴承产品，包括滚针轴承,,,,,,,,ABCDEFGH,c3-轴承
10,长盛轴承,机器人轴承,浙江-嘉兴,风电、工程机械用滑动轴承为主，公司有机器人用轴承技术储备，包括滚针轴承,,,,,,,,ABCDEFGH,c3-轴承
11,龙溪股份,机器人轴承,福建-漳州,工程机械用滑动轴承为主，国内最大的关节轴承供应商与出口商,,,,,,,,ABCDEFGH,c3-轴承
12,双飞集团-300,机器人轴承,浙江-嘉兴,风电用滑动轴承为主，部分 轴承产品可用于机器人机械手关节,,,,,,,,ABCDEFGH,c3-轴承
13,力星股份-300,机器人轴承,江苏-南通,风电轴承用轴承钢球为主，公司轴承钢球销售收入国内第一；部分轴承钢球、轴承滚子可用于人形机器人,,,,,,,,ABCDEFGH,c3-轴承
14,崇德科技-300,机器人轴承,湖南-湘潭市,公司自主研发PEEK材料滑动轴承,,,,,,,,ABCDEFGH,c3-轴承
15,国机精工,机器人轴承,河南-洛阳,公司部分产品在工业机器人领域有应用，但销售收入规模较小,,,,,,,,ABCDEFGH,c3-轴承
16,襄阳轴承,机器人轴承,湖北-襄阳,公司高效率、地震动、薄壁灯轴承技术都可应有机器人减速器轴承,,,,,,,,ABCDEFGH,c3-轴承
17,宝塔实业,机器人轴承,宁夏-银川,公司宁夏西北轴承装备制造承接业务涉及机器人立柱、行走轴加工,,,,,,,,ABCDEFGH,c3-轴承
18,万向钱潮,汽车轴承,浙江-杭州,汽车轴承营收A股第一，96亿,,,,,,,,ABCDEFGH,c3-轴承
19,襄阳轴承,汽车轴承,湖北-襄阳,汽车轴承营收A股第二，9.6亿,,,,,,,,ABCDEFGH,c3-轴承
20,光洋股份,汽车轴承,江苏-常州,汽车轴承营收A股第三，7.19亿,,,,,,,,ABCDEFGH,c3-轴承
21,冠盛股份,汽车轴承,浙江温州,汽车轴承营收A股第四，5.18亿,,,,,,,,ABCDEFGH,c3-轴承
22,兆丰股份-300,汽车轴承,浙江-杭州,汽车轴承营收A股第五，4.42亿,,,,,,,,ABCDEFGH,c3-轴承
23,南方精工,汽车轴承,江苏-常州,汽车轴承营收A股第六，3.6亿,,,,,,,,ABCDEFGH,c3-轴承
24,雷迪克-300,汽车轴承,浙江-杭州,汽车轴承营收A股第七，2.58亿,,,,,,,,ABCDEFGH,c3-轴承
25,金沃股份-300,汽车轴承,浙江衡州,公司生产轴承套圈产品供货舍弗勒等国际周晨公司,舍弗勒集团是一家来自德国的家族企业，由舍弗勒家族乔治·舍弗勒（Georg Schaeffler）于1946年创立。 舍弗勒集团是全球范围内生产滚动轴承和直线运动产品的领导企业，也是汽车制造业中极富声誉的供应商之一,,,,,,,ABCDEFGH,c3-轴承
26,五洲新春,风电轴承,浙江-绍兴,风电滚子市占率A股第一，50%,,,,,,,,ABCDEFGH,c3-轴承
27,新强联-300,风电轴承,河南-洛阳,三排滚子主轴轴承市占率A股第一,,,,,,,,ABCDEFGH,c3-轴承
28,崇德科技-300,风电轴承,湖南-湘潭市,动压油膜滑动轴承市占国内第一,,,,,,,,ABCDEFGH,c3-轴承
29,长盛轴承,风电轴承,浙江-嘉兴,风电领域自润滑轴承正在测试验证阶段,,,,,,,,ABCDEFGH,c3-轴承
30,宝塔实业,风电轴承,宁夏-银川,风电电机绝缘轴承产品样品已试制完成,,,,,,,,ABCDEFGH,c3-轴承
31,力星股份-300,风电轴承,江苏-南通,国内主要的5MW以上风电轴承钢球生产企业,,,,,,,,ABCDEFGH,c3-轴承
32,国机精工,航天轴承,河南-洛阳,航天轴承市占率国内第一，90%,,,,,,,,ABCDEFGH,c3-轴承
33,大连重工,高端轴承,辽宁-大连,高端轴承市占率国内第一，4%,,,,,,,,ABCDEFGH,c3-轴承
34,新强联-300,高端轴承,河南-洛阳,高端轴承市占率国内第二，1%,,,,,,,,ABCDEFGH,c3-轴承
35,晋西车轴,其他,陕西-太原,轨交车辆轴承,,,,,,,,ABCDEFGH,c3-轴承
36,申科股份,其他,浙江-绍兴,轴承主要面向大中型电机与发电机领域,,,,,,,,ABCDEFGH,c3-轴承
