序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,海思芯片分为：,分销，供货，合作,,,,,,,,,,ABCDEFGH,d1-海思芯片
2,深圳华强,海思芯片-分销,海思芯片渠道代理品类第一，授权品种十种,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
3,中电港,海思芯片-分销,海思芯片渠道代理品类第一，授权品种十种,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
4,力源信息-300,海思芯片-分销,海思芯片渠道代理品类第二，授权品类四种,湖北-武汉,,,,,,,,ABCDEFGH,d1-海思芯片
5,好上好,海思芯片-分销,海思芯片渠道代理品类第三，授权品类一种,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
6,商络电子-300,海思芯片-分销,电子元器件分销营收56亿,江苏-南京,,,,,,,,ABCDEFGH,d1-海思芯片
7,英唐智控-300,海思芯片-分销,电子元器件分销营收46亿元,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
8,太龙股份-300,海思芯片-分销,电子元器件分销营收27.7亿,福建-漳州,,,,,,,,ABCDEFGH,d1-海思芯片
9,盈方微,海思芯片-分销,电子元器件分销营收31.1亿,湖北-荆州,,,,,,,,ABCDEFGH,d1-海思芯片
10,润欣科技-300,海思芯片-分销,电子元器件分销营收21亿,上海,,,,,,,,ABCDEFGH,d1-海思芯片
11,雅创电子-300,海思芯片-分销,电子元器件分销营收19.6亿,上海,,,,,,,,ABCDEFGH,d1-海思芯片
12,睿能科技,海思芯片-分销,电子元器件分销营收15亿,福建-福州,,,,,,,,ABCDEFGH,d1-海思芯片
13,四川长虹,海思芯片-分销,公司是华为七大产品中国经销商,四川-绵阳,,,,,,,,ABCDEFGH,d1-海思芯片
14,深赛格,海思芯片-分销,华强北赛格电子市场,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
15,飞荣达,海思芯片-供货,供货海思电磁屏蔽材料及热管理材料,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
16,劲拓股份-300,海思芯片-供货,与海思签署何所协议推进封装设备进程,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
17,盛剑科技,海思芯片-供货,为华为海思光芯片工厂供货废气治理系统,上海,,,,,,,,ABCDEFGH,d1-海思芯片
18,东方中科,海思芯片-供货,供货海思芯片测试设备,北京,,,,,,,,ABCDEFGH,d1-海思芯片
19,世纪鼎利-300,海思芯片-合作,获得华为5G芯片ICD授权,广东-珠海,,,,,,,,ABCDEFGH,d1-海思芯片
20,美格智能,海思芯片-合作,2019年与海思合作推出4G通信模组,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
21,优博讯-300,海思芯片-合作,公司与海思 有特定技术方案的合作,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
22,慧博云通-300,海思芯片-合作,公司提供专业测试服务,浙江-杭州,,,,,,,,ABCDEFGH,d1-海思芯片
23,一博科技-300,海思芯片-合作,公司为海思研发提供技术服务,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
24,宏达电子-300,海思芯片-合作,子公司宏达恒芯为海思进行小批量供货,湖南-株洲,,,,,,,,ABCDEFGH,d1-海思芯片
25,共进股份,海思芯片-合作,公司完成海思方案WI-FI产品开发,深圳,,,,,,,,ABCDEFGH,d1-海思芯片
26,创维数字,海思芯片-合作,公司宽带网络通信智能终端产品应用海思芯片,四川-遂宁,,,,,,,,ABCDEFGH,d1-海思芯片
