序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,充电桩-消息面,2025年3月18日 比亚迪规划在全国各地建设4000多做  兆瓦闪充站,,,,,,,,,,ABCDEFGH,e1-充电桩
2,充电桩可分为,充电器件（磁性元件，充电模块，充电枪，车载充电机）,V2G双向传输,监控计费,整机,运营,液冷快充（钎焊铝，液冷充电枪，液冷线缆，超充桩）,华为液冷快充（供应商，合作）,,,,ABCDEFGH,e1-充电桩
3,充电器件又可分为,磁性元件,充电模块,充电枪,车载充电机,,,,,,,ABCDEFGH,e1-充电桩
4,顺络电子,充电器件-磁性元件,深圳,"磁性元件营收A股第一，42,38亿",,,,,,,,ABCDEFGH,e1-充电桩
5,可立克,充电器件-磁性元件,深圳,磁性元件营收A股第二，24亿,,,,,,,,ABCDEFGH,e1-充电桩
6,铭普光磁,充电器件-磁性元件,广东-东莞,磁性元件营收A股第三，13.14亿,,,,,,,,ABCDEFGH,e1-充电桩
7,京泉华,充电器件-磁性元件,深圳,磁性元件营收A股第四，8.56亿,,,,,,,,ABCDEFGH,e1-充电桩
8,特锐德-300,充电器件-充电模块,青岛,充电模块市占率A股第一，11%,,,,,,,,ABCDEFGH,e1-充电桩
9,通合科技-300,充电器件-充电模块,河北-石家庄,充电模块市占率A股第二，4%,,,,,,,,ABCDEFGH,e1-充电桩
10,盛弘股份-300,充电器件-充电模块,深圳,充电模块市占率A股第三，3%,,,,,,,,ABCDEFGH,e1-充电桩
11,英可瑞-300,充电器件-充电模块,深圳,充电模块市占率A股第二，4%,,,,,,,,ABCDEFGH,e1-充电桩
12,麦格米特,充电器件-充电模块,深圳,充电模组市占率A股第四，2%,"高压直流系统,800V HVDC 解决方案有望供货英伟达,深圳,高压直流输电（HVDC） ",,,,,,,ABCDEFGH,e1-充电桩
13,中恒电气,充电器件-充电模块,杭州,充电模组市占率A股第四，2%,,,,,,,,ABCDEFGH,e1-充电桩
14,科华数据,充电器件-充电模块,福建-厦门,充电模组市占率A股第五，1%,,,,,,,,ABCDEFGH,e1-充电桩
15,永贵电器-300,充电器件-充电枪,浙江-台州,充电枪营收第一,,,,,,,,ABCDEFGH,e1-充电桩
16,中航光电,充电器件-充电枪,河南-洛阳,充电枪营收第规模第二,,,,,,,,ABCDEFGH,e1-充电桩
17,比亚迪,充电器件-车载充电机,深圳,车载充电机市占率第一，16%,,,,,,,,ABCDEFGH,e1-充电桩
18,欣锐科技-300,充电器件-车载充电机,深圳,车载充电机市占率第二，7%,,,,,,,,ABCDEFGH,e1-充电桩
19,英搏尔-300,充电器件-车载充电机,广东-珠海,车载充电机市占率第三，5%,,,,,,,,ABCDEFGH,e1-充电桩
20,科士达,充电器件-车载充电机,深圳,车载充电机市占率第四，4%,,,,,,,,ABCDEFGH,e1-充电桩
21,V2G双向传输,V2G（Vehicle-to-Grid）是“汽车对电网”技术的简称，指电动汽车与电网之间实现双向电力传输的系统。其核心是通过智能控制，使电动汽车不仅从电网获取电能，还能将电池储存的电力反向输送回电网，从而优化能源调配并提升电网稳定性。,,,,,,,,,,ABCDEFGH,e1-充电桩
22,特锐德-300,充电桩-V2G双向传输,青岛,V2G 设备市占率国内第一，69%,,,,,,,,ABCDEFGH,e1-充电桩
23,奥特迅,充电桩-V2G双向传输,深圳,成功盐值国内最早的V2G双向智能充放电机,,,,,,,,ABCDEFGH,e1-充电桩
24,金冠股份-300,充电桩-V2G双向传输,吉林-长春,公司V2G产品已研发到第二代,,,,,,,,ABCDEFGH,e1-充电桩
25,通合科技-300,充电桩-V2G双向传输,河北-石家庄,已推出20KW的V2G充电模块,,,,,,,,ABCDEFGH,e1-充电桩
26,富特科技-300,充电桩-V2G双向传输,浙江-湖州,已研发V2G双向车载充电机产品,,,,,,,,ABCDEFGH,e1-充电桩
27,科陆电子,充电桩-V2G双向传输,深圳,公司有销售V2G充电桩,,,,,,,,ABCDEFGH,e1-充电桩
28,双杰电气-300,充电桩-V2G双向传输,北京,具备生产V2G充电桩能力,,,,,,,,ABCDEFGH,e1-充电桩
29,道通科技-688,充电桩-V2G双向传输,深圳,公司完成V2G充电模块设计工作,,,,,,,,ABCDEFGH,e1-充电桩
30,长久物流,充电桩-V2G双向传输,北京,与北京链宇科技合作V2G充电桩业务,,,,,,,,ABCDEFGH,e1-充电桩
31,三晖电气,充电桩-监控计费,河南-郑州,智能电表营收占比第一，88%,,,,,,,,ABCDEFGH,e1-充电桩
32,海兴电力,充电桩-监控计费,杭州,智能电表应收占比第二，87%,,,,,,,,ABCDEFGH,e1-充电桩
33,炬华科技-300,充电桩-监控计费,杭州,智能电表营收占比第三，81%,,,,,,,,ABCDEFGH,e1-充电桩
34,万胜智能-300,充电桩-监控计费,浙江-台州,智能电表营收占比第四，75%,,,,,,,,ABCDEFGH,e1-充电桩
35,西力科技,充电桩-监控计费,杭州,智能电表营收营收占比第五，75%,,,,,,,,ABCDEFGH,e1-充电桩
36,三星医疗,充电桩-监控计费,浙江-宁波,智能电表营收占比第六，74%,,,,,,,,ABCDEFGH,e1-充电桩
37,迦南智能-300,充电桩-监控计费,浙江-宁波,智能电表营收占比第七，70%,,,,,,,,ABCDEFGH,e1-充电桩
38,林洋能源,充电桩-监控计费,江苏-南通,智能电表营收占比第八，45%,,,,,,,,ABCDEFGH,e1-充电桩
39,许继电气,充电桩-监控计费,河南-许昌,智能电表营收占比第九，19%,,,,,,,,ABCDEFGH,e1-充电桩
40,绿能慧充,充电桩-整机,山东-临沂,充电桩营收占比76%,,,,,,,,ABCDEFGH,e1-充电桩
41,盛弘股份-300,充电桩-整机,深圳,充电桩营收占比28%,,,,,,,,ABCDEFGH,e1-充电桩
42,金冠股份-300,充电桩-整机,吉林-长春,充电桩营收占比15%,,,,,,,,ABCDEFGH,e1-充电桩
43,金冠电气-688,充电桩-整机,河南-南阳,充电桩营收占比10%,,,,,,,,ABCDEFGH,e1-充电桩
44,泰永长征,充电桩-整机,贵州-遵义,公司1000V高压快充充电产品已上市,,,,,,,,ABCDEFGH,e1-充电桩
45,通业科技-300,充电桩-整机,深圳,公司自研的超级电容充电桩、能量回收系统的超级电容储能装置,,,,,,,,ABCDEFGH,e1-充电桩
46,和顺电气,充电桩-整机,江苏-苏州,公司已经成功研发并规模化生产多种规格的交、直流充电设备,,,,,,,,ABCDEFGH,e1-充电桩
47,特锐德-300,充电桩-运营,青岛,充电桩运营市场份额第一，22%,,,,,,,,ABCDEFGH,e1-充电桩
48,万马股份,充电桩-运营,杭州,充电桩运营市场份额第二，1.72%,,,,,,,,ABCDEFGH,e1-充电桩
49,奥特迅,充电桩-运营,深圳,深圳最大的公共充电桩运营商,,,,,,,,ABCDEFGH,e1-充电桩
50,充电桩-液冷快充-钎焊铝,‌钎焊铝是指使用钎焊技术对铝合金进行焊接的过程‌。钎焊是一种焊接方法，其特点是使用熔点低于母材金属的钎料，通过加热使钎料熔化，然后填充并连接固态工件的缝隙，从而实现金属连,,,,,,,,,,ABCDEFGH,e1-充电桩
51,银邦股份,充电桩-液冷快充-钎焊铝,江苏-无锡,预计产能A股第一，41万吨,,,,,,,,ABCDEFGH,e1-充电桩
52,华峰铝业,充电桩-液冷快充-钎焊铝,上海,预计产能A股第二，为32万吨,,,,,,,,ABCDEFGH,e1-充电桩
53,充电桩-液冷快充-液冷充电枪,它通过在充电枪线中加入冷却液，有效散发充电过程中产生的热量，从而提升充电功率和效率。液冷充电枪适用于高功率充电场景，如公共充电站和快速充电领域,,,,,,,,,,ABCDEFGH,e1-充电桩
54,日丰股份,充电桩-液冷快充-液冷充电枪,广东-中山,充电电流A股第一，为1000A,,,,,,,,ABCDEFGH,e1-充电桩
55,永贵电器-300,充电桩-液冷快充-液冷充电枪,浙江-台州,充电电流A股第二，为600A，率先生产,,,,,,,,ABCDEFGH,e1-充电桩
56,中航光电-,充电桩-液冷快充-液冷充电枪,河南-洛阳,充电电流A股第三，为500A,,,,,,,,ABCDEFGH,e1-充电桩
57,沃尔核材,充电桩-液冷快充-液冷充电枪,深圳,充电电流A股第四，为250A-850A,,,,,,,,ABCDEFGH,e1-充电桩
58,永贵电器-300,充电桩-华为液冷快充-供应商,浙江-台州,液冷充电枪供应商,,,,,,,,ABCDEFGH,e1-充电桩
