序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,深海经济主要分为,深海探测，深海装备，深海基建,深海水产，深海机器人，,海洋辈，深水辈,,,,,,,,ABCDEFGH,x1-1深海经济
2,深海探测主要分为,潜航器（无人，载人）,信息感知装备,潜航器材料,,,,,,,,ABCDEFGH,x1-1深海经济
3,深海装备主要分为,钻井平台，储油船，铺管船，锚链，起重船，钢丝绳，勘探设备，起重机，钻采设备，螺杆钻具，石油钻头，其他设备,,,,,,,,,,ABCDEFGH,x1-1深海经济
4,深海基建分为,海缆+数据中心,,,,,,,,,,ABCDEFGH,x1-1深海经济
5,海兰信-300,深海探测-信息感知装备,北京,海洋观测装备营收A股第一，2.81亿,,,,,,,,ABCDEFGH,x1-1深海经济
6,中天科技,深海探测-信息感知装备,江苏-南京,公司产品包括深海观测网,,,,,,,,ABCDEFGH,x1-1深海经济
7,中国海防,深海探测-信息感知装备,北京,军队水下信息系统竞争力A股第一,,,,,,,,ABCDEFGH,x1-1深海经济
8,中科海讯,深海探测-信息感知装备,北京,水下声纳市占率领先,,,,,,,,ABCDEFGH,x1-1深海经济
9,中国长城,深海探测-信息感知装备,深圳,子公司长沙湘计海盾科技有限公司从事声纳、水下及海洋探测相关产品研发,,,,,,,,ABCDEFGH,x1-1深海经济
10,中海达-300,深海探测-信息感知装备,广州,子公司江苏中海达海洋信息技术有限公司从事声纳、水下及海洋探测相关产品研发,,,,,,,,ABCDEFGH,x1-1深海经济
11,华如科技-300,深海探测-信息感知装备,北京,公司从事声纳模拟仿真系统研发、生产和销售,,,,,,,,ABCDEFGH,x1-1深海经济
12,佛山照明,深海探测-信息感知装备,广东-佛山,公司与中国科学院深海所组建深海照明工程技术联合实验室,,,,,,,,ABCDEFGH,x1-1深海经济
13,久之洋-300,深海探测-信息感知装备,湖北-武汉,公司产品包括深海成像相机,,,,,,,,ABCDEFGH,x1-1深海经济
14,星网宇达,深海探测-信息感知装备,北京,公司针对智慧养殖（海洋牧场）开发了智能终端软件，可与高分辨率雷达、光电设备的探测信息进行融合分析和智能联动,,,,,,,,ABCDEFGH,x1-1深海经济
15,天海防务-300,深海探测-无人潜航器产品,上海,2023年拟投资1.46亿元用于长航时中大型无人潜航器项目,,,,,,,,ABCDEFGH,x1-1深海经济
16,中国船舶,深海探测-无人潜航器产品,上海,2024年珠海航展中展出UUV-300CB察布一体无人潜航器系统和小型特战无人潜航器,,,,,,,,ABCDEFGH,x1-1深海经济
17,天和防务-300,深海探测-无人潜航器产品,陕西-西安,产品包括水下无人自主潜航器产品,,,,,,,,ABCDEFGH,x1-1深海经济
18,中国船舶,深海探测-载人潜航器产品,上海,其子公司702所是蛟龙号的核心设计单位，负责载人舱结构、水声通信等关键技术研发,,,,,,,,ABCDEFGH,x1-1深海经济
19,宝色股份-300,深海探测-载人潜航器产品,江苏-南京,公司参与过“蛟龙号”载人潜水器外部支架、电池箱等配套零部件的制造,,,,,,,,ABCDEFGH,x1-1深海经济
20,海兰信-300,深海探测-载人潜航器产品,北京,间接全资子公司为“蛟龙号”提供作业潜,,,,,,,,ABCDEFGH,x1-1深海经济
21,中钢天源,深海探测-载人潜航器产品,安徽-马鞍山,公司为“蛟龙号”提供 异型钢丝，主要用于深海探测项目为代表的大型压力机嵌和、模具弹簧,,,,,,,,ABCDEFGH,x1-1深海经济
22,中国海防,深海探测-载人潜航器产品,北京,公司为蛟龙号提供深海探测技术,,,,,,,,ABCDEFGH,x1-1深海经济
23,宝钛股份,深海探测-载人潜航器产品,陕西-宝鸡,为奋斗者号提供载人舱 钛合金材料,,,,,,,,ABCDEFGH,x1-1深海经济
24,佛山照明,深海探测-载人潜航器产品,广东-佛山,为奋斗者号提供万米级LED深海照明装备,,,,,,,,ABCDEFGH,x1-1深海经济
25,明月镜片,深海探测-载人潜航器产品,江苏-镇江,为奋斗者号提供保障类眼镜产品,,,,,,,,ABCDEFGH,x1-1深海经济
26,宝钛股份,深海探测-潜航器材料,陕西-宝鸡,钛合金产量A股第一，1.88万吨,,,,,,,,ABCDEFGH,x1-1深海经济
27,西部材料,深海探测-潜航器材料,陕西-西安,钛合金产量A股第二，5299吨,,,,,,,,ABCDEFGH,x1-1深海经济
28,西部超导-688,深海探测-潜航器材料,陕西-西安,钛合金产量A股第三，4876吨,,,,,,,,ABCDEFGH,x1-1深海经济
29,深海装备包括,钻井平台，储油船，铺管船，锚链,起重船，钢丝绳，勘探设备，,起重机，钻采设备，螺杆钻具，石油钻具，其他设备,,,,,,,,ABCDEFGH,x1-1深海经济
30,海油工程,深海装备-钻井平台,天津,海洋石油982第六代深水半潜式平台,,,,,,,,ABCDEFGH,x1-1深海经济
31,振华重工,深海装备-钻井平台,上海,振海系列自升式钻井平台,,,,,,,,ABCDEFGH,x1-1深海经济
32,中集集团,深海装备-钻井平台,深圳,蓝鲸系列超深水双钻塔平台,,,,,,,,ABCDEFGH,x1-1深海经济
33,中国船舶,深海装备-钻井平台,,,,,,,,,,,
