序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,深水科技分,油气开采,载人深潜,海洋观测,海洋辈,深水辈,,,,,1,ABCDEFGH,x1-深海科技
2,油气开采分：,深海一号,探测设备,钻采设备,螺杆钻具,石油钻头,其他设备,,,,1,ABCDEFGH,x1-深海科技
3,载人深潜,蛟龙号,奋斗者,,,,,,,,1,ABCDEFGH,x1-深海科技
4,巨力索具,深海一号,公司承接项目“深海一号”,河北保定,巨鹿,,,,,,1,ABCDEFGH,x1-深海科技
5,海默科技-300,深海一号,公司为“深海一号” 二期天然气开发项目 提供水下多相流量计产品,甘肃兰州,,,,,,,1,ABCDEFGH,x1-深海科技
6,杰瑞股份,深海一号,公司为“深海一号”提供3.5寸大管径连续油管作业撬组,山东烟台,,,,,,,1,ABCDEFGH,x1-深海科技
7,海油发展,深海一号,公司为深海一号提供井控安全，化验分析，海底管道涂覆，码头及仓储装卸,北京,,,,,,,1,ABCDEFGH,x1-深海科技
8,神开股份,勘探设备,营收占比38.71，为2.33亿,上海,,,,,,,1,ABCDEFGH,x1-深海科技
9,新锦动力-300,勘探设备,营收占比26.9%,北京,,,,,,,1,ABCDEFGH,x1-深海科技
10,如通股份,钻采设备,营收占比99.43%，为3亿,江苏南京,,,,,,,1,ABCDEFGH,x1-深海科技
11,德石股份,螺杆钻具,市占率A股第一，12.16%,山东德州,,,,,,,1,ABCDEFGH,x1-深海科技
12,石化机械,石油钻头,产量A股第一，中石化旗下,湖北武汉,,,,,,,1,ABCDEFGH,x1-深海科技
13,安控科技,石油钻头,油气近钻头服务高端设备,四川宜宾,,,,,,,1,ABCDEFGH,x1-深海科技
14,洪田股份,资源开发-其他设备,井口装置以及管线阀门,江苏苏州,,,,,,,1,ABCDEFGH,x1-深海科技
15,海锅股份,资源开发-其他设备,油气装备锻件,苏州,,,,,,,1,ABCDEFGH,x1-深海科技
16,海默科技-300,资源开发-其他设备,油气田多相计量,甘肃兰州,,,,,,,1,ABCDEFGH,x1-深海科技
17,常宝股份,资源开发-其他设备,高钢级油井管,常州,,,,,,,1,ABCDEFGH,x1-深海科技
18,蓝科高新,资源开发-其他设备,油气水分离器市占率全国第一,甘肃兰州,,,,,,,1,ABCDEFGH,x1-深海科技
19,博隆技术,资源开发-其他设备,公司气力输送系统主要服务中石油，中石化，中海油等。,上海,,,,,,,1,ABCDEFGH,x1-深海科技
20,中国船舶,载人深潜-蛟龙号,子公司702所是蛟龙号的核心设计单位，负责载人舱结构，水声通信等关键技术,上海,,,,,,,1,ABCDEFGH,x1-深海科技
21,新研股份,载人深潜-蛟龙号,控股子公司承制载人深潜 蛟龙号 主承力舱,新疆,,,,,,,1,ABCDEFGH,x1-深海科技
22,宝色股份-300,载人深潜-蛟龙号,参与过蛟龙号载人潜水器外部支架，电池箱等配套零部件的制造,江苏南京,特种材料（核电）,,,,,,1,ABCDEFGH,x1-深海科技
23,中国海防,载人深潜-蛟龙号,公司为蛟龙号提供深海探测技术,北京,,,,,,,1,ABCDEFGH,x1-深海科技
24,中钢天源,载人深潜-蛟龙号,公司为蛟龙号提供异型钢丝，主要用于深海探测项目为代表的大型压力机,安徽马鞍山,,,,,,,1,ABCDEFGH,x1-深海科技
25,海兰信-300,载人深潜-蛟龙号,间接全资子公司为蛟龙号提供作业潜器和其他海洋探测设备,北京,主营业务是智能航海、海洋观探测及海底数据中心业务,,,,,,1,ABCDEFGH,x1-深海科技
26,宝钛股份,载人深潜-奋斗者,公司为奋斗者号提供载人舱钛合金材料,陕西宝鸡,,,,,,,1,ABCDEFGH,x1-深海科技
27,佛山照明,载人深潜-奋斗者,公司为奋斗者号提供万米级LED深海照明装备,佛山,,,,,,,1,ABCDEFGH,x1-深海科技
28,明月镜片-300,载人深潜-奋斗者,公司为奋斗者保障眼镜类产品,江苏镇江,,,,,,,1,ABCDEFGH,x1-深海科技
29,中天科技,海洋观测,公司产品包括深海观测网,江苏南通,,,,,,,1,ABCDEFGH,x1-深海科技
30,中国海防,海洋观测,军队水下信息系统竞争力A股第一,北京,,,,,,,1,ABCDEFGH,x1-深海科技
31,中科海讯,海洋观测,水下声纳市占率领先,北京,,,,,,,1,ABCDEFGH,x1-深海科技
32,东方海洋,海洋辈,名称中包含海洋,烟台,主营海水鱼虾贝藻育苗、养殖及海洋水产加工,,,,,,1,ABCDEFGH,x1-深海科技
33,海洋王,海洋辈,名称中包含海洋,深圳,照明技术+数据传输技术,,,,,,1,ABCDEFGH,x1-深海科技
34,大地海洋,海洋辈,名称中包含海洋,杭州,垃圾回收，矿物油回收+ 电子废物回收,,,,,,1,ABCDEFGH,x1-深海科技
35,深水海纳,深水辈,名称中包含深水,深圳,自来水+污水处理,,,,,,1,ABCDEFGH,x1-深海科技
36,深水规院,深水辈,名称中包含深水,深圳,水利探测设计,,,,,,1,ABCDEFGH,x1-深海科技
