序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,鸡主要分为,鸡苗，动物疫苗，白羽鸡，黄羽鸡，蛋鸡,,,,,,,,,,ABCDEFGH,x10-鸡
2,益生股份,鸡苗,山东-烟台,销量A股第一，为6.51亿只,,,,,,,,ABCDEFGH,x10-鸡
3,民和股份,鸡苗,山东-烟台,销量A股第一，为3亿多只,,,,,,,,ABCDEFGH,x10-鸡
4,京基智农,鸡苗,广东-深圳,公司具备年产3000万只鸡苗产能,,,,,,,,ABCDEFGH,x10-鸡
5,温氏股份-300,黄羽鸡,广东-云浮市,市占率A股第一，为20%,,,,,,,,ABCDEFGH,x10-鸡
6,立华股份-300,黄羽鸡,江苏-常州,市占率A股第二，为5.9%,,,,,,,,ABCDEFGH,x10-鸡
7,湘佳股份,黄羽鸡,湖南-常德,市占率A股第三，0.92%,,,,,,,,ABCDEFGH,x10-鸡
8,圣农发展,白羽鸡,福建-南平,市占率A股第一，为10.9%,,,,,,,,ABCDEFGH,x10-鸡
9,新希望,白羽鸡,四川-绵阳,市占率A股第二，为8.8%,,,,,,,,ABCDEFGH,x10-鸡
10,禾丰股份,白羽鸡,辽宁-沈阳,市占率A股第三，为6.8%,,,,,,,,ABCDEFGH,x10-鸡
11,仙坛股份,白羽鸡,山东-烟台,市占率A股第四，3%,,,,,,,,ABCDEFGH,x10-鸡
12,晓鸣股份-300,蛋鸡,宁夏-银川,国内蛋鸡唯一上市企业，市占率第一,,,,,,,,ABCDEFGH,x10-鸡
13,生物股份,动物疫苗,内蒙-呼和浩特,动物疫苗营收A股第一，14.51亿,,,,,,,,ABCDEFGH,x10-鸡
14,普莱柯,动物疫苗,河南-洛阳,动物疫苗营收A股第二，11.83亿,,,,,,,,ABCDEFGH,x10-鸡
15,瑞普生物-300,动物疫苗,天津-东丽,动物疫苗营收A股第三，10.73亿,,,,,,,,ABCDEFGH,x10-鸡
16,科前生物-688,动物疫苗,湖北-武汉,动物疫苗营收A股第四，10.23亿,,,,,,,,ABCDEFGH,x10-鸡
17,中牧股份,动物疫苗,北京-丰台,动物疫苗营收A股第五，10.08亿,,,,,,,,ABCDEFGH,x10-鸡
18,金河生物,动物疫苗,内蒙-呼和浩特,动物疫苗营收A股第六，3.3亿,,,,,,,,ABCDEFGH,x10-鸡
19,申联生物-688,动物疫苗,上海-闽行区,动物疫苗营收A股第七，3.28亿,,,,,,,,ABCDEFGH,x10-鸡
20,海利生物,动物疫苗,上海-浦东新区,动物疫苗营收A股第八，2.04亿,,,,,,,,ABCDEFGH,x10-鸡
21,鲁抗医药,动物疫苗,山东-济宁,兽用抗生素营收A股第一，25.85亿,,,,,,,,ABCDEFGH,x10-鸡
