序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,工程机械分为：整机，液压件，机械租赁,,,,,,,,,,,ABCDEFGH,x102-工程机械
2,三一重工,整机-混凝土,北京,,,,,,,,,ABCDEFGH,x102-工程机械
3,中联重科,整机-混凝土,湖南-长沙,,,,,,,,,ABCDEFGH,x102-工程机械
4,徐工机械,整机-混凝土,江苏-徐州,,,,,,,,,ABCDEFGH,x102-工程机械
5,厦工股份,整机-混凝土,福建-厦门,,,,,,,,,ABCDEFGH,x102-工程机械
6,三一重工,整机-挖掘机,北京,,,,,,,,,ABCDEFGH,x102-工程机械
7,徐工机械,整机-挖掘机,江苏-徐州,,,,,,,,,ABCDEFGH,x102-工程机械
8,柳工,整机-挖掘机,广西-柳州,,,,,,,,,ABCDEFGH,x102-工程机械
9,山河智能,整机-挖掘机,湖南-长沙,,,,,,,,,ABCDEFGH,x102-工程机械
10,法兰泰克,整机-起重机,江苏-苏州,,,,,,,,,ABCDEFGH,x102-工程机械
11,润邦股份,整机-起重机,江苏-南通,,,,,,,,,ABCDEFGH,x102-工程机械
12,大连重工,整机-起重机,辽宁-大连,,,,,,,,,ABCDEFGH,x102-工程机械
13,天桥起重,整机-起重机,湖南-株洲,,,,,,,,,ABCDEFGH,x102-工程机械
14,徐工机械,整机-起重机,江苏-徐州,,,,,,,,,ABCDEFGH,x102-工程机械
15,中联重科,整机-起重机,湖南-长沙,,,,,,,,,ABCDEFGH,x102-工程机械
16,三一重工,整机-起重机,北京,,,,,,,,,ABCDEFGH,x102-工程机械
17,柳工,整机-起重机,广西-柳州,,,,,,,,,ABCDEFGH,x102-工程机械
18,安徽合力,整机-叉车,安徽-合肥,,,,,,,,,ABCDEFGH,x102-工程机械
19,杭叉集团,整机-叉车,浙江杭州,,,,,,,,,ABCDEFGH,x102-工程机械
20,诺力股份,整机-叉车,浙江-湖州,,,,,,,,,ABCDEFGH,x102-工程机械
21,金道科技-300,整机-叉车,浙江-绍兴,,,,,,,,,ABCDEFGH,x102-工程机械
22,中力股份,整机-叉车,浙江-湖州,,,,,,,,,ABCDEFGH,x102-工程机械
23,浙江鼎力,整机-高空作业,浙江-湖州,,,,,,,,,ABCDEFGH,x102-工程机械
24,海南华铁,整机-高空作业,浙江-杭州,,,,,,,,,ABCDEFGH,x102-工程机械
25,中材国际,水泥,江苏-南京,,,,,,,,,ABCDEFGH,x102-工程机械
26,冀东装备,水泥,河北-唐山,,,,,,,,,ABCDEFGH,x102-工程机械
27,和泰机电,水泥,浙江-杭州,,,,,,,,,ABCDEFGH,x102-工程机械
28,利君股份,水泥,四川-成都,,,,,,,,,ABCDEFGH,x102-工程机械
29,中信重工,水泥,河南-洛阳,,,,,,,,,ABCDEFGH,x102-工程机械
30,山推股份,推土机,山东-济宁,,,,,,,,,ABCDEFGH,x102-工程机械
31,铁建重工,隧道掘进,湖南-长沙,,,,,,,,,ABCDEFGH,x102-工程机械
32,中铁工业,隧道掘进,北京,,,,,,,,,ABCDEFGH,x102-工程机械
33,永达股份,隧道掘进,湖南-湘潭,,,,,,,,,ABCDEFGH,x102-工程机械
34,柳工,矿车,广西-柳州,,,,,,,,,ABCDEFGH,x102-工程机械
35,北方股份,矿车,内蒙-包头,,,,,,,,,ABCDEFGH,x102-工程机械
36,宇通重工,矿车,河南-郑州,,,,,,,,,ABCDEFGH,x102-工程机械
37,中信重工,矿山,河南-洛阳,,,,,,,,,ABCDEFGH,x102-工程机械
38,南矿集团,矿山,江西-南昌,,,,,,,,,ABCDEFGH,x102-工程机械
39,浙矿股份-300,矿山,浙江-湖州,,,,,,,,,ABCDEFGH,x102-工程机械
40,恒立液压,液压件,江苏-常州,,,,,,,,,ABCDEFGH,x102-工程机械
41,艾迪精密,液压件,山东-烟台,,,,,,,,,ABCDEFGH,x102-工程机械
42,长岭液压,液压件,陕西-西安,,,,,,,,,ABCDEFGH,x102-工程机械
43,福事特-300,液压件,江西-上饶,,,,,,,,,ABCDEFGH,x102-工程机械
44,邵阳液压,液压件,湖南-邵阳,,,,,,,,,ABCDEFGH,x102-工程机械
45,川润股份,液压件,四川-自贡,,,,,,,,,ABCDEFGH,x102-工程机械
46,唯万密封-300,液压件,上海,,,,,,,,,ABCDEFGH,x102-工程机械
47,恒工精密-300,液压件,河北-邯郸,,,,,,,,,ABCDEFGH,x102-工程机械
48,拓山重工,液压件,安徽-宣城,,,,,,,,,ABCDEFGH,x102-工程机械
49,建设机械,机械租赁,陕西-西安,,,,,,,,,ABCDEFGH,x102-工程机械
50,海南华铁,机械租赁,浙江-杭州,,,,,,,,,ABCDEFGH,x102-工程机械
