序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,硅产业分为：硅料，硅片，有机硅,有机硅是合成的,,,,,,,,,,ABCDEFGH,x103-硅产业
2,通威股份,硅料,四川-成都,,,,,,,,,ABCDEFGH,x103-硅产业
3,特变电工,硅料,新疆-昌吉,,,,,,,,,ABCDEFGH,x103-硅产业
4,大全能源,硅料,新疆-石河子,,,,,,,,,ABCDEFGH,x103-硅产业
5,隆基绿能,硅片,陕西-西安,光伏硅片市占率全球第一，,,,,,,,,ABCDEFGH,x103-硅产业
6,TCL中环,硅片,天津,,,,,,,,,ABCDEFGH,x103-硅产业
7,晶科能源,硅片,江西-上饶,,,,,,,,,ABCDEFGH,x103-硅产业
8,晶澳科技,硅片,河北-邢台,,,,,,,,,ABCDEFGH,x103-硅产业
9,弘元绿能,硅片,江苏-无锡,,,,,,,,,ABCDEFGH,x103-硅产业
10,双良节能,硅片,江苏-无锡,,,,,,,,,ABCDEFGH,x103-硅产业
11,京运通,硅片,北京,,,,,,,,,ABCDEFGH,x103-硅产业
12,合盛硅业,有机硅-原料,浙江-嘉兴,,,,,,,,,ABCDEFGH,x103-硅产业
13,新安股份,有机硅-原料,浙江-杭州,,,,,,,,,ABCDEFGH,x103-硅产业
14,兴发集团,有机硅-原料,湖北-宜昌,,,,,,,,,ABCDEFGH,x103-硅产业
15,东岳硅材-300,有机硅-原料,山东-淄博,,,,,,,,,ABCDEFGH,x103-硅产业
16,三友化工,有机硅-原料,河北-唐山,,,,,,,,,ABCDEFGH,x103-硅产业
17,新亚强,有机硅-原料,江苏-宿迁,,,,,,,,,ABCDEFGH,x103-硅产业
18,合盛硅业,有机硅-硅胶,浙江-嘉兴,,,,,,,,,ABCDEFGH,x103-硅产业
19,东岳硅材-300,有机硅-硅胶,山东-淄博,,,,,,,,,ABCDEFGH,x103-硅产业
20,新安股份,有机硅-硅胶,浙江-杭州,,,,,,,,,ABCDEFGH,x103-硅产业
21,硅宝科技-300,有机硅-硅胶,四川-成都,,,,,,,,,ABCDEFGH,x103-硅产业
22,回天新材-300,有机硅-硅胶,湖北-襄阳,,,,,,,,,ABCDEFGH,x103-硅产业
23,晨光新材,有机硅-硅胶,江西-九江,,,,,,,,,ABCDEFGH,x103-硅产业
24,宏柏新材,有机硅-硅胶,江西-景德镇,,,,,,,,,ABCDEFGH,x103-硅产业
25,江瀚新材,有机硅-硅烷偶联剂,湖北-荆州,,,,,,,,,ABCDEFGH,x103-硅产业
26,晨光新材,有机硅-硅烷偶联剂,江西-九江,,,,,,,,,ABCDEFGH,x103-硅产业
27,宏柏新材,有机硅-硅烷偶联剂,江西-景德镇,,,,,,,,,ABCDEFGH,x103-硅产业
