序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,伊朗出口前8：石油，天然气，甲醇，天青石，聚乙烯纤维，藏红花，铁矿砂，尿素,,,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
2,和顺石油,石油-成品油,湖南-长沙,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
3,泰山石油,石油-成品油,山东-泰安,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
4,广聚能源,石油-成品油,广东-深圳,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
5,国际实业,石油-成品油,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
6,博汇股份-300,石油-成品油,浙江-宁波,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
7,中国石油,石油-原油,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
8,中国海油,石油-原油,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
9,中国石化,石油-原油,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
10,洲际油气,石油-原油,海南-海口,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
11,中国石油,天然气,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
12,中国石化,天然气,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
13,中国海油,天然气,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
14,新天然气,天然气,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
15,蓝焰控股,天然气,山西-晋中,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
16,洲际油气,天然气,海南-海口,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
17,首华燃气-300,天然气,上海,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
18,金牛化工,甲醇,河北-沧州,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
19,赤天化,甲醇,贵州-贵阳,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
20,兖矿能源,甲醇,山东-济宁,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
21,广汇能源,甲醇,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
22,华谊兄弟,甲醇,浙江-金华,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
23,山西焦化,甲醇,山西-临汾,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
24,兴化股份,甲醇,陕西-咸阳,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
25,云煤能源,甲醇,云南-昆明,,锶是从天青石中提取的,,,,,,,ABCDEFGH,x105-伊朗出口前8
26,红星发展,天青石,贵州-安顺,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
27,金瑞矿业,天青石,青海-西宁,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
28,石化油服,聚乙烯纤维,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
29,同益中-688,聚乙烯纤维,北京,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
30,南山智尚-300,聚乙烯纤维,山东-烟台,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
31,恒辉安防-300,聚乙烯纤维,江苏-南通,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
32,康隆达,聚乙烯纤维,浙江-绍兴,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
33,尤夫股份,聚乙烯纤维,浙江-湖州,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
34,云中马,聚乙烯纤维,浙江-丽水,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
35,赛托生物-300,藏红花,山东-菏泽,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
36,寿仙谷,藏红花,浙江-金华,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
37,鞍钢股份,铁矿砂-铁矿石,辽宁-鞍山,,,,,,,,,ABCDEFGH,x105-伊朗出口前8
