序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,陆军分为：主战装备,单兵装备,火力打击装备,支援保障装备，新兴装备,,,,,,,,ABCDEFGH,x106-陆军
2,内蒙一机,主战装备-坦克与车辆,内蒙-包头,主战坦克第一,,,,,,,,ABCDEFGH,x106-陆军
3,北方长龙-300,主战装备-坦克与车辆,陕西-西安,军用车辆配套装备,,,,,,,,ABCDEFGH,x106-陆军
4,中兵红箭,主战装备-反装甲武器,湖南-湘潭,反坦克导弹 ： 红箭8，红箭10,,,,,,,,ABCDEFGH,x106-陆军
5,长城军工,主战装备-反装甲武器,安徽-合肥,单兵火箭筒，反坦克导弹,,,,,,,,ABCDEFGH,x106-陆军
6,天秦装备-300,单兵装备-防护,河北-秦皇岛,弹药防护装备,,,,,,,,ABCDEFGH,x106-陆军
7,万里马-300,单兵装备-防护,广东-东莞,军警防护产品,,,,,,,,ABCDEFGH,x106-陆军
8,际华集团,单兵装备-防护,北京,陆军防弹头盔,,,,,,,,ABCDEFGH,x106-陆军
9,建设工业,单兵装备-轻武器,云南-昆明,全口径枪械,,,,,,,,ABCDEFGH,x106-陆军
10,中光学,单兵装备-轻武器,河南-南阳,轻武器微光瞄准镜,,,,,,,,ABCDEFGH,x106-陆军
11,北方导航,火力打击装备-惯性制导,北京,,,,,,,,,ABCDEFGH,x106-陆军
12,航天电子,火力打击装备-惯性制导,湖北-武汉,,,,,,,,,ABCDEFGH,x106-陆军
13,理工导航,火力打击装备-惯性制导,北京,,,,,,,,,ABCDEFGH,x106-陆军
14,光电股份,火力打击装备-光学制导,湖北-襄阳,激光制导,,,,,,,,ABCDEFGH,x106-陆军
15,新光光电,火力打击装备-光学制导,黑龙江-哈尔滨,激光制导,,,,,,,,ABCDEFGH,x106-陆军
16,高德红外,火力打击装备-光学制导,湖北-武汉,红外制导,,,,,,,,ABCDEFGH,x106-陆军
17,海康威视,火力打击装备-光学制导,浙江-杭州,红外制导,,,,,,,,ABCDEFGH,x106-陆军
18,睿创微纳-688,火力打击装备-光学制导,山东-烟台,红外制导,,,,,,,,ABCDEFGH,x106-陆军
19,航天长峰,火力打击装备-光学制导,北京,红外制导,,,,,,,,ABCDEFGH,x106-陆军
20,久之洋-300,火力打击装备-光学制导,湖北-武汉,红外制导,,,,,,,,ABCDEFGH,x106-陆军
21,长城军工,火力打击装备-弹药,安徽-合肥,陆军弹药第一,,,,,,,,ABCDEFGH,x106-陆军
22,北华股份,火力打击装备-弹药,四川-泸州,陆军弹药硝化棉,,,,,,,,ABCDEFGH,x106-陆军
23,中兵红箭,火力打击装备-弹药,湖南-湘潭,陆军智能弹药,,,,,,,,ABCDEFGH,x106-陆军
24,光电股份,火力打击装备-弹药,湖北-襄阳,陆军光电武器,,,,,,,,ABCDEFGH,x106-陆军
25,中船应急-300,支援保障装备-装甲工程车辆,湖北-武汉,机动架桥车，快速铺路系统,,,,,,,,ABCDEFGH,x106-陆军
26,山河智能,支援保障装备-装甲工程车辆,湖南-长沙,装甲工程车,,,,,,,,ABCDEFGH,x106-陆军
27,捷强装备-300,支援保障装备-防化装备,天津,核辐射监测设备,,,,,,,,ABCDEFGH,x106-陆军
28,华强科技-688,支援保障装备-防化装备,湖北-宜昌,防毒服，防毒面具,,,,,,,,ABCDEFGH,x106-陆军
29,航天长峰,支援保障装备-防化装备,北京,核生化侦查与洗消装备,,,,,,,,ABCDEFGH,x106-陆军
30,建设工业,新兴装备-机器狼,云南-昆明,机器狼,,,,,,,,ABCDEFGH,x106-陆军
31,航天彩虹,新兴装备-无人机,浙江-台州,彩虹系列,,,,,,,,ABCDEFGH,x106-陆军
32,航天电子,新兴装备-无人机,湖北-武汉,,,,,,,,,ABCDEFGH,x106-陆军
33,中无人机,新兴装备-无人机,四川-成都,翼龙系列,,,,,,,,ABCDEFGH,x106-陆军
34,中航沈飞,新兴装备-无人机,山东-威海,,,,,,,,,ABCDEFGH,x106-陆军
35,新兴装备,新兴装备-外骨骼机器,北京,军用外骨骼机器人,,,,,,,,ABCDEFGH,x106-陆军
36,光启技术,新兴装备-隐身技术,广东-深圳,单兵装备电磁防护和伪装系统,,,,,,,,ABCDEFGH,x106-陆军
37,智明达-688,新兴装备-嵌入式计算机,四川-成都,嵌入式计算机模块应用于车载，单兵装备,,,,,,,,ABCDEFGH,x106-陆军
