序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,导弹分为：制导（惯性制导，光学制导，雷达制导）,动力，雷达，总装,,,,,,,,,,ABCDEFGH,x107-导弹
2,北方导航,导弹-制导-惯性制导,北京,,,,,,,,,ABCDEFGH,x107-导弹
3,航天电子,导弹-制导-惯性制导,湖北-武汉,,,,,,,,,ABCDEFGH,x107-导弹
4,晨曦航空-300,导弹-制导-惯性制导,陕西-西安,,,,,,,,,ABCDEFGH,x107-导弹
5,理工导航-688,导弹-制导-惯性制导,北京,,,,,,,,,ABCDEFGH,x107-导弹
6,光电股份,导弹-制导-光学制导,湖北-襄阳,,,,,,,,,ABCDEFGH,x107-导弹
7,新光光电-688,导弹-制导-光学制导,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x107-导弹
8,高德红外,导弹-制导-光学制导,湖北-武汉,,,,,,,,,ABCDEFGH,x107-导弹
9,海康威视,导弹-制导-光学制导,浙江-杭州,,,,,,,,,ABCDEFGH,x107-导弹
10,航天长峰,导弹-制导-光学制导,北京,,,,,,,,,ABCDEFGH,x107-导弹
11,睿创微纳-688,导弹-制导-光学制导,山东-烟台,,,,,,,,,ABCDEFGH,x107-导弹
12,久之洋-300,导弹-制导-光学制导,湖北-武汉,,,,,,,,,ABCDEFGH,x107-导弹
13,天箭科技,导弹-制导-雷达制导,四川-成都,,,,,,,,,ABCDEFGH,x107-导弹
14,中天火箭,动力,陕西-西安,,,,,,,,,ABCDEFGH,x107-导弹
15,邵阳液压-300,动力,湖南-邵阳,,,,,,,,,ABCDEFGH,x107-导弹
16,国科军工-688,动力,江西-南昌,,,,,,,,,ABCDEFGH,x107-导弹
17,国睿科技,雷达,江苏-南京,,,,,,,,,ABCDEFGH,x107-导弹
18,四创电子,雷达,安徽-合肥,,,,,,,,,ABCDEFGH,x107-导弹
19,雷科防务,雷达,北京,,,,,,,,,ABCDEFGH,x107-导弹
20,纳睿雷达-688,雷达,广东-珠海,,,,,,,,,ABCDEFGH,x107-导弹
21,海兰信-300,雷达,北京,,,,,,,,,ABCDEFGH,x107-导弹
22,国博电子-688,雷达,江苏-南京,,,,,,,,,ABCDEFGH,x107-导弹
23,亚光科技-300,雷达,湖南-益阳,,,,,,,,,ABCDEFGH,x107-导弹
24,霍莱沃-688,雷达,上海,,,,,,,,,ABCDEFGH,x107-导弹
25,雷电微力-300,雷达,四川-成都,,,,,,,,,ABCDEFGH,x107-导弹
26,四川九洲,雷达,四川-绵阳,,,,,,,,,ABCDEFGH,x107-导弹
27,中兵红箭,总装,湖南-湘潭,,,,,,,,,ABCDEFGH,x107-导弹
28,高德红外,总装,湖北-武汉,,,,,,,,,ABCDEFGH,x107-导弹
29,广东宏大,总装,广东-广州,,,,,,,,,ABCDEFGH,x107-导弹
30,长城军工,总装,安徽-合肥,,,,,,,,,ABCDEFGH,x107-导弹
31,洪都航空,总装,江西-南昌,,,,,,,,,ABCDEFGH,x107-导弹
