序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,电子元器件分为：GAA晶体管，磁性元件，陶瓷封装，,电阻，电感，晶振,晶闸管，二极管，代工，分销,,,,,,,,,ABCDEFGH,x108-电子元器件
2,新莱应材-300,GAA晶体管,江苏-苏州,,,,,,,,,ABCDEFGH,x108-电子元器件
3,柏诚股份,GAA晶体管,江苏-无锡,,,,,,,,,ABCDEFGH,x108-电子元器件
4,顺络电子,磁性元件,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
5,可立克,磁性元件,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
6,铭普光磁,磁性元件,广东-东莞,,,,,,,,,ABCDEFGH,x108-电子元器件
7,京泉华,磁性元件,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
8,三环集团-300,陶瓷封装,广东-潮州,,,,,,,,,ABCDEFGH,x108-电子元器件
9,中瓷电子,陶瓷封装,河北-石家庄,,,,,,,,,ABCDEFGH,x108-电子元器件
10,旭光电子,陶瓷封装,四川-成都,,,,,,,,,ABCDEFGH,x108-电子元器件
11,风华高科,电阻,广东-肇庆,,,,,,,,,ABCDEFGH,x108-电子元器件
12,三环集团-300,电阻,广东-潮州,,,,,,,,,ABCDEFGH,x108-电子元器件
13,顺络电子,电感,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
14,麦捷科技-300,电感,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
15,风华高科,电感,广东-肇庆,,,,,,,,,ABCDEFGH,x108-电子元器件
16,泰晶科技,晶振,湖北-随州,,,,,,,,,ABCDEFGH,x108-电子元器件
17,惠伦晶体-300,晶振,广东-东莞,,,,,,,,,ABCDEFGH,x108-电子元器件
18,士兰微,IGBT,浙江-杭州,,,,,,,,,ABCDEFGH,x108-电子元器件
19,斯达半导,IGBT,浙江-嘉兴,,,,,,,,,ABCDEFGH,x108-电子元器件
20,时代电气-688,IGBT,湖南-株洲,,,,,,,,,ABCDEFGH,x108-电子元器件
21,宏微科技-688,IGBT,江苏-常州,,,,,,,,,ABCDEFGH,x108-电子元器件
22,新洁能,IGBT,江苏-无锡,,,,,,,,,ABCDEFGH,x108-电子元器件
23,皇庭国际,IGBT,深圳,地产转型功率半导体,,,,,,,,ABCDEFGH,x108-电子元器件
24,华润微-688,MOSFET,,半导体型场效应管，MOSFET主要用作二进制计算的逻辑电路,,,,,,,,ABCDEFGH,x108-电子元器件
25,闻泰科技,MOSFET,湖北-黄石,,,,,,,,,ABCDEFGH,x108-电子元器件
26,士兰微,MOSFET,浙江-杭州,,,,,,,,,ABCDEFGH,x108-电子元器件
27,新洁能,MOSFET,江苏-无锡,,,,,,,,,ABCDEFGH,x108-电子元器件
28,立昂微,MOSFET,浙江-杭州,,,,,,,,,ABCDEFGH,x108-电子元器件
29,上海贝岭,MOSFET,上海,,,,,,,,,ABCDEFGH,x108-电子元器件
30,东微半导-688,MOSFET,江苏-苏州,,,,,,,,,ABCDEFGH,x108-电子元器件
31,锴威特-688,MOSFET,江苏-苏州,,,,,,,,,ABCDEFGH,x108-电子元器件
32,芯联集成-688,MOSFET,浙江-绍兴,,,,,,,,,ABCDEFGH,x108-电子元器件
33,捷捷微电-300,晶闸管,江苏-南通,,,,,,,,,ABCDEFGH,x108-电子元器件
34,时代电气-688,晶闸管,湖南-株洲,,,,,,,,,ABCDEFGH,x108-电子元器件
35,台基股份-300,晶闸管,湖北-襄阳,,,,,,,,,ABCDEFGH,x108-电子元器件
36,派瑞股份-300,晶闸管,陕西-西安,,,,,,,,,ABCDEFGH,x108-电子元器件
37,扬杰科技-300,二极管,江苏-扬州,,,,,,,,,ABCDEFGH,x108-电子元器件
38,国星光电,二极管,广东-佛山,,,,,,,,,ABCDEFGH,x108-电子元器件
39,芯导科技-688,二极管,上海,,,,,,,,,ABCDEFGH,x108-电子元器件
40,银河微电-688,二极管,江苏-常州,,,,,,,,,ABCDEFGH,x108-电子元器件
41,易德龙,代工,江苏-苏州,,,,,,,,,ABCDEFGH,x108-电子元器件
42,深圳华强,分销,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
43,力源信息-300,分销,湖北-武汉,,,,,,,,,ABCDEFGH,x108-电子元器件
44,好上好,分销,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
45,商络电子-300,分销,江苏-南京,,,,,,,,,ABCDEFGH,x108-电子元器件
46,英唐智控-300,分销,深圳,,,,,,,,,ABCDEFGH,x108-电子元器件
47,盈方微,分销,湖北-荆州,,,,,,,,,ABCDEFGH,x108-电子元器件
48,太龙股份-300,分销,福建-漳州,,,,,,,,,ABCDEFGH,x108-电子元器件
49,润欣科技-300,分销,上海,,,,,,,,,ABCDEFGH,x108-电子元器件
50,雅创电子-300,分销,上海,,,,,,,,,ABCDEFGH,x108-电子元器件
51,睿能科技,分销,福建-福州,,,,,,,,,,
