序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,工业母机分为,零部件+机床,零部件分为：电主轴，数控系统，数控刀片，超硬刀具,机床分为：数控机床，金属切削，金属成形，磨床,,,,,,,,ABCDEFGH,x11-工业母机
2,工业母机就是机床,用于固体形状材料加工，因其是制造机器的机器，下游应用领域非常广泛，是传统机械工业、汽车工业、电力设备、铁路机车、船舶、国防工业、航空、石油化工等整个工业的基础设备，故被称为工业母机。,,,,,,,,,,ABCDEFGH,x11-工业母机
3,昊志机电-300,工业母机零部件-电主轴,广州,营收占比43.2%，为4.26亿,,,,,,,,ABCDEFGH,x11-工业母机
4,国机精工,工业母机零部件-电主轴,河南-洛阳,营收占比1.29%，为0.42亿,,,,,,,,ABCDEFGH,x11-工业母机
5,华中数控-300,工业母机零部件-数控系统,湖北-武汉,国产高端数控系统市占率近50%，在国产品牌中排名第一,,,,,,,,ABCDEFGH,x11-工业母机
6,精伦电子,工业母机零部件-数控系统,湖北-武汉,缝制机械数控系统市占率国内第一,,,,,,,,ABCDEFGH,x11-工业母机
7,维宏股份-300,工业母机零部件-数控系统,上海-闵行区,运动控制产品营收占比82%，产品包括运动控制卡、一体化运动控制器,,,,,,,,ABCDEFGH,x11-工业母机
8,科德数控-688,工业母机零部件-数控系统,辽宁-大连,数控系统国产替代,,,,,,,,ABCDEFGH,x11-工业母机
9,中钨高新,工业母机零部件-数控刀片,海南-海口,数控刀片产量第一，年产1.09亿片,,,,,,,,ABCDEFGH,x11-工业母机
10,欧科亿-688,工业母机零部件-数控刀片,湖南-株洲,数控刀片产量第二，年产8097万片,,,,,,,,ABCDEFGH,x11-工业母机
11,华锐精密-688,工业母机零部件-数控刀片,湖南-株洲,数控刀片产量第三，年产8097万片,,,,  ,,,,ABCDEFGH,x11-工业母机
12,恒锋工具-300,工业母机零部件-数控刀片,浙江-嘉兴,拉刀、滚刀 产量销量国内第一,,,,,,,,ABCDEFGH,x11-工业母机
13,鲍斯股份-300,工业母机零部件-数控刀片,浙江-宁波,金属切削刀片营收2亿,,,,,,,,ABCDEFGH,x11-工业母机
14,沃尔德-688,工业母机零部件-超硬刀具,北京-朝阳,超硬刀具市占率第一，市占率4%,,,,,,,,ABCDEFGH,x11-工业母机
15,四方达-300,工业母机零部件-超硬刀具,河南-郑州,超硬刀具市占率第二，市占率2%,,,,,,,,ABCDEFGH,x11-工业母机
16,创世纪-300,工业母机-机床- 数控机床,广东-东莞,（通用）-国产通用型数控机床第一,,,,,,,,ABCDEFGH,x11-工业母机
17,科德数控-688,工业母机-机床- 数控机床,辽宁-大连,（高档）-高端五轴机床技术第一，自主化率85%,,,,,,,,ABCDEFGH,x11-工业母机
18,秦川机床,工业母机-机床- 数控机床,陕西-宝鸡,（高档）-高端五轴机床技术第二，机床老兵再出发,,,,,,,,ABCDEFGH,x11-工业母机
19,华东数控,工业母机-机床- 数控机床,山东-威海,（高档）高端数控龙门铣床,,,,,,,,ABCDEFGH,x11-工业母机
20,华东重机,工业母机-机床- 数控机床,江苏-无锡,（高档）-华南地区规模最大的高端数控机床厂商,,,,,,,,ABCDEFGH,x11-工业母机
21,汇洲智能,工业母机-机床- 数控机床,浙江-衢州,（重型）重型数控车床市占率第一，45%,,,,,,,,ABCDEFGH,x11-工业母机
22,青海华鼎,工业母机-机床- 数控机床,青海-西宁,（重型）重型卧式车床系列产品,,,,,,,,ABCDEFGH,x11-工业母机
