序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,玻璃纤维分为：,,,行业应用（电子布，电子纱） ，纤维产品， 石英砂,石英砂是玻璃纤维的核心原料，占其配方总质量的50%-70%。其作用至关重要:,,,,,,,ABCDEFGH,x111-玻璃纤维
2,宏和科技,行业应用-电子布,上海,极薄电子布进度第一,,,,,,,,ABCDEFGH,x111-玻璃纤维
3,中国巨石,行业应用-电子布,浙江-嘉兴,,,,,,,,,ABCDEFGH,x111-玻璃纤维
4,国际复材-300,行业应用-电子布,重庆,,,,,,,,,ABCDEFGH,x111-玻璃纤维
5,中材科技,行业应用-电子布,江苏-南京,,,,,,,,,ABCDEFGH,x111-玻璃纤维
6,平安电工,行业应用-电子布,湖北-咸宁,,,,,,,,,ABCDEFGH,x111-玻璃纤维
7,金安国纪,行业应用-电子布,上海,,,,,,,,,ABCDEFGH,x111-玻璃纤维
8,卓郎智能,行业应用-电子布,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x111-玻璃纤维
9,中国巨石,行业应用-电子纱,浙江-嘉兴,,,,,,,,,ABCDEFGH,x111-玻璃纤维
10,中材科技,行业应用-电子纱,江苏-南京,,,,,,,,,ABCDEFGH,x111-玻璃纤维
11,国际复材-300,行业应用-电子纱,重庆,,,,,,,,,ABCDEFGH,x111-玻璃纤维
12,宏和科技,行业应用-电子纱,上海,,,,,,,,,ABCDEFGH,x111-玻璃纤维
13,中国巨石,纤维产品,浙江-嘉兴,,,,,,,,,ABCDEFGH,x111-玻璃纤维
14,中材科技,纤维产品,江苏-南京,,,,,,,,,ABCDEFGH,x111-玻璃纤维
15,国际复材-300,纤维产品,重庆,,,,,,,,,ABCDEFGH,x111-玻璃纤维
16,山东玻纤,纤维产品,山东-临沂,,,,,,,,,ABCDEFGH,x111-玻璃纤维
17,长海股份-300,纤维产品,江苏-常州,,,,,,,,,ABCDEFGH,x111-玻璃纤维
18,九鼎新材,纤维产品,江苏-南通,,,,,,,,,ABCDEFGH,x111-玻璃纤维
19,石英股份,石英砂,江苏-连云港,石英砂是玻璃纤维的核心原料，占其配方总质量的50%-70%。其作用至关重要:,,,,,,,,ABCDEFGH,x111-玻璃纤维
20,岱勒新材-300,石英砂,湖南-长沙,,,,,,,,,ABCDEFGH,x111-玻璃纤维
21,三峡新材,石英砂,湖北-宜昌,,,,,,,,,ABCDEFGH,x111-玻璃纤维
22,福莱特,石英砂,浙江-嘉兴,,,,,,,,,ABCDEFGH,x111-玻璃纤维
23,中旗新材,石英砂,广东-佛山,,,,,,,,,ABCDEFGH,x111-玻璃纤维
24,凯盛科技,石英砂,安徽-蚌埠,,,,,,,,,ABCDEFGH,x111-玻璃纤维
25,菲利华-300,石英砂,湖北-荆州,,,,,,,,,ABCDEFGH,x111-玻璃纤维
26,壹石通-688‘,石英砂,安徽-蚌埠,,,,,,,,,ABCDEFGH,x111-玻璃纤维
27,粤桂股份,石英砂,广西-贵港,,,,,,,,,,
