序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,海螺水泥,全国,安徽-芜湖,我国最大水泥企业,,,,,,,,ABCDEFGH,x112-水泥
2,西部建设,全国,新疆-乌鲁木齐,最大的预拌混凝土,,,,,,,,ABCDEFGH,x112-水泥
3,华新水泥,全国,湖北-黄石,,,,,,,,,ABCDEFGH,x112-水泥
4,冀东水泥,全国,河北-唐山,,,,,,,,,ABCDEFGH,x112-水泥
5,天山股份,全国,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x112-水泥
6,冀东水泥,京津冀,河北-唐山,,,,,,,,,ABCDEFGH,x112-水泥
7,金隅集团,京津冀,北京,,,,,,,,,ABCDEFGH,x112-水泥
8,中交设计,甘肃,甘肃-兰州,,,,,,,,,ABCDEFGH,x112-水泥
9,青松建化,新疆,新疆,南疆本地,,,,,,,,ABCDEFGH,x112-水泥
10,海南瑞泽,海南,海南-三亚,,,,,,,,,ABCDEFGH,x112-水泥
11,福建水泥,福建,福建-福州,,,,,,,,,ABCDEFGH,x112-水泥
12,四方新材,重庆,重庆,,,,,,,,,ABCDEFGH,x112-水泥
13,四川双马,四川,四川-绵阳,,,,,,,,,ABCDEFGH,x112-水泥
14,四川金顶,四川,四川-乐山,,,,,,,,,ABCDEFGH,x112-水泥
15,上峰水泥,浙江,甘肃-白银,,,,,,,,,ABCDEFGH,x112-水泥
16,尖峰集团,浙江,浙江-金华,,,,,,,,,ABCDEFGH,x112-水泥
17,上海建工,上海,上海,,,,,,,,,ABCDEFGH,x112-水泥
18,金圆股份,青海,吉林-长春,,,,,,,,,ABCDEFGH,x112-水泥
19,塔牌集团,广东,广东-梅州,,,,,,,,,ABCDEFGH,x112-水泥
20,宁夏建材,宁夏,宁夏-银川,,,,,,,,,ABCDEFGH,x112-水泥
21,西藏天路,西藏,西藏-拉萨,,,,,,,,,ABCDEFGH,x112-水泥
22,万年青,江西,江西-上饶,,,,,,,,,ABCDEFGH,x112-水泥
