序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,氢能源分为：,,,制氢，储氢，加氢站，燃料电池，电池车，检测设备，平台企业,,,,,,,,ABCDEFGH,x113-氢能源
2,昇辉科技,制氢-电解槽,山东-烟台,布局介入电解槽设备时间A股第一,,,,,,,,ABCDEFGH,x113-氢能源
3,华光环能,制氢-电解槽,江苏-无锡,布局介入电解槽设备时间A股第2,,,,,,,,ABCDEFGH,x113-氢能源
4,华电科工,制氢-电解槽,北京,,,,,,,,,ABCDEFGH,x113-氢能源
5,双良节能,制氢-电解槽,江苏-苏溪,,,,,,,,,ABCDEFGH,x113-氢能源
6,航天工程,制氢-电解槽,北京,,,,,,,,,ABCDEFGH,x113-氢能源
7,兰石重装,制氢-电解槽,甘肃-兰州,,,,,,,,,ABCDEFGH,x113-氢能源
8,天元智能,制氢-电解槽,江苏-常州,,,,,,,,,ABCDEFGH,x113-氢能源
9,科隆股份-300,制氢-电解槽电极,辽宁-辽阳,,,,,,,,,ABCDEFGH,x113-氢能源
10,京城股份,储氢-气态储氢,北京,,,,,,,,,ABCDEFGH,x113-氢能源
11,亚普股份,储氢-气态储氢,江苏-扬州,,,,,,,,,ABCDEFGH,x113-氢能源
12,兰石重装,储氢-气态储氢,甘肃-兰州,,,,,,,,,ABCDEFGH,x113-氢能源
13,石化机械,储氢-气态储氢,湖北-武汉,,,,,,,,,ABCDEFGH,x113-氢能源
14,航天晨光,储氢-液态储氢,江苏-南京,,,,,,,,,ABCDEFGH,x113-氢能源
15,富瑞特装-300,储氢-液态储氢,江苏-苏州,,,,,,,,,ABCDEFGH,x113-氢能源
16,厚普股份-300,储氢-固态储氢,四川-成都,,,,,,,,,ABCDEFGH,x113-氢能源
17,圣元环保-300,储氢-固态储氢,福建-厦门,,,,,,,,,ABCDEFGH,x113-氢能源
18, 雄韬股份,储氢-固态储氢,广东-深圳,,,,,,,,,ABCDEFGH,x113-氢能源
19,安泰科技,储氢-固态储氢,北京,,,,,,,,,ABCDEFGH,x113-氢能源
20,宝武镁业,储氢-固态储氢,江苏-南京,,,,,,,,,ABCDEFGH,x113-氢能源
21,冰轮环境,加氢站-空压机,山东-烟台,,,,,,,,,ABCDEFGH,x113-氢能源
22,冰山冷热,加氢站-空压机,辽宁-大连,,,,,,,,,ABCDEFGH,x113-氢能源
23,雪人集团,加氢站-空压机,福建-福州,,,,,,,,,ABCDEFGH,x113-氢能源
24,金通灵-300,加氢站-空压机,江苏-南通,,,,,,,,,ABCDEFGH,x113-氢能源
25,京城股份,加氢站-储氢瓶,北京,,,,,,,,,ABCDEFGH,x113-氢能源
26,亚普股份,加氢站-储氢瓶,江苏-扬州,,,,,,,,,ABCDEFGH,x113-氢能源
27,兰石重装,加氢站-储氢瓶,甘肃-兰州,,,,,,,,,ABCDEFGH,x113-氢能源
28,亿华通-688,燃料电池-电堆,北京,,,,,,,,,ABCDEFGH,x113-氢能源
29,潍柴动力,燃料电池-电堆,潍坊,,,,,,,,,ABCDEFGH,x113-氢能源
30,腾龙股份,燃料电池-电堆,江苏-常州,,,,,,,,,ABCDEFGH,x113-氢能源
31,全柴动力,燃料电池-电堆,安徽-滁州,,,,,,,,,ABCDEFGH,x113-氢能源
32,云内动力,燃料电池-电堆,云南-昆明,,,,,,,,,ABCDEFGH,x113-氢能源
33,纳尔股份,燃料电池-膜电极,上海,,,,,,,,,ABCDEFGH,x113-氢能源
34,康普顿,燃料电池-膜电极,山东-青岛,,,,,,,,,ABCDEFGH,x113-氢能源
35,全柴动力,燃料电池-膜电极,安徽-滁州,,,,,,,,,ABCDEFGH,x113-氢能源
36,跃岭股份,燃料电池-膜电极,浙江-台州,,,,,,,,,ABCDEFGH,x113-氢能源
37,贵研铂业,燃料电池-催化剂,云南-昆明,,,,,,,,,ABCDEFGH,x113-氢能源
38,威孚高科,燃料电池-双极板,江苏-无锡,,,,,,,,,ABCDEFGH,x113-氢能源
39,安泰科技,燃料电池-双极板,北京呢,,,,,,,,,ABCDEFGH,x113-氢能源
40,宇通重工,电池车-特种车,河南-郑州,,,,,,,,,ABCDEFGH,x113-氢能源
41,宇通客车,电池车-商用车,河南-郑州,,,,,,,,,ABCDEFGH,x113-氢能源
42,美锦能源,电池车-商用车,山西-太原,,,,,,,,,ABCDEFGH,x113-氢能源
43,永安行,电池车-特种车,江苏-常州,,,,,,,,,ABCDEFGH,x113-氢能源
44,科尔维-688,检测设备,安徽-合肥,,,,,,,,,ABCDEFGH,x113-氢能源
45,美锦能源,平台企业,山西-太原,平台型企业指制、储、存、用全产业链布局企业,,,,,,,,ABCDEFGH,x113-氢能源
46,雄韬股份,平台企业,深圳,平台型企业指制、储、存、用全产业链布局企业,,,,,,,,ABCDEFGH,x113-氢能源
47,蜀道装备,平台企业,四川-成都,平台型企业指制、储、存、用全产业链布局企业,,,,,,,,ABCDEFGH,x113-氢能源
48,科新机电-300,平台企业,四川-德阳,平台型企业指制、储、存、用全产业链布局企业,,,,,,,,ABCDEFGH,x113-氢能源
49,镇海股份,平台企业,浙江-宁波,平台型企业指制、储、存、用全产业链布局企业,,,,,,,,ABCDEFGH,x113-氢能源
