序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,传媒分为： ,,,小说，影视，电视媒体，游戏，出版商，实体广告,,,,,,,,ABCDEFGH,x114-传媒
2,中文在线,小说,北京,,,,,,,,,ABCDEFGH,x114-传媒
3,掌阅科技,小说,北京,,,,,,,,,ABCDEFGH,x114-传媒
4,奥飞娱乐,影视-动漫,广东-汕头,,,,,,,,,ABCDEFGH,x114-传媒
5,上海电影,影视-动漫,上海,,,,,,,,,ABCDEFGH,x114-传媒
6,光线传媒,影视-动漫,北京,,,,,,,,,ABCDEFGH,x114-传媒
7,祥源文旅,影视-动漫,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
8,恒信东方,影视-动漫,北京,,,,,,,,,ABCDEFGH,x114-传媒
9,中国电影,影视-电影发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
10,华谊兄弟,影视-电影发行,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
11,博纳影业,影视-电影发行,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x114-传媒
12,万达电影,影视-电影发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
13,光线传媒,影视-电影发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
14,上海电影,影视-电影发行,上海,,,,,,,,,ABCDEFGH,x114-传媒
15,北京文化,影视-电影发行,北京-门头沟,,,,,,,,,ABCDEFGH,x114-传媒
16,华策影视-300,影视-电视剧发行,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
17,欢瑞世纪,影视-电视剧发行,重庆,,,,,,,,,ABCDEFGH,x114-传媒
18,完美世界,影视-电视剧发行,浙江-湖州,,,,,,,,,ABCDEFGH,x114-传媒
19,万达电影,影视-电视剧发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
20,光线传媒,影视-电视剧发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
21,华智数媒,影视-电视剧发行,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
22,慈文传媒,影视-电视剧发行,江西-南昌,,,,,,,,,ABCDEFGH,x114-传媒
23,华谊兄弟,影视-电视剧发行,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
24,百纳千成-300,影视-电视剧发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
25,北京文化,影视-电视剧发行,北京,,,,,,,,,ABCDEFGH,x114-传媒
26,浙文影业,影视-电视剧发行,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
27,捷成股份-300,影视-影视版权运营,北京-昌平,,,,,,,,,ABCDEFGH,x114-传媒
28,华策影视-300,影视-影视版权运营,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
29,万达电影,影视-影视院线,北京,,,,,,,,,ABCDEFGH,x114-传媒
30,中国电影,影视-影视院线,北京,,,,,,,,,ABCDEFGH,x114-传媒
31,上海电影,影视-影视院线,上海,,,,,,,,,ABCDEFGH,x114-传媒
32,金逸影视,影视-影视院线,广东-广州,,,,,,,,,ABCDEFGH,x114-传媒
33,横店影视,影视-影视院线,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
34,幸福蓝海-300,影视-影视院线,江苏-南京,,,,,,,,,ABCDEFGH,x114-传媒
35,博纳影业,影视-影视院线,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x114-传媒
36,文投控股,影视-影视院线,北京,,,,,,,,,ABCDEFGH,x114-传媒
37,华谊兄弟,影视-艺人经纪,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
38,芒果超媒,影视-艺人经纪,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
39,欢瑞世纪,影视-艺人经纪,重庆,,,,,,,,,ABCDEFGH,x114-传媒
40,华策影视-300,影视-艺人经纪,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
41,人民网,电视媒体-权威官媒,北京,,,,,,,,,ABCDEFGH,x114-传媒
42,新华网,电视媒体-权威官媒,北京,,,,,,,,,ABCDEFGH,x114-传媒
43,中视传媒,电视媒体-新媒体,上海,,,,,,,,,ABCDEFGH,x114-传媒
44,川网传媒,电视媒体-新媒体,四川-成都,,,,,,,,,ABCDEFGH,x114-传媒
45,海看股份-300,电视媒体-新媒体,山东-济南,海信的,,,,,,,,ABCDEFGH,x114-传媒
46,兆讯传媒-300,电视媒体-新媒体,天津,,,,,,,,,ABCDEFGH,x114-传媒
47,芒果超媒,电视媒体-新媒体,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
48,华媒控股,电视媒体-新媒体,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
49,龙韵股份,电视媒体-新媒体,上海,,,,,,,,,ABCDEFGH,x114-传媒
50,哈尔斯,电视媒体-新媒体,浙江-金华,,,,,,,,,ABCDEFGH,x114-传媒
51,无线传媒-300,电视媒体-新媒体,河北-石家庄,,,,,,,,,ABCDEFGH,x114-传媒
52,东方明珠,电视媒体-有线电视,上海,,,,,,,,,ABCDEFGH,x114-传媒
53,江苏有线,电视媒体-有线电视,江苏-南京,,,,,,,,,ABCDEFGH,x114-传媒
54,华数传媒,电视媒体-有线电视,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
55,贵广网络,电视媒体-有线电视,贵州-贵阳,,,,,,,,,ABCDEFGH,x114-传媒
56,歌华有线,电视媒体-有线电视,北京,,,,,,,,,ABCDEFGH,x114-传媒
57,电广传媒,电视媒体-有线电视,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
58,湖北广电,电视媒体-有线电视,湖北-武汉,,,,,,,,,ABCDEFGH,x114-传媒
59,吉视传媒,电视媒体-有线电视,吉林-长春,,,,,,,,,ABCDEFGH,x114-传媒
60,广西广电,电视媒体-有线电视,广西-南宁,,,,,,,,,ABCDEFGH,x114-传媒
61,天威视讯,电视媒体-有线电视,深圳,,,,,,,,,ABCDEFGH,x114-传媒
62,电广传媒,游戏-真人互动游戏,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
63,百纳千成-300,游戏-真人互动游戏,北京,,,,,,,,,ABCDEFGH,x114-传媒
64,中文在线,游戏-真人互动游戏,北京,,,,,,,,,ABCDEFGH,x114-传媒
65,富春股份-300,游戏-真人互动游戏,福建-福州,,,,,,,,,ABCDEFGH,x114-传媒
66,盛天网络-300,游戏-游戏平台,湖北-武汉,,,,,,,,,ABCDEFGH,x114-传媒
67,完美世界,游戏-游戏研发,浙江-湖州,,,,,,,,,ABCDEFGH,x114-传媒
68,三七互娱,游戏-游戏研发,安徽-芜湖,,,,,,,,,ABCDEFGH,x114-传媒
69,巨人网络,游戏-游戏研发,重庆,,,,,,,,,ABCDEFGH,x114-传媒
