序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,建筑设计分为：,,,建筑设计，室内设计，城市规划，交通勘察，工程设计，工程检测,,,,,,,,ABCDEFGH,x115-建筑设计
2,华建集团,建筑设计,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
3,华阳国际,建筑设计,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
4,启迪设计,建筑设计,江苏-苏州,,,,,,,,,ABCDEFGH,x115-建筑设计
5,中衡设计,建筑设计,江苏-苏州,,,,,,,,,ABCDEFGH,x115-建筑设计
6,筑博设计-300,建筑设计,西藏-拉萨,,,,,,,,,ABCDEFGH,x115-建筑设计
7,尤安设计-300,建筑设计,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
8,汉嘉设计-300,建筑设计,浙江-杭州,,,,,,,,,ABCDEFGH,x115-建筑设计
9,建研设计-300,建筑设计,安徽-合肥,,,,,,,,,ABCDEFGH,x115-建筑设计
10,霍普股份-300,建筑设计,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
11,矩阵股份-300,室内设计,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
12,杰恩设计-300,室内设计,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
13,蕾奥规划,城市规划,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
14,新城市,城市规划,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
15,苏州规划,城市规划,苏州,,,,,,,,,ABCDEFGH,x115-建筑设计
16,建科院-300,城市规划,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
17,苏交科-300,交通勘察,江苏-南京,,,,,,,,,ABCDEFGH,x115-建筑设计
18,华设集团,交通勘察,江苏-南京,,,,,,,,,ABCDEFGH,x115-建筑设计
19,设研院-300,交通勘察,河南-郑州,,,,,,,,,ABCDEFGH,x115-建筑设计
20,设计总院,交通勘察,安徽-合肥,,,,,,,,,ABCDEFGH,x115-建筑设计
21,勘设股份,交通勘察,贵州-贵阳,,,,,,,,,ABCDEFGH,x115-建筑设计
22,甘咨询,交通勘察,甘肃-兰州,,,,,,,,,ABCDEFGH,x115-建筑设计
23,中设股份,交通勘察,江苏-无锡,,,,,,,,,ABCDEFGH,x115-建筑设计
24,建发和诚,交通勘察,福建,,,,,,,,,ABCDEFGH,x115-建筑设计
25,地铁设计,工程设计,广州,,,,,,,,,ABCDEFGH,x115-建筑设计
26,中国海诚,工程设计,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
27,南大环境-300,工程设计,江苏-南京,,,,,,,,,ABCDEFGH,x115-建筑设计
28,深水规院-300,工程设计,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
29,奥雅股份-300,工程设计,深圳,,,,,,,,,ABCDEFGH,x115-建筑设计
30,华蓝集团-300,工程设计,广西-南宁,,,,,,,,,ABCDEFGH,x115-建筑设计
31,深圳瑞捷-300,工程检测,深圳,第3方建筑工程评估营收第一,,,,,,,,ABCDEFGH,x115-建筑设计
32,上海建科,工程检测,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
33,同济科技,工程检测,上海,,,,,,,,,ABCDEFGH,x115-建筑设计
34,建研院,工程检测,江苏-苏州,,,,,,,,,ABCDEFGH,x115-建筑设计
35,中达安-300,工程检测,广州,通信，水利，电力监理,,,,,,,,ABCDEFGH,x115-建筑设计
