序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,新型城镇化分为：,,,城市规划，第三方评估，建筑设计，管道，景观设计，园林工程，智能水电气,,,,,,,,ABCDEFGH,x116-新型城镇化
2,蕾奥规划,城市规划,,,,,,,,,,ABCDEFGH,x116-新型城镇化
3,新城市-300,城市规划,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
4,苏州规划-300,城市规划,江苏-苏州,,,,,,,,,ABCDEFGH,x116-新型城镇化
5,建科院-300,城市规划,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
6,深圳瑞捷-300,第3方评估,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
7,华建集团,建筑设计,上海,,,,,,,,,ABCDEFGH,x116-新型城镇化
8,华阳国际,建筑设计,深圳,,,,,,,,,ABCDEFGH,x116-新型城镇化
9,启迪设计-300,建筑设计,江苏-苏州,,,,,,,,,ABCDEFGH,x116-新型城镇化
10,中衡设计,建筑设计,江苏-苏州,,,,,,,,,ABCDEFGH,x116-新型城镇化
11,筑博设计-300,建筑设计,西藏-拉塞,,,,,,,,,ABCDEFGH,x116-新型城镇化
12,尤安设计-300,建筑设计,上海,,,,,,,,,ABCDEFGH,x116-新型城镇化
13,汉嘉设计-300,建筑设计,浙江-杭州,,,,,,,,,ABCDEFGH,x116-新型城镇化
14,青龙管业,管道-混凝土管道,宁夏-吴忠,,,,,,,,,ABCDEFGH,x116-新型城镇化
15,龙泉股份,管道-混凝土管道,山东-淄博,,,,,,,,,ABCDEFGH,x116-新型城镇化
16,国统股份,管道-混凝土管道,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x116-新型城镇化
17,韩建河山,管道-混凝土管道,北京,,,,,,,,,ABCDEFGH,x116-新型城镇化
18,三和管桩,管道-混凝土管道,广东-中山,,,,,,,,,ABCDEFGH,x116-新型城镇化
19,公元股份,管道-塑料管道,浙江-台州,,,,,,,,,ABCDEFGH,x116-新型城镇化
20,伟星新材,管道-塑料管道,浙江-台州,,,,,,,,,ABCDEFGH,x116-新型城镇化
21,雄塑科技-300,管道-塑料管道,广东-佛山,,,,,,,,,ABCDEFGH,x116-新型城镇化
22,沧州明珠,管道-塑料管道,河北-沧州,,,,,,,,,ABCDEFGH,x116-新型城镇化
23,顾地科技,管道-塑料管道,湖北-鄂州,,,,,,,,,ABCDEFGH,x116-新型城镇化
24,东宏股份,管道-塑料管道,山东-济宁,,,,,,,,,ABCDEFGH,x116-新型城镇化
25,国机汽车,管道-塑料管道,天津,,,,,,,,,ABCDEFGH,x116-新型城镇化
