序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,建筑分为：,,,钢结构，房屋建设，专业工程,,,,,,,,ABCDEFGH,x118-建筑
2,光正眼科,钢结构,新疆-乌鲁木齐,公司有用专业的钢结构设计院,,,,,,,,ABCDEFGH,x118-建筑
3,华神科技,钢结构,四川-成都,,,,,,,,,ABCDEFGH,x118-建筑
4,雅博股份,钢结构,山东-枣庄,,,,,,,,,ABCDEFGH,x118-建筑
5,海波重科,钢结构,,,,,,,,,,ABCDEFGH,x118-建筑
6,建科智能-300,钢结构,天津,,,,,,,,,ABCDEFGH,x118-建筑
7,日上集团,钢结构,福建-厦门,,,,,,,,,ABCDEFGH,x118-建筑
8,中铁装配-300,钢结构,北京,,,,,,,,,ABCDEFGH,x118-建筑
9,鸿路钢构,钢结构,安徽-合肥,,,,,,,,,ABCDEFGH,x118-建筑
10,精工钢构,钢结构,安徽-六安,,,,,,,,,ABCDEFGH,x118-建筑
11,杭萧钢构,钢结构,浙江-杭州,,,,,,,,,ABCDEFGH,x118-建筑
12,东南网架,钢结构,浙江-杭州,,,,,,,,,ABCDEFGH,x118-建筑
13,富煌钢构,钢结构,安徽-合肥,,,,,,,,,ABCDEFGH,x118-建筑
14,上海建工,房屋建设,上海,,,,,,,,,ABCDEFGH,x118-建筑
15,龙元建设,房屋建设,浙江-宁波,,,,,,,,,ABCDEFGH,x118-建筑
16,宁波建工,房屋建设,浙江-宁波,,,,,,,,,ABCDEFGH,x118-建筑
17,重庆建工,房屋建设,重庆,,,,,,,,,ABCDEFGH,x118-建筑
18,陕建股份,房屋建设,陕西-西安,,,,,,,,,ABCDEFGH,x118-建筑
19,祥龙电业,房屋建设,湖北-武汉,,,,,,,,,ABCDEFGH,x118-建筑
20,高新发展,房屋建设,四川-成都,,,,,,,,,ABCDEFGH,x118-建筑
21,深深房,房屋建设,深圳,,,,,,,,,ABCDEFGH,x118-建筑
22,中国建筑,房屋建设,北京,,,,,,,,,ABCDEFGH,x118-建筑
23,同济科技,房屋建设,上海,,,,,,,,,ABCDEFGH,x118-建筑
24,浙江交科,房屋建设,浙江-衡州,,,,,,,,,ABCDEFGH,x118-建筑
25,维业股份-300,房屋建设,深圳,,,,,,,,,ABCDEFGH,x118-建筑
26,尚荣医疗,专业工程,深圳,中国医院建设及医疗专业工程行业的领先者， 提供 手术部，ICU，等工程设计与施工,,,,,,,,ABCDEFGH,x118-建筑
27,三联虹普-300,专业工程,北京,纤维工业工程,,,,,,,,ABCDEFGH,x118-建筑
28,中公高科,专业工程,北京,公路养护,,,,,,,,ABCDEFGH,x118-建筑
29,中粮科工-300,专业工程,江苏-无锡,粮油工程,,,,,,,,ABCDEFGH,x118-建筑
30,镇海股份,专业工程,浙江-宁波,石油化工,,,,,,,,ABCDEFGH,x118-建筑
31,广东宏大,专业工程,广州,矿山工程服务,,,,,,,,ABCDEFGH,x118-建筑
32,中国武夷,专业工程,福建-福州,国际工程,,,,,,,,ABCDEFGH,x118-建筑
33,东华科技,专业工程,安徽-合肥,化工,,,,,,,,ABCDEFGH,x118-建筑
34,三维化学,专业工程,山东-淄博,化工石化,,,,,,,,ABCDEFGH,x118-建筑
35,金诚信,专业工程,北京,专业工程采掘-矿山,,,,,,,,ABCDEFGH,x118-建筑
36,上海港湾,专业工程,上海,岩土工程行业,,,,,,,,ABCDEFGH,x118-建筑
37,中铁装配-300,专业工程,北京,集装式集成房屋， 工地的集装箱， 方舱医院等,,,,,,,,ABCDEFGH,x118-建筑
38,中化岩土,专业工程,北京,岩土工程行业,,,,,,,,ABCDEFGH,x118-建筑
39,圣晖集成,专业工程,江苏-苏州,为IC半导体，光电，显示面板的洁净室工程项目提供服务,,,,,,,,ABCDEFGH,x118-建筑
40,绿岛风-300,专业工程,广东-江门,室内通风,,,,,,,,ABCDEFGH,x118-建筑
41,延华智能,专业工程,上海,远程在线问诊（子公司 成电医星）,,,,,,,,ABCDEFGH,x118-建筑
42,亚翔集成,专业工程,江苏-苏州,半导体洁净室,,,,,,,,ABCDEFGH,x118-建筑
43,华电科工,专业工程,北京,海洋与环境工程,,,,,,,,ABCDEFGH,x118-建筑
44,中钢国际,专业工程,吉林省-吉林市,工程总承包,,,,,,,,ABCDEFGH,x118-建筑
45,陕建股份,专业工程,陕西-西安,建筑工程业务,,,,,,,,ABCDEFGH,x118-建筑
46,永福股份-300,专业工程,福建-福州,电力工程,,,,,,,,ABCDEFGH,x118-建筑
47,中工国际,专业工程,北京,国际土木工程,,,,,,,,ABCDEFGH,x118-建筑
48,中成股份,专业工程,北京,国务元国资委是实控人，境外工程承包,,,,,,,,ABCDEFGH,x118-建筑
49,中岩大地,专业工程,北京,岩土工程行业,,,,,,,,ABCDEFGH,x118-建筑
50,北方国际,专业工程,北京,国际工程,,,,,,,,ABCDEFGH,x118-建筑
51,中国海诚,专业工程,上海,轻工业,,,,,,,,ABCDEFGH,x118-建筑
52,中国化学,专业工程,北京,化学工程,,,,,,,,ABCDEFGH,x118-建筑
53,中国中冶,专业工程,北京,冶金行业,,,,,,,,ABCDEFGH,x118-建筑
54,中材国际,专业工程,江苏-南京,全球最大的水泥装备工程系统集成服务商,,,,,,,,ABCDEFGH,x118-建筑
55,深桑达,专业工程,深圳,清洁室，半导体，生物医药，数据中心，汽车制造，新能源等,,,,,,,,ABCDEFGH,x118-建筑
56,中铝国际,专业工程,北京,有色金属行业,,,,,,,,ABCDEFGH,x118-建筑
57,太极实业,专业工程,江苏-无锡,光伏电站，半导体封装等,,,,,,,,ABCDEFGH,x118-建筑
58,志特新材-300,专业工程,江西-抚州,建筑用临时支护结构系统,,,,,,,,ABCDEFGH,x118-建筑
59,汇通集团,专业工程,河北-保定,公路，市政等,,,,,,,,ABCDEFGH,x118-建筑
