序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,新凯来,深圳新凯来公司事中国半导体设备领域的“国家队”由深圳国资委投资，成立2021年，核心使命是突破卡脖子技术（光刻机）,2025年3月26日，上海国加会展中心，新凯来亮相了 ， 峨眉山， 武夷山，长白山等核心产品，突破核心技术,,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
2.0,国产光刻新凯来相关的可以分为,供货， 关联，多重曝光技术，多重曝光材料,,,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
,关系最紧密的3家,新莱应材，至纯科技，奥普光电,,,,,,,,,,,
3.0,新莱应材-300,供货,江苏-苏州,关联度第一，公司为新凯来提供RTP(快速热处理) 和DPN(扩散预清洗)设备的关键零部件,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
4.0,至纯科技,供货,上海-闵行,关联度第二，公司为新凯来湿法清洗设备核心供应商,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
5.0,富创精密-688,供货,辽宁-沈阳,公司为新凯来提供关键零部件,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
6.0,路维光电-688,供货,深圳,供货新凯来掩膜版产品,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
7.0,强瑞技术-300,供货,深圳,已向新凯来供应超精密结构件产品,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
8.0,奥普光电,关联-股权,吉林-长春,关联度第一，实控人中科院长春光机所与新凯来合资成立长光集智,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
9.0,深振业A,关联-高管,深圳,新凯来的控股股东深圳市重大产业投资集团的懂事黄秀章同时担任深振业A 监事,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
10.0,中芯国际-688,关联-高管,深圳,新凯来的控股股东深圳市重大产业投资集团的董事长 戴军 同时担任中芯国际（深圳）的董事,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
11.0,至纯科技,多重曝光技术,上海-闵行,关联度第一，公司与新凯来联合申请SAQP技术专利，提供湿法清洗设备支持SAQP工艺中的光刻胶清洗环节，适配7nm/5nm 先进制程芯片生产,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
12.0,奥普光电,多重曝光技术,吉林-长春,关联度第二，通过合资公司长光集智 供应SAQP光刻机核心部件（如曝光系统，光学晶体）,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
13.0,冠石科技,多重曝光技术,江苏-南京,关联度第三，SAQP技术需四重曝光，对掩膜版需求增加，公司预计2025年实现45nm掩膜版量产，2028年突破28nm制程,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
14.0,精测电子-300,多重曝光技术,湖北-武汉,SAQP技术对薄膜沉积与刻蚀工艺精度要求极高，公司N+2制程设备采购成本达160亿元/万片产能,,,,,,,,ABCDEFGH,x12-国产光刻新凯来 
