序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1.0,光伏分为,,,石英，硅料，硅片，光伏电池，辅材，电池组件，逆变器，光伏设备,,,,,,,,ABCDEFGH,x121-光伏
2.0,石英股份,石英,江苏-连云港,,,,,,,,,ABCDEFGH,x121-光伏
3.0,岱勒新材-300,石英,湖南-长沙,,,,,,,,,ABCDEFGH,x121-光伏
4.0,三峡新材,石英,湖北-宜昌,,,,,,,,,ABCDEFGH,x121-光伏
5.0,福莱特,石英,浙江-嘉兴,,,,,,,,,ABCDEFGH,x121-光伏
6.0,中旗新材,石英,广东-佛山,,,,,,,,,ABCDEFGH,x121-光伏
7.0,菲利华-300,石英,湖北-荆州,,,,,,,,,ABCDEFGH,x121-光伏
8.0,凯盛科技,石英,安徽-蚌埠,,,,,,,,,ABCDEFGH,x121-光伏
9.0,壹石通-688,石英,安徽-蚌埠,,,,,,,,,ABCDEFGH,x121-光伏
10.0,粤桂股份,石英,广西-贵港,,,,,,,,,ABCDEFGH,x121-光伏
11.0,通威股份,硅料,四川-成都,,,,,,,,,ABCDEFGH,x121-光伏
12.0,大全能源,硅料,新疆,,,,,,,,,ABCDEFGH,x121-光伏
13.0,特变电工,硅料,新疆-昌吉,,,,,,,,,ABCDEFGH,x121-光伏
14.0,华光环能,硅料,江苏-无锡,,,,,,,,,ABCDEFGH,x121-光伏
15.0,隆基绿能,硅片,陕西-西安,,,,,,,,,ABCDEFGH,x121-光伏
16.0,TCL中环,硅片,天津,,,,,,,,,ABCDEFGH,x121-光伏
17.0,晶科能源-688,硅片,江西-上饶,,,,,,,,,ABCDEFGH,x121-光伏
18.0,双良节能,硅片,江苏-无锡,,,,,,,,,ABCDEFGH,x121-光伏
19.0,天合光能,硅片,江苏-常州,,,,,,,,,ABCDEFGH,x121-光伏
20.0,京运通,硅片,北京,,,,,,,,,ABCDEFGH,x121-光伏
21.0,晶澳科技,硅片,河北-邢台,,,,,,,,,ABCDEFGH,x121-光伏
