序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,铝分为,,,铝土矿，铝制品，电解铝，氧化铝，再生吕,,,,,,,,ABCDEFGH,x122-铝
2,中国铝业,铝土矿,北京,铝土矿产能第一,,,,,,,,ABCDEFGH,x122-铝
3,云铝股份,铝土矿,云南-昆明,,,,,,,,,ABCDEFGH,x122-铝
4,华峰铝业,铝制品,上海,,,,,,,,,ABCDEFGH,x122-铝
5,和胜股份,铝制品,广东-中山,,,,,,,,,ABCDEFGH,x122-铝
6,闽发铝业,铝制品,福建-泉州,,,,,,,,,ABCDEFGH,x122-铝
7,永茂泰,铝制品,上海,,,,,,,,,ABCDEFGH,x122-铝
8,鑫铂股份,铝制品,安徽-滁州,,,,,,,,,ABCDEFGH,x122-铝
9,宁波富邦,铝制品,浙江-宁波,,,,,,,,,ABCDEFGH,x122-铝
10,通达股份,铝制品,河南-洛阳,,,,,,,,,ABCDEFGH,x122-铝
11,华达新材,铝制品,浙江-杭州,,,,,,,,,ABCDEFGH,x122-铝
12,海星股份,铝制品,江苏-南通,,,,,,,,,ABCDEFGH,x122-铝
13,常铝股份,铝制品,江苏-苏州,,,,,,,,,ABCDEFGH,x122-铝
14,华锋股份,铝制品,广东-肇庆,,,,,,,,,ABCDEFGH,x122-铝
15,深圳新星,铝制品,深圳,,,,,,,,,ABCDEFGH,x122-铝
16,银邦股份-300,铝制品,江苏-无锡,,,,,,,,,ABCDEFGH,x122-铝
17,宏创控股,铝制品,山东-滨州,,,,,,,,,ABCDEFGH,x122-铝
18,丽岛新材,铝制品,江苏-常州,,,,,,,,,ABCDEFGH,x122-铝
19,鼎盛新材,铝制品,,,,,,,,,,ABCDEFGH,x122-铝
20,万顺新材-300,铝制品,广东-汕头,,,,,,,,,ABCDEFGH,x122-铝
21,利源股份,铝制品,吉林-辽源,,,,,,,,,ABCDEFGH,x122-铝
22,明泰铝业,铝制品,河南-郑州,,,,,,,,,ABCDEFGH,x122-铝
23,东阳光,铝制品,广东-韶关,,,,,,,,,ABCDEFGH,x122-铝
24,新疆众和,铝制品,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x122-铝
25,南山铝业,铝制品,山东-烟台,,,,,,,,,ABCDEFGH,x122-铝
26,豪美新材,铝制品,广东-清远,,,,,,,,,ABCDEFGH,x122-铝
27,艾华集团,铝制品,湖南-益阳,铝电容市占率A股第一,,,,,,,,ABCDEFGH,x122-铝
28,江海股份,铝制品,江苏-南通,铝电容市占率A股第一,,,,,,,,ABCDEFGH,x122-铝
29,中国铝业,电解铝,北京,,,,,,,,,ABCDEFGH,x122-铝
30,云铝股份,电解铝,云南-昆明,,,,,,,,,ABCDEFGH,x122-铝
31,神火股份,电解铝,河南-商丘,,,,,,,,,ABCDEFGH,x122-铝
32,南山铝业,电解铝,山东烟台,,,,,,,,,ABCDEFGH,x122-铝
33,焦作万方,电解铝,很那-焦作,,,,,,,,,ABCDEFGH,x122-铝
34,索通发展,电解铝,山东-德州,,,,,,,,,ABCDEFGH,x122-铝
35,中国铝业,氧化铝,北京,,,,,,,,,ABCDEFGH,x122-铝
36,天山铝业,氧化铝,浙江-台州,,,,,,,,,ABCDEFGH,x122-铝
37,云铝股份,氧化铝,云南-昆明,,,,,,,,,ABCDEFGH,x122-铝
38,南山铝业,氧化铝,山东-烟台,,,,,,,,,ABCDEFGH,x122-铝
