序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,钢铁分为：,,,铁矿石，钢铁央企，地方钢企，钢管,,,,,,,,ABCDEFGH,x123-钢铁
2,鞍钢股份,铁矿石,辽宁-鞍山,,,,,,,,,ABCDEFGH,x123-钢铁
3,包钢股份,铁矿石,内蒙-包头,,,,,,,,,ABCDEFGH,x123-钢铁
4,大中矿业,铁矿石,内蒙-巴彦卓尔,,,,,,,,,ABCDEFGH,x123-钢铁
5,中矿资源,铁矿石,北京,,,,,,,,,ABCDEFGH,x123-钢铁
6,西部矿业,铁矿石,青海-西宁,,,,,,,,,ABCDEFGH,x123-钢铁
7,宝地矿业,铁矿石,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x123-钢铁
8,酒钢宏兴,铁矿石,甘肃-嘉峪关,,,,,,,,,ABCDEFGH,x123-钢铁
9,海南矿业,铁矿石,海南-昌江黎族自治县,,,,,,,,,ABCDEFGH,x123-钢铁
10,河钢资源,铁矿石,河北-张家口,,,,,,,,,ABCDEFGH,x123-钢铁
11,金岭矿业,铁矿石,山东-淄博,,,,,,,,,ABCDEFGH,x123-钢铁
12,广东明珠,铁矿石,广东-孟州,,,,,,,,,ABCDEFGH,x123-钢铁
13,中信金属,铁矿石,北京,,,,,,,,,ABCDEFGH,x123-钢铁
14,宝钢股份,钢铁央企,上海,,,,,,,,,ABCDEFGH,x123-钢铁
15,鞍钢股份,钢铁央企,辽宁-鞍山,,,,,,,,,ABCDEFGH,x123-钢铁
16,太钢不锈,钢铁央企,山西-太原,,,,,,,,,ABCDEFGH,x123-钢铁
17,马钢股份,钢铁央企,安徽-马鞍山,,,,,,,,,ABCDEFGH,x123-钢铁
18,八一钢铁,钢铁央企,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x123-钢铁
19,华菱钢铁,地方钢企,湖南-长沙,,,,,,,,,ABCDEFGH,x123-钢铁
20,杭钢股份,地方钢企,浙江-杭州,,,,,,,,,ABCDEFGH,x123-钢铁
21,河钢股份,地方钢企,河北-石家庄,,,,,,,,,ABCDEFGH,x123-钢铁
22,首钢股份,地方钢企,北京,,,,,,,,,ABCDEFGH,x123-钢铁
23,山东钢铁,地方钢企,山东-济南,,,,,,,,,ABCDEFGH,x123-钢铁
24,柳钢股份,地方钢企,广西-柳州,,,,,,,,,ABCDEFGH,x123-钢铁
25,包钢股份,地方钢企,内蒙-包头,,,,,,,,,ABCDEFGH,x123-钢铁
26,本钢板材,地方钢企,辽宁-本溪,,,,,,,,,ABCDEFGH,x123-钢铁
27,凌钢股份,地方钢企,辽宁-朝阳,,,,,,,,,ABCDEFGH,x123-钢铁
28,南钢股份,地方钢企,江苏-南京,,,,,,,,,ABCDEFGH,x123-钢铁
29,沙钢股份,地方钢企,江苏-苏州,,,,,,,,,ABCDEFGH,x123-钢铁
30,三钢闽光,地方钢企,福建-三明,,,,,,,,,ABCDEFGH,x123-钢铁
31,新钢股份,地方钢企,江西-新余,,,,,,,,,ABCDEFGH,x123-钢铁
32,方大特钢,地方钢企,江西-南昌,,,,,,,,,ABCDEFGH,x123-钢铁
33,酒钢宏兴,地方钢企,甘肃-嘉峪关,,,,,,,,,ABCDEFGH,x123-钢铁
34,安阳钢铁,地方钢企,河南-安阳,,,,,,,,,ABCDEFGH,x123-钢铁
35,重庆钢铁,地方钢企,重庆,,,,,,,,,ABCDEFGH,x123-钢铁
36,中南股份,地方钢企,广东-韶关,,,,,,,,,ABCDEFGH,x123-钢铁
37,友发集团,钢管,天津-静海,,,,,,,,,ABCDEFGH,x123-钢铁
38,新兴铸管,钢管,河北-邯郸,,,,,,,,,ABCDEFGH,x123-钢铁
39,华菱钢铁,钢管,湖南-长沙,,,,,,,,,ABCDEFGH,x123-钢铁
40,宝钢股份,钢管,上海,,,,,,,,,ABCDEFGH,x123-钢铁
41,包钢股份,钢管,内蒙-包头,,,,,,,,,ABCDEFGH,x123-钢铁
42,金洲管道,钢管,浙江-湖州,,,,,,,,,ABCDEFGH,x123-钢铁
43,常宝股份,钢管,江苏-常州,,,,,,,,,ABCDEFGH,x123-钢铁
44,武进不秀,钢管,江苏-常州,,,,,,,,,ABCDEFGH,x123-钢铁
45,久立特材,钢管,浙江-湖州,,,,,,,,,ABCDEFGH,x123-钢铁
46,盛德鑫泰-300,钢管,江苏-常州,,,,,,,,,ABCDEFGH,x123-钢铁
