序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,医药流通分为,,,医药零售，医药批法，SPD医疗供应链,,,,,,,,ABCDEFGH,x124-医药流通
2,国药一致,医药零售-市占率前5,深圳,,,,,,,,,ABCDEFGH,x124-医药流通
3,大参林,医药零售-市占率前5,广州,,,,,,,,,ABCDEFGH,x124-医药流通
4,老百姓,医药零售-市占率前5,湖南-长沙,,,,,,,,,ABCDEFGH,x124-医药流通
5,益丰药房,医药零售-市占率前5,湖南-常德,,,,,,,,,ABCDEFGH,x124-医药流通
6,一心堂,医药零售-市占率前5,云南-昆明,,,,,,,,,ABCDEFGH,x124-医药流通
7,第一医药,医药零售-上海,上海,,,,,,,,,ABCDEFGH,x124-医药流通
8,漱玉平民,医药零售-山东,济南,,,,,,,,,ABCDEFGH,x124-医药流通
9,健之佳,医药零售-云南,昆明,,,,,,,,,ABCDEFGH,x124-医药流通
10,华人健康-300,医药零售-安徽,合肥,,,,,,,,,ABCDEFGH,x124-医药流通
11,千金药业,医药零售-湖南,株洲,,,,,,,,,ABCDEFGH,x124-医药流通
12,达嘉维康,医药零售-湖南,长沙,,,,,,,,,ABCDEFGH,x124-医药流通
13,药易购-300,医药批发-互联网,四川-成都,,,,,,,,,ABCDEFGH,x124-医药流通
14,中国医药,医药批发-全国性,北京,,,,,,,,,ABCDEFGH,x124-医药流通
15,上海医药,医药批发-全国性,上海,,,,,,,,,ABCDEFGH,x124-医药流通
16,九州通,医药批发-全国性,湖北-武汉,,,,,,,,,ABCDEFGH,x124-医药流通
17,海王生物,医药批发-全国性,深圳,,,,,,,,,ABCDEFGH,x124-医药流通
18,百洋医药-300,医药批发-山东,山东-青岛,,,,,,,,,ABCDEFGH,x124-医药流通
19,上海医药,医药批发-上海,上海,,,,,,,,,ABCDEFGH,x124-医药流通
20,开开实业,医药批发-上海,上海,,,,,,,,,ABCDEFGH,x124-医药流通
21,合富中国,医药批发-上海,上海,,,,,,,,,ABCDEFGH,x124-医药流通
22,华人健康-300,医药批发-安徽,合肥,,,,,,,,,ABCDEFGH,x124-医药流通
23,立方制药,医药批发-安徽,合肥,,,,,,,,,ABCDEFGH,x124-医药流通
24,鹭燕医药,医药批发-福建,福建-厦门,,,,,,,,,ABCDEFGH,x124-医药流通
25,南京医药,医药批发-江苏,南京,,,,,,,,,ABCDEFGH,x124-医药流通
26,重药控股,医药批发-重庆,重庆,,,,,,,,,ABCDEFGH,x124-医药流通
27,柳药集团,医药批发-广西,柳州,,,,,,,,,ABCDEFGH,x124-医药流通
28,国药一致,医药批发-广东,深圳,,,,,,,,,ABCDEFGH,x124-医药流通
29,国药股份,医药批发-北京,北京,,,,,,,,,ABCDEFGH,x124-医药流通
30,嘉事堂,医药批发-北京,北京,,,,,,,,,ABCDEFGH,x124-医药流通
31,英特集团,医药批发-浙江,浙江-杭州,,,,,,,,,ABCDEFGH,x124-医药流通
32,浙江震元,医药批发-浙江,浙江-绍兴,,,,,,,,,ABCDEFGH,x124-医药流通
33,人民同泰,医药批发-黑龙江,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x124-医药流通
34,塞力医疗,SPD医疗供应链,湖北-武汉,,,,,,,,,ABCDEFGH,x124-医药流通
35,国科恒泰-300,SPD医疗供应链,北京,,,,,,,,,ABCDEFGH,x124-医药流通
36,开开实业,SPD医疗供应链,上海,,,,,,,,,ABCDEFGH,x124-医药流通
37,浙江震元,SPD医疗供应链,浙江-绍兴,,,,,,,,,ABCDEFGH,x124-医药流通
38,卫宁健康-300,SPD医疗供应链,上海,,,,,,,,,ABCDEFGH,x124-医药流通
39,国药一致,SPD医疗供应链,深圳,,,,,,,,,ABCDEFGH,x124-医药流通
40,润达医疗,SPD医疗供应链,上海,,,,,,,,,ABCDEFGH,x124-医药流通
