序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,物流分为：,,,智能物流设备，快递，石油，煤炭，化工，大宗商品，汽车，电子产品，跨境物流,,,,,,,,ABCDEFGH,x125-物流
2,诺力股份,智能物流设备,浙江-湖州,,,,,,,,,ABCDEFGH,x125-物流
3,中科微至,智能物流设备,江苏-无锡,,,,,,,,,ABCDEFGH,x125-物流
4,中邮科技,智能物流设备,上海,,,,,,,,,ABCDEFGH,x125-物流
5,先导智能-300,智能物流设备,江苏-无锡,,,,,,,,,ABCDEFGH,x125-物流
6,昆船智能-300,智能物流设备,云南-昆明,,,,,,,,,ABCDEFGH,x125-物流
7,华昌达-300,智能物流设备,湖北-十堰,,,,,,,,,ABCDEFGH,x125-物流
8,科捷智能-688,智能物流设备,山东-青岛,,,,,,,,,ABCDEFGH,x125-物流
9,北自科技,智能物流设备,北京,,,,,,,,,ABCDEFGH,x125-物流
10,德马科技-688,智能物流设备,浙江-湖州,,,,,,,,,ABCDEFGH,x125-物流
11,音飞储存,智能物流设备,江苏-南京,,,,,,,,,ABCDEFGH,x125-物流
12,海晨股份-300,智能物流设备,江苏-苏州,,,,,,,,,ABCDEFGH,x125-物流
13,兰剑智能-688,智能物流设备,山东-济南,,,,,,,,,ABCDEFGH,x125-物流
14,井松智能-688,智能物流设备,安徽-合肥,,,,,,,,,ABCDEFGH,x125-物流
15,东杰智能,智能物流设备,山西-太原,,,,,,,,,ABCDEFGH,x125-物流
16,顺丰控股,快递,深圳,,,,,,,,,ABCDEFGH,x125-物流
17,圆通速递,快递,辽宁-大连,,,,,,,,,ABCDEFGH,x125-物流
18,韵达股份,快递,浙江-宁波,,,,,,,,,ABCDEFGH,x125-物流
19,申通快递,快递,浙江-台州,,,,,,,,,ABCDEFGH,x125-物流
20,德邦股份,快递,上海,,,,,,,,,ABCDEFGH,x125-物流
21,万林物流,快递,江苏-泰州,,,,,,,,,ABCDEFGH,x125-物流
22,中远海能,石油,上海,,,,,,,,,ABCDEFGH,x125-物流
23,招商轮船,石油,上海,,,,,,,,,ABCDEFGH,x125-物流
24,招商南油,石油,江苏-南京,,,,,,,,,ABCDEFGH,x125-物流
25,大秦铁路,煤炭,山西-大同,,,,,,,,,ABCDEFGH,x125-物流
26,嘉友国际,煤炭,北京,,,,,,,,,ABCDEFGH,x125-物流
27,西部创业,煤炭,宁夏-银川,,,,,,,,,ABCDEFGH,x125-物流
28,凯瑞德,煤炭,湖北-荆门,,,,,,,,,ABCDEFGH,x125-物流
29,密尔克卫,化工-运输,上海,,,,,,,,,ABCDEFGH,x125-物流
30,永泰运,化工-运输,浙江-宁波,,,,,,,,,ABCDEFGH,x125-物流
31,兴通股份,化工-水运,福建-泉州,,,,,,,,,ABCDEFGH,x125-物流
32,盛航股份-,化工-水运,江苏-南京,,,,,,,,,ABCDEFGH,x125-物流
33,宏川智慧,化工-仓储,广东-东莞,,,,,,,,,ABCDEFGH,x125-物流
34,保税科技,化工-仓储,江苏-苏州,,,,,,,,,ABCDEFGH,x125-物流
35,恒基达鑫,化工-仓储,广东-珠海,,,,,,,,,ABCDEFGH,x125-物流
36,建发股份,大宗商品,福建-厦门,,,,,,,,,ABCDEFGH,x125-物流
37,物产中大,大宗商品,浙江-杭州,,,,,,,,,ABCDEFGH,x125-物流
38,厦门象屿,大宗商品,福建-厦门,,,,,,,,,ABCDEFGH,x125-物流
39,厦门国贸,大宗商品,福建-厦门,,,,,,,,,ABCDEFGH,x125-物流
40,浙商中拓,大宗商品,浙江-杭州,,,,,,,,,ABCDEFGH,x125-物流
41,远大控股,大宗商品,江苏-连云港,,,,,,,,,ABCDEFGH,x125-物流
42,中储股份,大宗商品,天津,,,,,,,,,ABCDEFGH,x125-物流
43,炬申股份,大宗商品,广东-佛山,,,,,,,,,ABCDEFGH,x125-物流
44,中铁特货,汽车,北京,,,,,,,,,ABCDEFGH,x125-物流
45,长久物流,汽车,北京,,,,,,,,,ABCDEFGH,x125-物流
46,三羊马,汽车,重庆,,,,,,,,,ABCDEFGH,x125-物流
47,福然德,汽车,上海,,,,,,,,,ABCDEFGH,x125-物流
48,新宁物流-300,电子产品,河南-郑州,,,,,,,,,ABCDEFGH,x125-物流
49,华鹏飞-300,电子产品,深圳,,,,,,,,,ABCDEFGH,x125-物流
50,东方嘉盛,电子产品,深圳,,,,,,,,,ABCDEFGH,x125-物流
51,中国外运,跨境物流,北京,,,,,,,,,ABCDEFGH,x125-物流
52,华贸物流,跨境物流,上海,,,,,,,,,ABCDEFGH,x125-物流
53,东航物流,跨境物流,上海,,,,,,,,,ABCDEFGH,x125-物流
54,海程邦达,跨境物流,山东-青岛,,,,,,,,,ABCDEFGH,x125-物流
55,中创物流,跨境物流,山东-青岛,,,,,,,,,ABCDEFGH,x125-物流
