序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,墨脱水电站分为,,,施工，施工材料，设备，周边省份,,,,,,,,ABCDEFGH,x126-墨脱水电站
2,中国电建,施工-主力施工,北京,主体工程总部,,,,,,,,ABCDEFGH,x126-墨脱水电站
3,中国能建,施工-主力施工,北京,机电设备安装与特高压外送通道建设,,,,,,,,ABCDEFGH,x126-墨脱水电站
4,中国中铁,施工-主力施工,北京,引水隧道,,,,,,,,ABCDEFGH,x126-墨脱水电站
5,中国铁建,施工-主力施工,北京,饮水隧道,,,,,,,,ABCDEFGH,x126-墨脱水电站
6,中国交建,施工-主力施工,北京,桥梁，道路基建,,,,,,,,ABCDEFGH,x126-墨脱水电站
7,中岩大地,施工-其他,北京,,,,,,,,,ABCDEFGH,x126-墨脱水电站
8,筑博设计-300,施工-其他,西藏-拉萨,,,,,,,,,ABCDEFGH,x126-墨脱水电站
9,深水规院-300,施工-其他,深圳,,,,,,,,,ABCDEFGH,x126-墨脱水电站
10,高争民爆,施工材料-民爆,西藏-拉萨,,,,,,,,,ABCDEFGH,x126-墨脱水电站
11,保利联合,施工材料-民爆,贵州-贵阳,,,,,,,,,ABCDEFGH,x126-墨脱水电站
12,易普力,施工材料-民爆,湖南-长沙,,,,,,,,,ABCDEFGH,x126-墨脱水电站
13,广东宏大,施工材料-民爆,广州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
14,佰奥智能-300,施工材料-民爆,江苏-苏州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
15,西藏天路,施工材料-水泥,西藏-拉塞,,,,,,,,,ABCDEFGH,x126-墨脱水电站
16,华新水泥,施工材料-水泥,湖北-黄石,,,,,,,,,ABCDEFGH,x126-墨脱水电站
17,中交设计,施工材料-水泥,,,,,,,,,,ABCDEFGH,x126-墨脱水电站
18,海螺水泥,施工材料-水泥,安徽-芜湖,,,,,,,,,ABCDEFGH,x126-墨脱水电站
19,苏博特,施工材料-减水剂,江苏-南京,,,,,,,,,ABCDEFGH,x126-墨脱水电站
20,垒知集团,施工材料-减水剂,福建-厦门,,,,,,,,,ABCDEFGH,x126-墨脱水电站
21,红墙股份,施工材料-减水剂,广东-惠州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
22,三一重工,设备-混凝土,北京,,,,,,,,,ABCDEFGH,x126-墨脱水电站
23,中联重科,设备-混凝土,湖南-长沙,,,,,,,,,ABCDEFGH,x126-墨脱水电站
24,徐工机械,设备-混凝土,江苏-徐州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
25,厦工股份,设备-混凝土,福建-厦门,,,,,,,,,ABCDEFGH,x126-墨脱水电站
26,三一重工,设备-挖掘机,北京,,,,,,,,,ABCDEFGH,x126-墨脱水电站
27,徐工机械,设备-挖掘机,江苏-徐州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
28,柳工,设备-挖掘机,广西-柳州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
29,山河智能,设备-挖掘机,湖南-长沙,,,,,,,,,ABCDEFGH,x126-墨脱水电站
30,中材国际,设备-水泥,江苏-南京,,,,,,,,,ABCDEFGH,x126-墨脱水电站
31,冀东装备,设备-水泥,河北-唐山,,,,,,,,,ABCDEFGH,x126-墨脱水电站
32,和泰机电,设备-水泥,浙江-杭州,,,,,,,,,ABCDEFGH,x126-墨脱水电站
33,利君股份,设备-水泥,四川-成都,,,,,,,,,ABCDEFGH,x126-墨脱水电站
34,中信重工,设备-水泥,河南-洛阳,,,,,,,,,ABCDEFGH,x126-墨脱水电站
35,山推股份,设备-推土机,山东-济宁,,,,,,,,,ABCDEFGH,x126-墨脱水电站
36,铁建重工,设备-隧道掘进,湖南-长沙,,,,,,,,,ABCDEFGH,x126-墨脱水电站
