序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,干细胞分为,,,细胞制备，细胞存储，细胞应用,,,,,,,,ABCDEFGH,x127-干细胞
2,中源协和,细胞制备,天津,,,,,,,,,ABCDEFGH,x127-干细胞
3,开能健康-300,细胞制备,上海,,,,,,,,,ABCDEFGH,x127-干细胞
4,冠昊生物-300,细胞制备,广州,,,,,,,,,ABCDEFGH,x127-干细胞
5,汉商集团,细胞制备,湖北-武汉,入股深圳菌冠生物,,,,,,,,ABCDEFGH,x127-干细胞
6,正海生物-300,细胞制备,山东-烟台,,,,,,,,,ABCDEFGH,x127-干细胞
7,泰林生物-300,细胞制备,浙江-杭州,,,,,,,,,ABCDEFGH,x127-干细胞
8,南京新百,细胞存储,江苏-南京,子公司齐鲁干细胞是山东省唯一合法的脐带血保存机构,,,,,,,,ABCDEFGH,x127-干细胞
9,戴维医疗-300,细胞存储,浙江-宁波,子公司希瑞科技主要从事干细胞存储业务,,,,,,,,ABCDEFGH,x127-干细胞
10,冠昊生物-300,细胞应用-脑损伤,广州,,,,,,,,,ABCDEFGH,x127-干细胞
11,正海生物-300,细胞应用-脑损伤,烟台,,,,,,,,,ABCDEFGH,x127-干细胞
12,迈普医学-300,细胞应用-脑损伤,广州,,,,,,,,,ABCDEFGH,x127-干细胞
13,佰仁医疗-688,细胞应用-脑损伤,北京,,,,,,,,,ABCDEFGH,x127-干细胞
14,何氏眼科-300,细胞应用-眼科,辽宁-沈阳,,,,,,,,,ABCDEFGH,x127-干细胞
15,济民健康,细胞应用-糖尿病,浙江-台州,胰岛移植治疗进行3期临床,,,,,,,,ABCDEFGH,x127-干细胞
16,赤天化,细胞应用-糖尿病,贵州-贵阳,干细胞治疗糖尿病还处于研究阶段,,,,,,,,ABCDEFGH,x127-干细胞
17,我武生物-300,细胞应用-糖尿病,浙江-湖州,,,,,,,,,ABCDEFGH,x127-干细胞
