序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,智元机器人分为,参股，供货商，合作，产业链头部企业,,宇树科技开启上市辅导，2025年7月18,,,,,,,,ABCDEFGH,x128-智元机器人
2,上纬新材-688,参股,上海,智元机器人拟收购上纬新材63%股份,,,,,,,,ABCDEFGH,x128-智元机器人
3,比亚迪,参股,深圳,参股比例2.5%，第一名,,,,,,,,ABCDEFGH,x128-智元机器人
4,软通动力-300,参股,北京,参股比例1.41%，第2名,,,,,,,,ABCDEFGH,x128-智元机器人
5,恒工精密-300,参股,河北-邯郸,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
6,招商证券,参股,深圳,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
7,长飞光纤,参股,湖北-武汉,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
8,广发证券,参股,广东-广州,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
9,上汽集团,参股,上海,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
10,招商银行,参股,深圳,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
11,烽火通信,参股,湖北-武汉,间接参股,,,,,,,,ABCDEFGH,x128-智元机器人
12,宁波华翔,供货商,浙江-宁波,,,,,,,,,ABCDEFGH,x128-智元机器人
13,卧龙电驱,供货商,浙江-绍兴,,,,,,,,,ABCDEFGH,x128-智元机器人
14,蓝思科技-300,供货商,湖南-长沙,,,,,,,,,ABCDEFGH,x128-智元机器人
15,领益智造,供货商,广东-江门,,,,,,,,,ABCDEFGH,x128-智元机器人
16,超捷股份-300,供货商,上海,,,,,,,,,ABCDEFGH,x128-智元机器人
17,柯力传感,供货商,浙江-宁波,,,,,,,,,ABCDEFGH,x128-智元机器人
18,均普智能-688,供货商,浙江-宁波,,,,,,,,,ABCDEFGH,x128-智元机器人
19,金固股份,供货商,浙江-杭州,,,,,,,,,ABCDEFGH,x128-智元机器人
20,长盛轴承-300,供货商,浙江-嘉兴,,,,,,,,,ABCDEFGH,x128-智元机器人
21,奥飞娱乐,供货商,广东-汕头,,,,,,,,,ABCDEFGH,x128-智元机器人
22,大丰实业,合作,浙江-宁波,,,,,,,,,ABCDEFGH,x128-智元机器人
23,软通动力-300,合作,北京,,,,,,,,,ABCDEFGH,x128-智元机器人
24,上海临港,合作,上海,,,,,,,,,ABCDEFGH,x128-智元机器人
25,豪森智能,合作,,,,,,,,,,ABCDEFGH,x128-智元机器人
26,东阳光,合作,广东-韶关,,,,,,,,,ABCDEFGH,x128-智元机器人
27,富临精工-300,合作,四川-绵阳,,,,,,,,,ABCDEFGH,x128-智元机器人
28,商络电子-300,合作,江苏-南京,,,,,,,,,ABCDEFGH,x128-智元机器人
29,龙旗科技,合作,上海,,,,,,,,,ABCDEFGH,x128-智元机器人
30,德马科技,合作,浙江-湖州,,,,,,,,,ABCDEFGH,x128-智元机器人
31,绿的谐波-688,产业链头部企业,江苏-苏州,谐波减速器,,,,,,,,ABCDEFGH,x128-智元机器人
32,奥比中光-688,产业链头部企业,深圳,机器人视觉传感器,,,,,,,,ABCDEFGH,x128-智元机器人
33,三花智控,产业链头部企业,浙江-绍兴,国内旋转关节总成,,,,,,,,ABCDEFGH,x128-智元机器人
34,中大力德,产业链头部企业,浙江-宁波,行星减速器,,,,,,,,ABCDEFGH,x128-智元机器人
