序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,雅江水电站分为：,,,材料，水电设备，建造设备，施工，周边省份,,,,,,,,ABCDEFGH,x129-雅江水电站
2,高争民爆,材料-民爆,西藏-拉萨,,,,,,,,,ABCDEFGH,x129-雅江水电站
3,保利联合,材料-民爆,贵州-贵阳,,,,,,,,,ABCDEFGH,x129-雅江水电站
4,易普力,材料-民爆,湖南-长沙,,,,,,,,,ABCDEFGH,x129-雅江水电站
5,广东宏大,材料-民爆,广东-广州,,,,,,,,,ABCDEFGH,x129-雅江水电站
6,佰奥智能-300,材料-民爆,江苏-苏州,,,,,,,,,ABCDEFGH,x129-雅江水电站
7,壶化股份,材料-民爆,山西-长治,,,,,,,,,ABCDEFGH,x129-雅江水电站
8,雅化集团,材料-民爆,四川-雅安,,,,,,,,,ABCDEFGH,x129-雅江水电站
9,金奥博,材料-民爆,深圳,,,,,,,,,ABCDEFGH,x129-雅江水电站
10,江南化工,材料-民爆,安徽-宣城,,,,,,,,,ABCDEFGH,x129-雅江水电站
11,西藏天路,材料-水泥,西藏-拉萨,,,,,,,,,ABCDEFGH,x129-雅江水电站
12,华新水泥,材料-水泥,湖北-黄石,,,,,,,,,ABCDEFGH,x129-雅江水电站
13,中交设计,材料-水泥,甘肃-兰州,,,,,,,,,ABCDEFGH,x129-雅江水电站
14,海螺水泥,材料-水泥,安徽-芜湖,,,,,,,,,ABCDEFGH,x129-雅江水电站
15,红墙股份,材料-减水剂,广东-惠州,,,,,,,,,ABCDEFGH,x129-雅江水电站
16,垒知集团,材料-减水剂,福建-厦门,,,,,,,,,ABCDEFGH,x129-雅江水电站
17,苏博特,材料-减水剂,江苏-南京,,,,,,,,,ABCDEFGH,x129-雅江水电站
18,青龙管业,材料-管道,宁夏-吴忠,,,,,,,,,ABCDEFGH,x129-雅江水电站
19,龙泉股份,材料-管道,山东-淄博,,,,,,,,,ABCDEFGH,x129-雅江水电站
20,国统股份,材料-管道,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x129-雅江水电站
21,韩建河山,材料-管道,北京,,,,,,,,,ABCDEFGH,x129-雅江水电站
22,三和管桩,材料-管道,广东-中山,,,,,,,,,ABCDEFGH,x129-雅江水电站
23,东方电气,水电设备-水轮机,四川-成都,,,,,,,,,ABCDEFGH,x129-雅江水电站
24,浙富控股,水电设备-水轮机,浙江-杭州,,,,,,,,,ABCDEFGH,x129-雅江水电站
25,国机重装,水电设备-水轮机,四川-德阳,,,,,,,,,ABCDEFGH,x129-雅江水电站
26,法兰泰克,水电设备-起重机,江苏-苏州,,,,,,,,,ABCDEFGH,x129-雅江水电站
27,冠龙节能-300,水电设备-给排水阀门,上海,,,,,,,,,ABCDEFGH,x129-雅江水电站
28,纽威股份,水电设备-给排水阀门,江苏-苏州,,,,,,,,,ABCDEFGH,x129-雅江水电站
29,三花智控,水电设备-给排水阀门,浙江-绍兴,,,,,,,,,ABCDEFGH,x129-雅江水电站
30,铁建重工-688,建造设备-隧道掘进,湖南-长沙,,,,,,,,,ABCDEFGH,x129-雅江水电站
31,中铁工业,建造设备-隧道掘进,,,,,,,,,,ABCDEFGH,x129-雅江水电站
32,厦工股份,建造设备-隧道掘进,福建-厦门,,,,,,,,,ABCDEFGH,x129-雅江水电站
33,新锐股份-688,建造设备-隧道掘进,江苏-苏州,,,,,,,,,ABCDEFGH,x129-雅江水电站
34,永达股份,建造设备-隧道掘进,湖南-湘潭,,,,,,,,,ABCDEFGH,x129-雅江水电站
