序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,西藏地区的上市公司分为,,,基建，旅游，城建，矿产，证券，医药,,,,,,,,ABCDEFGH,x130-西藏
2,高争民爆,基建,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
3,筑博设计-300,基建,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
4,西藏天路,基建,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
5,华新水泥,基建,湖北-黄石,,,,,,,,,ABCDEFGH,x130-西藏
6,中交设计,基建,甘肃-兰州,,,,,,,,,ABCDEFGH,x130-西藏
7,海螺水泥,基建,安徽-芜湖,,,,,,,,,ABCDEFGH,x130-西藏
8,西藏旅游,旅游,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
9,西藏城投,城建,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
10,西藏珠峰,矿产,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
11,西藏矿业,矿产,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
12,华钰矿业,矿产,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
13,华林证券,证券,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
14,西藏药业,医药,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
15,奇正藏药,医药,西藏-林芝,,,,,,,,,ABCDEFGH,x130-西藏
16,卫信康,医药,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
17,恩威医药-300,医药,西藏-昌都,,,,,,,,,ABCDEFGH,x130-西藏
18,易明医药,医药,西藏-拉萨,,,,,,,,,ABCDEFGH,x130-西藏
19,灵康药业,医药,西藏-山南,,,,,,,,,ABCDEFGH,x130-西藏
20,多瑞医药,医药,西藏-昌都,,,,,,,,,ABCDEFGH,x131-西藏
