序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,基孔肯雅热预防,,,分为：防蚊虫产品， 灭杀剂，检测试剂,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
2,彩虹集团,防蚊虫产品,四川-成都,家用卫生杀虫用品 营收 第一,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
3,润本股份,防蚊虫产品,广东-广州,驱蚊产品营收第一,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
4,三夫户外,防蚊虫产品,北京,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
5,康芝药业-300,防蚊虫产品,海南-海口,母婴清凉花露及爽身粉,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
6,上海家化,防蚊虫产品,上海,六神,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
7,振东制药-300,防蚊虫产品,山西-长治,子公司有驱蚊手环,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
8,精华制药,防蚊虫产品,江苏-南通,驱蚊药，毒蛇,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
9,扬农化工,灭杀剂,江苏-扬州,蚊虫杀灭药,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
10,广康生化-300,灭杀剂,广东-清远,杀虫剂,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
11,红太阳,灭杀剂,江苏-南京,杀虫剂,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
12,嘉亨家化-300,灭杀剂,福建-泉州,驱蚊液,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
13,东方生物-688,检测试剂,浙江-湖州,产品有 疟疾，登革热，基孔肯雅热病毒检测试剂盒,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
14,博拓生物-688,检测试剂,浙江-杭州,产品有登革热抗原，寨卡病毒抗体，基孔肯雅热病毒抗体,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
15,仁度生物-688,检测试剂,上海,有蚊穿虫媒病毒系列检测试剂,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
16,达安基因,检测试剂,广东-广州,产品有 登革热，寨卡病毒，基孔肯雅热病毒检测试剂盒,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
17,安旭生物-688,检测试剂,浙江-杭州,基孔肯雅热病毒检测产品,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
18,透景生命-300,检测试剂,上海,产品有 登革热，寨卡病毒，基孔肯雅热病毒检测试剂产品,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
19,奥泰生物-688,检测试剂,浙江-杭州,基孔肯雅热病毒检测试剂,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
20,金域医学,检测试剂,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
21,科华生物,检测试剂,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
22,国光股份,苏云金杆菌,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
23,美邦股份,苏云金杆菌,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
24,丰山集团,苏云金杆菌,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
25,鲁抗医药,苏云金杆菌,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
26,富邦科技,苏云金杆菌,,,,,,,,,,ABCDEFGH,x131-基孔肯雅热预防-
