序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,海南自贸港分为,,,交通，基建，消费，其他,,,,,,,,ABCDEFGH,x132-海南自贸港
2,海航控股,交通,,,,,,,,,,ABCDEFGH,x132-海南自贸港
3,海南机场,交通,,,,,,,,,,ABCDEFGH,x132-海南自贸港
4,海峡股份,交通,,水路运输,,,,,,,,ABCDEFGH,x132-海南自贸港
5,海南高速,交通,,,,,,,,,,ABCDEFGH,x132-海南自贸港
6,海汽集团,交通,,汽运（汽车客运营）,,,,,,,,ABCDEFGH,x132-海南自贸港
7,海南发展,基建,,海南最大幕墙企业,,,,,,,,ABCDEFGH,x132-海南自贸港
8,海南瑞泽,基建,,海南最大的混凝土企业,,,,,,,,ABCDEFGH,x132-海南自贸港
9,海德股份,基建,,资产管理，拥有AMC牌照,,,,,,,,ABCDEFGH,x132-海南自贸港
10,神农种业,农业与食品,,海南本地 种业 营收第一,,,,,,,,ABCDEFGH,x132-海南自贸港
11,罗牛山,农业与食品,,海南本地畜牧业第一,,,,,,,,ABCDEFGH,x132-海南自贸港
12,海南橡胶,农业与食品,,天然橡胶市占率全国第一,,,,,,,,ABCDEFGH,x132-海南自贸港
13,京粮控股,农业与食品,,粮油加工，办公地为海口（产品主销京津冀）,,,,,,,,ABCDEFGH,x132-海南自贸港
14,欣龙控股,农业与食品,,海南本地纺织业,,,,,,,,ABCDEFGH,x132-海南自贸港
15,中国中免,免税与零售,,国内免税业市占率第一,,,,,,,,ABCDEFGH,x132-海南自贸港
16,王府井,免税与零售,,国内免税经营范围第一,,,,,,,,ABCDEFGH,x132-海南自贸港
17,珠免集团,免税与零售,,国内免税经营范围第2,,,,,,,,ABCDEFGH,x132-海南自贸港
18,海汽集团,免税与零售,,国内免税经营范围第3,,,,,,,,ABCDEFGH,x132-海南自贸港
19,海南发展,免税与零售,,国内免税经营范围第4,,,,,,,,ABCDEFGH,x132-海南自贸港
20,凯撒旅业,免税与零售,,在海口设立海南同盛世嘉免税集团,,,,,,,,ABCDEFGH,x132-海南自贸港
21,供销大集,免税与零售,,中国供销社总社,,,,,,,,ABCDEFGH,x132-海南自贸港
22,一心堂,医药,,海南本地第一大医药零售上市公司,,,,,,,,ABCDEFGH,x132-海南自贸港
23,海南海药,医药,,,,,,,,,,ABCDEFGH,x132-海南自贸港
24,康芝药业,医药,,主营儿童用药，,,,,,,,,ABCDEFGH,x132-海南自贸港
25,钧达股份,新能源,,光伏,,,,,,,,ABCDEFGH,x132-海南自贸港
26,金盘科技,新能源,,变压器,,,,,,,,ABCDEFGH,x132-海南自贸港
27,海马汽车,新能源,,汽车,,,,,,,,ABCDEFGH,x132-海南自贸港
28,海南矿业,矿产资源,,铁矿石,,,,,,,,ABCDEFGH,x132-海南自贸港
29,海南华铁,其他,,本地第一大租赁类上市公司,,,,,,,,ABCDEFGH,x132-海南自贸港
