序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,汽车零部件分为,,,发动机，汽车电气，汽车内饰，汽车金属件，模具，涡轮增压，结构件,,,,,,,,ABCDEFGH,x133-汽车零部件
2,潍柴动力,发动机-柴油,潍坊市,,,,,,,,,ABCDEFGH,x133-汽车零部件
3,全柴动力,发动机-柴油,安徽-滁州,,,,,,,,,ABCDEFGH,x133-汽车零部件
4,登云股份,发动机-柴油,广东-肇庆,,,,,,,,,ABCDEFGH,x133-汽车零部件
5,长安汽车,发动机-汽油,重庆,,,,,,,,,ABCDEFGH,x133-汽车零部件
6,比亚迪,发动机-汽油,深圳,,,,,,,,,ABCDEFGH,x133-汽车零部件
7,东风股份,发动机-汽油,湖北-襄阳,,,,,,,,,ABCDEFGH,x133-汽车零部件
8,东安动力,发动机-汽油,,,,,,,,,,ABCDEFGH,x133-汽车零部件
9,秦安股份,发动机-汽油,重庆,,,,,,,,,ABCDEFGH,x133-汽车零部件
10,天润工业,发动机-汽油,威海,,,,,,,,,ABCDEFGH,x133-汽车零部件
11,中原内配,发动机-汽油,河南-焦作,,,,,,,,,ABCDEFGH,x133-汽车零部件
12,绿田机械,发动机-汽油,浙江-台州,,,,,,,,,ABCDEFGH,x133-汽车零部件
13,上声电子,汽车电气-车载扬声器,,,,,,,,,,ABCDEFGH,x133-汽车零部件
14,星宇股份,汽车电气-车灯,江苏-常州,,,,,,,,,ABCDEFGH,x133-汽车零部件
15,飞乐音响,汽车电气-车灯,上海,,,,,,,,,ABCDEFGH,x133-汽车零部件
16,均胜电子,汽车电气-安全气囊,浙江-宁波,,,,,,,,,ABCDEFGH,x133-汽车零部件
17,松原安全,汽车电气-安全气囊,浙江-宁波,,,,,,,,,ABCDEFGH,x133-汽车零部件
18,恒勃股份-300,汽车电气-进气系统,浙江-绍兴,,,,,,,,,ABCDEFGH,x133-汽车零部件
19,金海高科-过滤器,汽车电气-进气系统,浙江-绍兴,主营：过滤器,家电领域（基本盘）：这是公司最传统的业务，产品用于家用/商用空调、空气净化机、厨房电器（如抽油烟机）、清洁电器（如扫地机器人）等,"汽车领域（新增长点）：为传统燃油车和新能源汽车提供车载空调过滤系统12。公司已经进入了赛力斯（问界系列）等头部新能源车企的供应链2。
","航空领域（高壁垒）：这是一个高技术含量的业务。公司为国产大飞机（C919）提供座舱空气过滤产品和液压系统过滤器，是其重要的隐形冠军业务25。
","其他领域：还包括新风系统、轨道交通、宠物空气净化、养老护理等场景14。
",,,,ABCDEFGH,x133-汽车零部件
20,豪能股份,汽车电气-差速器,四川-成都,,,,,,,,,ABCDEFGH,x133-汽车零部件
21,精锻科技-300,汽车电气-差速器,江苏-泰州,,,,,,,,,ABCDEFGH,x133-汽车零部件
22,沪光股份,汽车电气-线束,江苏-苏州,,,,,,,,,ABCDEFGH,x133-汽车零部件
23,得润电子,汽车电气-线束,深圳,,,,,,,,,ABCDEFGH,x133-汽车零部件
24,鑫宏业-300,汽车电气-线束,江苏-无锡,,,,,,,,,ABCDEFGH,x133-汽车零部件
25,卡倍亿-300,汽车电气-线束,浙江-宁波,,,,,,,,,ABCDEFGH,x133-汽车零部件
26,徕木股份,汽车电气-线束,上海,,,,,,,,,ABCDEFGH,x133-汽车零部件
27,万里扬,汽车电气-变速器,浙江-金华,,,,,,,,,ABCDEFGH,x133-汽车零部件
28,山子高科,汽车电气-变速器,甘肃-兰州,,,,,,,,,ABCDEFGH,x133-汽车零部件
29,中马传动,汽车电气-变速器,浙江-台州,,,,,,,,,ABCDEFGH,x133-汽车零部件
30,沙钢股份,汽车电气-变速器,江苏-苏州,,,,,,,,,ABCDEFGH,x133-汽车零部件
31,新坐标,汽车电气-变速器,浙江-杭州,,,,,,,,,ABCDEFGH,x133-汽车零部件
32,长春一东,汽车电气-离合器,吉林-长春,,,,,,,,,ABCDEFGH,x133-汽车零部件
33,福达股份,汽车电气-离合器,广西-桂林,,,,,,,,,ABCDEFGH,x133-汽车零部件
34,奥特佳,汽车电气-空调,江苏-南通,,,,,,,,,ABCDEFGH,x133-汽车零部件
