序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,教育分为,,,教育产品， 教育培训，普惠托育服务,,,,,,,,ABCDEFGH,x134-教育
2,科大讯飞,教育产品-学习,安徽-合肥,AI学习机,,,,,,,,ABCDEFGH,x134-教育
3,方直科技-300,教育产品-学习,深圳,方直金太阳教育软件,,,,,,,,ABCDEFGH,x134-教育
4,中国高科,教育产品-学习,北京,中国大学MOOC慕课,,,,,,,,ABCDEFGH,x134-教育
5,广博股份,教育产品-学习,浙江-宁波,文具营收,,,,,,,,ABCDEFGH,x134-教育
6,佳发教育-300,教育产品-考试,四川-成都,标准化考试解决方案市占率第一,,,,,,,,ABCDEFGH,x134-教育
7,欧码软件,教育产品-考试,,无纸化考试与网上评卷服务,,,,,,,,ABCDEFGH,x134-教育
8,竞业达,教育产品-考试,北京,智慧招考业务,,,,,,,,ABCDEFGH,x134-教育
9,视源股份,教育产品-教学,广州,智能交互白板,,,,,,,,ABCDEFGH,x134-教育
10,康冠科技,教育产品-教学,深圳,智能交互白板,,,,,,,,ABCDEFGH,x134-教育
11,鸿合科技,教育产品-教学,深圳,智能交互白板,,,,,,,,ABCDEFGH,x134-教育
12,智微智能,教育产品-教学,深圳,鸿合科技，视源股份的供应商,,,,,,,,ABCDEFGH,x134-教育
13,正元智慧,教育产品-校园,浙江-杭州,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
14,新开普-300,教育产品-校园,河南-郑州,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
15,全通教育-300,教育产品-校园,广东-中山,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
16,博瑞传播,教育产品-校园,四川-成都,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
17,竞业达,教育产品-校园,北京,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
18,金桥信息,教育产品-校园,上海,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
19,高乐股份,教育产品-校园,广东-揭阳,智慧校园解决方案,,,,,,,,ABCDEFGH,x134-教育
20,凯文教育,教育培训-K12,北京,北京海淀，朝阳,,,,,,,,ABCDEFGH,x134-教育
21,学大教育,教育培训-K12,福建-厦门,K12 1对1 辅导营收第一,,,,,,,,ABCDEFGH,x134-教育
22,昂立教育,教育培训-K12,上海,K12素质教育,,,,,,,,ABCDEFGH,x134-教育
23,科德教育,教育培训-K12,江苏-苏州,全日制幅度学校： 龙门教育,,,,,,,,ABCDEFGH,x134-教育
24,科德教育,教育培训-职高,江苏-苏州,职业高中： 西安培英育才职高和 天津旅外职高,,,,,,,,ABCDEFGH,x134-教育
25,博通股份,教育培训-高等,陕西-西安,西安交通大学城市学院,,,,,,,,ABCDEFGH,x134-教育
26,国脉科技,教育培训-高等,福建-福州,福建理工学院,,,,,,,,ABCDEFGH,x134-教育
27,陕西金叶,教育培训-高等,陕西-西安,西安明德理工学院,,,,,,,,ABCDEFGH,x134-教育
28,中公教育,职业培训,安徽-芜湖,,,,,,,,,ABCDEFGH,x134-教育
29,中国高科,职业培训,北京,医学职业资格培训,,,,,,,,ABCDEFGH,x134-教育
30,世纪鼎利,职业培训,广东-珠海,工科及金融财务管理,,,,,,,,ABCDEFGH,x134-教育
31,捷安高科-300,职业培训,河南-郑州,轨道交通虚拟仿真,,,,,,,,ABCDEFGH,x134-教育
32,行动教育,职业培训,上海,企业管理,,,,,,,,ABCDEFGH,x134-教育
33,创业黑马-300,职业培训,北京,企业管理,,,,,,,,ABCDEFGH,x134-教育
34,盛通股份,职业培训,北京,少年人工智能编程,,,,,,,,ABCDEFGH,x134-教育
35,全通教育-300,职业培训,广东-中山,中小学教师在职继续教育,,,,,,,,ABCDEFGH,x134-教育
36,国缆检测,职业培训,上海,电线电缆产品及电缆原料检验员等培训项目,,,,,,,,ABCDEFGH,x134-教育
37,豆神教育,职业培训,北京,艺术类教育培训,,,,,,,,ABCDEFGH,x134-教育
38,华媒控股,普惠托育服务,浙江-杭州,子公司华媒优培,,,,,,,,ABCDEFGH,x134-教育
39,孩子王,普惠托育服务,江苏-南京,,,,,,,,,ABCDEFGH,x134-教育
40,爱婴室,普惠托育服务,上海,店中店早教,,,,,,,,ABCDEFGH,x134-教育
41,悦心健康,普惠托育服务,上海,托育中心很多,,,,,,,,ABCDEFGH,x134-教育
42,鸿合科技,普惠托育服务,深圳,小优成长书房,,,,,,,,ABCDEFGH,x134-教育
43,和晶科技,普惠托育服务,江苏-无锡,智慧树,,,,,,,,ABCDEFGH,x134-教育
44,珠江股份,普惠托育服务,广州,广州,,,,,,,,ABCDEFGH,x134-教育
45,拓维信息,普惠托育服务,湖南-长沙,云宝贝-智慧幼儿园,,,,,,,,ABCDEFGH,x134-教育
46,时代出版,普惠托育服务,安徽-合肥,豚宝宝系列产品,,,,,,,,ABCDEFGH,x134-教育
