序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,盾构机,,,产品，零部件,,,,,,,,ABCDEFGH,x135-盾构机
2,铁建重工,产品,,隧道掘进装备市占率第一,,,,,,,,ABCDEFGH,x135-盾构机
3,中铁工业,产品,,隧道掘进装备市占率第二,,,,,,,,ABCDEFGH,x135-盾构机
4,中国交建,产品,,子公司中交天和研制15米超大直径水平盾构机,,,,,,,,ABCDEFGH,x135-盾构机
5,隧道股份,产品,,研制国内首台国产土压平衡盾构机,,,,,,,,ABCDEFGH,x135-盾构机
6,厦工股份,产品,,,,,,,,,,ABCDEFGH,x135-盾构机
7,中信重工,产品,,产品包括TBM硬岩掘进机,,,,,,,,ABCDEFGH,x135-盾构机
8,新锐股份,零部件,,,,,,,,,,ABCDEFGH,x135-盾构机
9,金盾股份,零部件,,隧道通风系统市占率国内第一,,,,,,,,ABCDEFGH,x135-盾构机
10,中密控股,零部件,,工程机械密封件营收A股第一，,,,,,,,,ABCDEFGH,x135-盾构机
11,唯万密封,零部件,,工程机械密封件营收A股第2,,,,,,,,ABCDEFGH,x135-盾构机
12,顺钠股份,零部件,,开发盾构机专用箱 配电设备,,,,,,,,ABCDEFGH,x135-盾构机
13,永达股份,零部件,,盾构机的顿提、刀盘体，管片机及隧道洞壁支撑管片,,,,,,,,ABCDEFGH,x135-盾构机
14,港迪技术,零部件,,自动化变频器,,,,,,,,ABCDEFGH,x135-盾构机
15,博云新材,零部件,,盾构刀具,,,,,,,,ABCDEFGH,x135-盾构机
16,宏润建设,零部件,,盾构机换刀机器人，将换刀时间从6小时缩短到24分钟,,,,,,,,ABCDEFGH,x135-盾构机
17,速达股份,零部件,,为盾构机提供后市场服务,,,,,,,,ABCDEFGH,x135-盾构机
