序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,成都世运会 8月7日举行,,,旅游，饮食，农家乐，衍生品，体育器材，交通,https://xueqiu.com/3476656801/344305369,,,,,,,ABCDEFGH,x136-成都世运会
2,峨眉山,旅游,四川-乐山,峨眉山景区旅游,,,,,,,,ABCDEFGH,x136-成都世运会
3,天府文旅,旅游,四川-成都,成都西岭雪山景区,,,,,,,,ABCDEFGH,x136-成都世运会
4,西藏旅游,旅游,西藏-拉萨,西藏本地第一大旅游上市公司，四川周边旅游,,,,,,,,ABCDEFGH,x136-成都世运会
5,五粮液,饮食-酒,四川-宜宾,,,,,,,,,ABCDEFGH,x136-成都世运会
6,泸州老窖,饮食-酒,四川-泸州,,,,,,,,,ABCDEFGH,x136-成都世运会
7,舍得酒业,饮食-酒,四川-遂宁,,,,,,,,,ABCDEFGH,x136-成都世运会
8,水井坊,饮食-酒,四川-成都,,,,,,,,,ABCDEFGH,x136-成都世运会
9,豫园股份,饮食-酒,上海,持有四川沱牌舍得集团 70%股权,,,,,,,,ABCDEFGH,x136-成都世运会
10,红旗连锁,饮食-零售,四川-成都,,,,,,,,,ABCDEFGH,x136-成都世运会
11,茂业商业,饮食-零售,四川-成都,,,,,,,,,ABCDEFGH,x136-成都世运会
12,川发龙蟒,农家乐,四川-成都,万亩果园基地开放采摘体验,,,,,,,,ABCDEFGH,x136-成都世运会
13,新希望,农家乐,四川-绵阳,鲜花谷，田园农场,,,,,,,,ABCDEFGH,x136-成都世运会
14,锦江酒店,农家乐,上海,通过希岸， 麓枫 等品牌下沉乡村市场,,,,,,,,ABCDEFGH,x136-成都世运会
15,君亭酒店,农家乐,浙江-杭州,布局“微度假” 高端民宿,,,,,,,,ABCDEFGH,x136-成都世运会
16,华侨城,农家乐,深圳,开发田园综合体项目（安仁古镇华侨城）,,,,,,,,ABCDEFGH,x136-成都世运会
17,奥飞娱乐,衍生品-玩具,广东-汕头,,,,,,,,,ABCDEFGH,x136-成都世运会
18,星辉娱乐,衍生品-玩具,广东-汕头,,,,,,,,,ABCDEFGH,x136-成都世运会
19,实丰文化,衍生品-玩具,广东-汕头,,,,,,,,,ABCDEFGH,x136-成都世运会
20,高乐股份,衍生品-玩具,广东-揭阳,,,,,,,,,ABCDEFGH,x136-成都世运会
21,汤姆猫,衍生品-玩具,浙江-绍兴,,,,,,,,,ABCDEFGH,x136-成都世运会
22,元隆雅图,衍生品-盲盒,北京,冰墩墩,,,,,,,,ABCDEFGH,x136-成都世运会
23,德艺文创,衍生品-盲盒,福建-福州,森晴,,,,,,,,ABCDEFGH,x136-成都世运会
24,天舟文化,衍生品-盲盒,湖南-天舟,线上数字版盲盒,,,,,,,,ABCDEFGH,x136-成都世运会
25,姚记科技,衍生品-卡牌,上海,,,,,,,,,ABCDEFGH,x136-成都世运会
26,华立科技-300,衍生品-卡牌,广东-广州,,,,,,,,,ABCDEFGH,x136-成都世运会
27,京华激光,衍生品-防伪,浙江-绍兴,,,,,,,,,ABCDEFGH,x136-成都世运会
28,顺灏股份（hao),衍生品-防伪,上海,,,,,,,,,ABCDEFGH,x136-成都世运会
29,陕西金叶,衍生品-防伪,陕西-西安,,,,,,,,,ABCDEFGH,x136-成都世运会
30,共创草坪,体育器材-草坪,江苏-淮安,,,,,,,,,ABCDEFGH,x136-成都世运会
31,伊戈尔,体育器材-草坪,广东-佛山,参股青岛青禾，（青岛青禾人造草坪）,,,,,,,,ABCDEFGH,x136-成都世运会
32,英派斯,体育器材-健身器材,山东-青岛,,,,,,,,,ABCDEFGH,x136-成都世运会
33,康力源-300,体育器材-健身器材,江苏-徐州,,,,,,,,,ABCDEFGH,x136-成都世运会
34,舒华体育,体育器材-健身器材,福建-泉州,,,,,,,,,ABCDEFGH,x136-成都世运会
35,三柏硕,体育器材-健身器材,山东-青岛,,,,,,,,,ABCDEFGH,x136-成都世运会
36,金陵体育-300,体育器材-球类器材,江苏-苏州,,,,,,,,,ABCDEFGH,x136-成都世运会
37,四川路桥,交通,四川-成都,,,,,,,,,ABCDEFGH,x136-成都世运会
38,成都路桥,交通,四川-成都,,,,,,,,,ABCDEFGH,x136-成都世运会
39,新筑股份,交通,四川-成都,路桥,,,,,,,,ABCDEFGH,x136-成都世运会
40,四川成渝,交通,四川-成都,高速公路,,,,,,,,ABCDEFGH,x136-成都世运会
41,蜀道装备,交通,四川-成都,能源站,,,,,,,,ABCDEFGH,x136-成都世运会
42,华体科技,交通,四川-成都,照明路灯,,,,,,,,ABCDEFGH,x136-成都世运会
43,四川九洲,交通,四川-绵阳,,,,,,,,,ABCDEFGH,x136-成都世运会
44,重庆路桥,交通,重庆,,,,,,,,,ABCDEFGH,x136-成都世运会
45,重庆港,交通,重庆,物流,,,,,,,,ABCDEFGH,x136-成都世运会
46,三羊马,交通,重庆,物流,,,,,,,,ABCDEFGH,x136-成都世运会
