序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,光刻机分为,,,整机，部件，服务,,,,,,,,ABCDEFGH,x137-光刻机
2,上海电气,整机-上海微电子,上海,上海电气控制集团，持股比例第一， 43%,上海微电子装备集团控股股东为 上海电气控股集团,,,,,,,ABCDEFGH,x137-光刻机
3,电气风电-688,整机-上海微电子,上海,上海电气控制集团，持股比例第2， 26%,https://xueqiu.com/3476656801/344318285,,,,,,,ABCDEFGH,x137-光刻机
4,海立股份,整机-上海微电子,上海,上海电气控制集团，持股比例第3， 26%,,,,,,,,ABCDEFGH,x137-光刻机
5,上海机电,整机-上海微电子,上海,上海电气控制集团，持股比例第4， 21%,,,,,,,,ABCDEFGH,x137-光刻机
6,赢合科技-300,整机-上海微电子,深圳,上海电气控制集团，持股比例第5， 12%,,,,,,,,ABCDEFGH,x137-光刻机
7,张江高科,整机-上海微电子,上海,间接持股上海微电子10%的股份,,,,,,,,ABCDEFGH,x137-光刻机
8,东方明珠,整机-上海微电子,上海,间接持股上海微电子1%的股份,,,,,,,,ABCDEFGH,x137-光刻机
9,奥普光电,整机-长春光机所,吉林-长春,长春光机所唯一上市平台,,,,,,,,ABCDEFGH,x137-光刻机
10,茂莱光学,部件-光源,江苏-南京,精密光学,,,,,,,,ABCDEFGH,x137-光刻机
11,福晶科技,部件-光源,福建-福州,BBO晶体市占率全球第一，为激光器上游材料,,,,,,,,ABCDEFGH,x137-光刻机
12,永新光学,部件-光源,浙江-宁波,光刻机镜头可应用于PCB光刻设备,,,,,,,,ABCDEFGH,x137-光刻机
13,波长光电-300,部件-光源,江苏-南京,光刻机平行光源系统,,,,,,,,ABCDEFGH,x137-光刻机
14,赛微电子-300,部件-物镜,北京,光刻机厂商MEMS透镜部件供应商,,,,,,,,ABCDEFGH,x137-光刻机
15,电科数字,部件-控制器,上海,子公司可供货光刻机控制器,,,,,,,,ABCDEFGH,x137-光刻机
16,蓝英装备-300,部件-洁净设备,辽宁,清洗系统以及表面处理设备,,,,,,,,ABCDEFGH,x137-光刻机
17,美埃科技-688,部件-洁净设备,江苏-南京,,,,,,,,,ABCDEFGH,x137-光刻机
18,安达智能-688,部件-洁净设备,广东-东莞,,,,,,,,,ABCDEFGH,x137-光刻机
19,腾景科技-688,部件-光学器件,福建-福州,,,,,,,,,ABCDEFGH,x137-光刻机
20,炬光科技,部件-洁净设备,陕西-西安,,,,,,,,,ABCDEFGH,x137-光刻机
21,苏大维格,部件-洁净设备,江苏-苏州,向上海微电子提供光刻机用的定位光栅产品,,,,,,,,ABCDEFGH,x137-光刻机
22,京华激光,部件-洁净设备,浙江-绍兴,,,,,,,,,ABCDEFGH,x137-光刻机
23,晶方科技,部件-洁净设备,江苏-苏州,,,,,,,,,ABCDEFGH,x137-光刻机
24,苏大维格300,部件-光学器件,江苏-苏州,,,,,,,,,ABCDEFGH,x137-光刻机
25,炬光科技-688,部件-光学器件,陕西-西安,,,,,,,,,ABCDEFGH,x137-光刻机
26,腾景科技-688,部件-光学器件,福建-福州,,,,,,,,,ABCDEFGH,x137-光刻机
27,京华激光,部件-光学器件,浙江-绍兴,,,,,,,,,ABCDEFGH,x137-光刻机
28,晶方科技,部件-光学器件,江苏-苏州,,,,,,,,,ABCDEFGH,x137-光刻机
29,新莱应材-300,部件-结构件,江苏-苏州,,,,,,,,,ABCDEFGH,x137-光刻机
30,富创精密-688,部件-结构件,辽宁-沈阳,,,,,,,,,ABCDEFGH,x137-光刻机
31,联合精密,部件-结构件,广东-清远,,,,,,,,,ABCDEFGH,x137-光刻机
32,华亚智能,部件-结构件,江苏-苏州,,,,,,,,,ABCDEFGH,x137-光刻机
33,百傲化学,部件-结构件,辽宁-大连,参股企业 芯慧联芯（苏州）科技公司,,,,,,,,ABCDEFGH,x137-光刻机
34,旭光电子,部件-结构件,四川-成都,,,,,,,,,ABCDEFGH,x137-光刻机
35,同飞股份-300,部件-温控,河北-廊坊,液体恒温设备应用于光刻机,,,,,,,,ABCDEFGH,x137-光刻机
36,海立股份,部件-温控,上海,光刻机冷却系统配套,,,,,,,,ABCDEFGH,x137-光刻机
37,东方嘉盛,服务,深圳,建设光刻机寄售维修保税仓库,,,,,,,,ABCDEFGH,x137-光刻机
