序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,磷化工分为：,,,磷肥，农药，电池材料，精细磷化工,,,,,,,,ABCDEFGH,x138-磷化工
2,新洋丰,磷肥-磷酸一铵,湖北-荆门,,,,,,,,,ABCDEFGH,x138-磷化工
3,川发龙蟒,磷肥-磷酸一铵,四川-成都,,,,,,,,,ABCDEFGH,x138-磷化工
4,云天化,磷肥-磷酸一铵,云南-昆明,,,,,,,,,ABCDEFGH,x138-磷化工
5,司尔特,磷肥-磷酸一铵,安徽-宣城,,,,,,,,,ABCDEFGH,x138-磷化工
6,宏达股份,磷肥-磷酸一铵,四川-德阳,,,,,,,,,ABCDEFGH,x138-磷化工
7,云天化,磷肥-磷酸二铵,云南-昆明,,,,,,,,,ABCDEFGH,x138-磷化工
8,中毅达,磷肥-磷酸二铵,贵州-黔南布依族,,,,,,,,,ABCDEFGH,x138-磷化工
9,湖北宜化,磷肥-磷酸二铵,湖北-宜昌,,,,,,,,,ABCDEFGH,x138-磷化工
10,兴发集团,磷肥-磷酸二铵,湖北-宜昌,,,,,,,,,ABCDEFGH,x138-磷化工
11,六国化工,磷肥-磷酸二铵,安徽-铜陵,,,,,,,,,ABCDEFGH,x138-磷化工
12,川金诺-300,磷肥-过磷酸钙,云南-昆明,,,,,,,,,ABCDEFGH,x138-磷化工
13,兴发集团,农药-草甘膦,湖北-宜昌,,,,,,,,,ABCDEFGH,x138-磷化工
14,新安股份,农药-草甘膦,浙江-杭州,,,,,,,,,ABCDEFGH,x138-磷化工
15,江山股份,农药-草甘膦,江苏-南通,,,,,,,,,ABCDEFGH,x138-磷化工
16,广信股份,农药-草甘膦,安徽-宣城,,,,,,,,,ABCDEFGH,x138-磷化工
17,和邦生物,农药-草甘膦,四川-乐山,,,,,,,,,ABCDEFGH,x138-磷化工
18,扬农化工,农药-草甘膦,江苏-扬州,,,,,,,,,ABCDEFGH,x138-磷化工
19,润丰股份-300,农药-草甘膦,山东-潍坊,,,,,,,,,ABCDEFGH,x138-磷化工
20,新农股份,农药-三唑磷（zuo),浙江-台州,,,,,,,,,ABCDEFGH,x138-磷化工
21,安纳达,电池材料-磷酸铁,安徽-铜陵,,,,,,,,,ABCDEFGH,x138-磷化工
22,天赐材料,电池材料-磷酸铁,广东-广州,,,,,,,,,ABCDEFGH,x138-磷化工
23,德方纳米-300,电池材料-磷酸铁锂,深圳,,,,,,,,,ABCDEFGH,x138-磷化工
24,湖南裕能-300,电池材料-磷酸铁锂,湖南-湘潭,,,,,,,,,ABCDEFGH,x138-磷化工
25,龙蟠科技,电池材料-磷酸铁锂,江苏-南京,,,,,,,,,ABCDEFGH,x138-磷化工
26,富临精工-300,电池材料-磷酸铁锂,四川-绵阳,,,,,,,,,ABCDEFGH,x138-磷化工
27,天赐材料,电池材料-六氟磷酸锂,广东-广州,,,,,,,,,ABCDEFGH,x138-磷化工
28,多氟多,电池材料-六氟磷酸锂,河南-焦作,,,,,,,,,ABCDEFGH,x138-磷化工
29,天际股份,电池材料-六氟磷酸锂,广东-汕头,,,,,,,,,ABCDEFGH,x138-磷化工
30,永太科技,电池材料-六氟磷酸锂,浙江-台州,,,,,,,,,ABCDEFGH,x138-磷化工
31,澄星股份（cheng),精细磷化工,江苏-无锡,,,,,,,,,ABCDEFGH,x138-磷化工
