序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,光线传媒,东极岛,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
2,中国电影,东极岛,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
3,中国电影,南京照相馆,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
4,幸福蓝海,南京照相馆,江苏-南京,,,,,,,,,ABCDEFGH,x139-暑期档电影
5,横店影视,南京照相馆,浙江-金华,,,,,,,,,ABCDEFGH,x139-暑期档电影
6,上海电影,南京照相馆,上海,,,,,,,,,ABCDEFGH,x139-暑期档电影
7,幸福蓝海-300,731,江苏-南京,,,,,,,,,ABCDEFGH,x139-暑期档电影
8,中国电影,731,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
9,当虹科技-688,731,浙江-杭州,,,,,,,,,ABCDEFGH,x139-暑期档电影
10,中国电影,酱园弄-悬案,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
11,横店影视,酱园弄-悬案,浙江-金华,,,,,,,,,ABCDEFGH,x139-暑期档电影
12,横店影视,你行！你上！,浙江-金华,,,,,,,,,ABCDEFGH,x139-暑期档电影
13,中文在线-300,罗小黑战记2,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
14,万达电影,长安的荔枝,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
15,上海电影,浪浪山小妖怪,上海,,,,,,,,,ABCDEFGH,x139-暑期档电影
16,万达电影,聊斋：兰若寺,北京,,,,,,,,,ABCDEFGH,x139-暑期档电影
17,华策影视-300,寻秦记,浙江-杭州,,,,,,,,,ABCDEFGH,x139-暑期档电影
