序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,电商-分为,,,国内电商，跨境电商，配套服务，大宗商品,,,,,,,,ABCDEFGH,x140-电商
2,值得买-300,国内电商-MCN,北京,,,,,,,,,ABCDEFGH,x140-电商
3,遥望科技,国内电商-MCN,广东-佛山,,,,,,,,,ABCDEFGH,x140-电商
4,新华都,国内电商-MCN,福建-厦门,,,,,,,,,ABCDEFGH,x140-电商
5,天下秀,国内电商-MCN,广西-北海,,,,,,,,,ABCDEFGH,x140-电商
6,南极电商,国内电商-品牌服务商,江苏-苏州,床上用品，衣服,,,,,,,,ABCDEFGH,x140-电商
7,壹网壹创-300,国内电商-品牌服务商,浙江-杭州,美妆，个护,,,,,,,,ABCDEFGH,x140-电商
8,丽人丽妆,国内电商-品牌服务商,上海,美妆，化妆,,,,,,,,ABCDEFGH,x140-电商
9,若羽臣,国内电商-品牌服务商,广东-广州,母婴，美妆个护,,,,,,,,ABCDEFGH,x140-电商
10,致欧科技-300,国内电商-品牌服务商,河南-郑州,家居，家具，宠物，庭院,,,,,,,,ABCDEFGH,x140-电商
11,电声股份,国内电商-品牌服务商,广东-广州,电商运营,,,,,,,,ABCDEFGH,x140-电商
12,青木科技-300,国内电商-综合服务,广东-广州,,,,,,,,,ABCDEFGH,x140-电商
13,凯淳股份-300,国内电商-综合服务,上海,,,,,,,,,ABCDEFGH,x140-电商
14,新迅达-300,国内电商-综合服务,广西-南宁,,,,,,,,,ABCDEFGH,x140-电商
15,安正时尚,国内电商-综合服务,浙江-嘉兴,,,,,,,,,ABCDEFGH,x140-电商
16,茶花股份,国内电商-综合服务,福建-福州,,,,,,,,,ABCDEFGH,x140-电商
17,万里马-300,国内电商-综合服务,广东-东莞,,,,,,,,,ABCDEFGH,x140-电商
18,国联股份,国内电商-电商平台,北京,,,,,,,,,ABCDEFGH,x140-电商
19,日播时尚,国内电商-电商平台,上海,,,,,,,,,ABCDEFGH,x140-电商
20,狮头股份,国内电商-电商平台,陕西-太原,子公司为品牌提供一站式全渠道经销业务和代运营业务,,,,,,,,ABCDEFGH,x140-电商
21,易点天下-300,跨境电商-海外营销,陕西-西安,,,,,,,,,ABCDEFGH,x140-电商
22,蓝色光标-300,跨境电商-海外营销,北京,,,,,,,,,ABCDEFGH,x140-电商
23,广博股份,跨境电商-海外营销,浙江-宁波,,,,,,,,,ABCDEFGH,x140-电商
24,智度股份,跨境电商-海外营销,广东-广州,,,,,,,,,ABCDEFGH,x140-电商
25,省广集团,跨境电商-海外营销,广东-广州,,,,,,,,,ABCDEFGH,x140-电商
26,有颗树,跨境电商-海外营销,,,,,,,,,,ABCDEFGH,x140-电商
27,安克创新-300,跨境电商-亚马逊,湖南-长沙,,,,,,,,,ABCDEFGH,x140-电商
28,致欧科技,跨境电商-亚马逊,河南-郑州,,,,,,,,,ABCDEFGH,x140-电商
29,赛维时代-300,跨境电商-亚马逊,深圳,,,,,,,,,ABCDEFGH,x140-电商
30,华鼎股份,跨境电商-亚马逊,浙江-金华,,,,,,,,,ABCDEFGH,x140-电商
31,哈尔斯,跨境电商-亚马逊,浙江-金华,,,,,,,,,ABCDEFGH,x140-电商
32,三态股份-300,跨境电商-亚马逊,深圳,,,,,,,,,ABCDEFGH,x140-电商
33,星徽股份-300,跨境电商-亚马逊,广东-佛山,,,,,,,,,ABCDEFGH,x140-电商
34,浙江正特,跨境电商-亚马逊,浙江-台州,,,,,,,,,ABCDEFGH,x140-电商
35,西大门,跨境电商-亚马逊,浙江-绍兴,,,,,,,,,ABCDEFGH,x140-电商
36,乐哥股份,跨境电商-海外仓,,,,,,,,,,ABCDEFGH,x140-电商
37,小商品城,跨境电商-海外仓,浙江-金华,,,,,,,,,ABCDEFGH,x140-电商
38,嘉诚国际,跨境电商-海外仓,广东-广州,,,,,,,,,ABCDEFGH,x140-电商
39,致欧科技,跨境电商-海外仓,河南-郑州,,,,,,,,,ABCDEFGH,x140-电商
40,焦点科技,跨境电商-海外仓,江苏-南京,,,,,,,,,ABCDEFGH,x140-电商
41,跨境通,跨境电商-自建平台,山西-太原,,,,,,,,,ABCDEFGH,x140-电商
42,吉宏股份,跨境电商-自建平台,福建-厦门,,,,,,,,,ABCDEFGH,x140-电商
43,小商品城,跨境电商-自建平台,浙江-金华,,,,,,,,,ABCDEFGH,x140-电商
44,华凯易佰-300,跨境电商-自建平台,湖南-长沙,,,,,,,,,ABCDEFGH,x140-电商
45,焦点科技,跨境电商-自建平台,,,,,,,,,,ABCDEFGH,x140-电商
46,澳柯玛,跨境电商-自建平台,青岛,,,,,,,,,ABCDEFGH,x140-电商
47,轻纺城,跨境电商-自建平台,浙江-绍兴,,,,,,,,,ABCDEFGH,x140-电商
48,易点天下,配套服务-广告,陕西-西安,,,,,,,,,ABCDEFGH,x140-电商
49,光云科技-688,配套服务-SAAS系统,浙江-杭州,,,,,,,,,ABCDEFGH,x140-电商
50,上海钢联,大宗商品,上海,,,,,,,,,ABCDEFGH,x140-电商
51,生意宝,大宗商品,浙江-杭州,,,,,,,,,ABCDEFGH,x140-电商
52,卓创资讯-300,大宗商品,淄博,,,,,,,,,ABCDEFGH,x140-电商
