序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,卫生巾分为：,,,医用卫生巾，普通,,,,,,,,ABCDEFGH,x141-卫生巾
2,华润双鹤,医用卫生巾,北京,子公司华润紫竹药业旗下拥有医用卫生巾品牌：毓婷,,,,,,,,ABCDEFGH,x141-卫生巾
3,千金药业,医用卫生巾,湖南-株洲,千金净雅 牌卫生巾,,,,,,,,ABCDEFGH,x141-卫生巾
4,奥美医疗,医用卫生巾,湖北-宜昌,医用护理垫，成人纸尿裤,,,,,,,,ABCDEFGH,x141-卫生巾
5,健尔康,医用卫生巾,江苏-常州,健尔康医用护理垫,,,,,,,,ABCDEFGH,x141-卫生巾
6,百亚股份,普通,重庆,,,,,,,,,ABCDEFGH,x141-卫生巾
7,豪悦护理,普通,浙江-杭州,洁婷，森之物语,,,,,,,,ABCDEFGH,x141-卫生巾
8,诺邦股份,普通,浙江-杭州,国内首款可冲散卫生巾，舒散SURELAX,,,,,,,,ABCDEFGH,x141-卫生巾
9,中顺洁柔,普通,广东-中山,朵蕾蜜,,,,,,,,ABCDEFGH,x141-卫生巾
10,稳健医疗-300,普通,深圳,奈丝公主,,,,,,,,ABCDEFGH,x141-卫生巾
11,依依股份,普通,天津,依依，阳光姐妹,,,,,,,,ABCDEFGH,x141-卫生巾
12,云南白药,普通,云南-昆明,益小小，白晓晓,,,,,,,,ABCDEFGH,x141-卫生巾
13,仁和药业,普通,江西-宜春,妇炎洁,,,,,,,,ABCDEFGH,x141-卫生巾
14,遥望科技,普通,广东-佛山,公司参股黄子韬旗下品牌朵薇 并合作,,,,,,,,ABCDEFGH,x141-卫生巾
15,聚胶股份,普通,广州,公司间接为黄子韬旗下品牌朵薇供货,,,,,,,,ABCDEFGH,x141-卫生巾
16,金春股份-300,普通,安徽-滁州,公司热风无纺布可用于卫生巾，间接供应黄子韬旗下品牌,,,,,,,,ABCDEFGH,x141-卫生巾
