序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,海啸分为：,,,应急交通，应急住宿，应急电力，应急救援，影响产业,,,,,,,,ABCDEFGH,x142-海啸
2,中船应急,应急交通,湖北-武汉,应急交通工程营收A股第一,,,,,,,,ABCDEFGH,x142-海啸
3,中信海直,应急交通,深圳,直升机运营规模亚洲第一,,,,,,,,ABCDEFGH,x142-海啸
4,浙江永强,应急住宿,浙江-台州,"户外露营产品营收A股第1,",,,,,,,,ABCDEFGH,x142-海啸
5,牧高笛,应急住宿,浙江-衢州,"户外露营产品营收A股第2,",,,,,,,,ABCDEFGH,x142-海啸
6,浙江正特,应急住宿,浙江-台州,"户外露营产品营收A股第3,",,,,,,,,ABCDEFGH,x142-海啸
7,扬州金泉,应急住宿,江苏-扬州,"户外露营产品营收A股第4,",,,,,,,,ABCDEFGH,x142-海啸
8,科泰电源-300,应急电力,上海,灾备电源第一,,,,,,,,ABCDEFGH,x142-海啸
9,泰豪科技,应急电力,江西-南昌,灾备电源第2,,,,,,,,ABCDEFGH,x142-海啸
10,潍柴重机,应急电力,潍坊,柴油发电机,,,,,,,,ABCDEFGH,x142-海啸
11,全柴动力,应急电力,安徽-滁州,柴油发电机,,,,,,,,ABCDEFGH,x142-海啸
12,三一重工,应急救援-挖掘机,北京,,,,,,,,,ABCDEFGH,x142-海啸
13,徐工机械,应急救援-挖掘机,江苏-徐州,,,,,,,,,ABCDEFGH,x142-海啸
14,柳工,应急救援-挖掘机,广西-柳州,,,,,,,,,ABCDEFGH,x142-海啸
15,山河智能,应急救援-挖掘机,湖南-长沙,,,,,,,,,ABCDEFGH,x142-海啸
16,徐工机械,应急救援-起重机,江苏-徐州,,,,,,,,,ABCDEFGH,x142-海啸
17,中联重科,应急救援-起重机,湖南-长沙,,,,,,,,,ABCDEFGH,x142-海啸
18,三一重工,应急救援-起重机,北京,,,,,,,,,ABCDEFGH,x142-海啸
19,柳工,应急救援-起重机,广西-柳州,,,,,,,,,ABCDEFGH,x142-海啸
20,威海广泰,应急救援-消防车,威海,消防车营收第1,,,,,,,,ABCDEFGH,x142-海啸
21,海伦哲-300,应急救援-消防车,江苏-徐州,消防车营收第2,,,,,,,,ABCDEFGH,x142-海啸
22,兆易创新,影响产业-存储芯片,北京,,,,,,,,,ABCDEFGH,x142-海啸
23,北京君正,影响产业-存储芯片,北京,,,,,,,,,ABCDEFGH,x142-海啸
24,东芯股份-688,影响产业-存储芯片,上海,,,,,,,,,ABCDEFGH,x142-海啸
25,大为股份,影响产业-存储芯片,深圳,,,,,,,,,ABCDEFGH,x142-海啸
26,中水渔业,影响产业-水产品,北京,水产品营收第1,,,,,,,,ABCDEFGH,x142-海啸
27,国联水产-300,影响产业-水产品,广东-湛江,水产品营收第2,,,,,,,,ABCDEFGH,x142-海啸
28,开创国际,影响产业-水产品,上海,水产品营收第3,,,,,,,,ABCDEFGH,x142-海啸
29,百洋股份,影响产业-水产品,广西-南宁,水产品营收第4,,,,,,,,ABCDEFGH,x142-海啸
30,獐子岛,影响产业-水产品,辽宁-大连,水产品营收第5,,,,,,,,ABCDEFGH,x142-海啸
31,好当家,影响产业-水产品,山东-威海,水产品营收第6,,,,,,,,ABCDEFGH,x142-海啸
32,大湖股份,影响产业-水产品,湖南-常德,水产品营收第7,,,,,,,,ABCDEFGH,x142-海啸
33,东方海洋,影响产业-水产品,烟台,水产品营收第8,,,,,,,,ABCDEFGH,x142-海啸
