序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,微软Azure云平台分为,,,核心伙伴，AI垂直场景，硬件支持，国内云服务,,,,,,,,ABCDEFGH,x143-微软Azure云平台
2,云赛智联,核心伙伴,上海,托管服务，子公司南洋万邦，信诺时代负责Azure云服务本地化运营,,,,,,,,ABCDEFGH,x143-微软Azure云平台
3,神州数码,核心伙伴,深圳,核心分销商，子公司上海云角负责Azure云混合云项目交付,,,,,,,,ABCDEFGH,x143-微软Azure云平台
4,博彦科技,核心伙伴,北京,生态伙伴，公司首批接入Azuer openai 商用服务权限的企业,,,,,,,,ABCDEFGH,x143-微软Azure云平台
5,软通动力-300,核心伙伴,北京,战略合作伙伴，公司提供AZURE devops 等技术服务,,,,,,,,ABCDEFGH,x143-微软Azure云平台
6,南兴股份,AI垂直场景,广东-东莞,智能体，公司拥有azure生态的认证资质,,,,,,,,ABCDEFGH,x143-微软Azure云平台
7,用友网络,AI垂直场景,北京,企业只能助手，,,,,,,,,ABCDEFGH,x143-微软Azure云平台
8,万兴科技-300,AI垂直场景,西藏-拉萨,openai 深度集成，旗下视频软件filmora ,,,,,,,,ABCDEFGH,x143-微软Azure云平台
9,汉得信息-300,AI垂直场景,上海,大模型落地，与微软联合开发供应链预测AI模型，已落地三一重工,,,,,,,,ABCDEFGH,x143-微软Azure云平台
10,鼎捷数智-300,AI垂直场景,上海,应用开发，公司雅典娜平台结合azure OPENAI 开发新型应用,,,,,,,,ABCDEFGH,x143-微软Azure云平台
11,易点天下-300,AI垂直场景,陕西-西安,混合云管理，公司智能化多云管理平台CYCOR 将AZUER纳入云服务上体系,,,,,,,,ABCDEFGH,x143-微软Azure云平台
12,工业富联,硬件支持,,提供服务器硬件,,,,,,,,ABCDEFGH,x143-微软Azure云平台
13,中科曙光,硬件支持,天津,提供液冷服务器,,,,,,,,ABCDEFGH,x143-微软Azure云平台
14,中际旭创-300,硬件支持,山东-烟台,提供光模块,,,,,,,,ABCDEFGH,x143-微软Azure云平台
15,雄韬股份,硬件支持,深圳,提供UPS锂电池,,,,,,,,ABCDEFGH,x143-微软Azure云平台
16,思泉新材-300,硬件支持,广东-东莞,提供散热组件,,,,,,,,ABCDEFGH,x143-微软Azure云平台
17,顺钠股份,硬件支持,广东-佛山,提供变压器,,,,,,,,ABCDEFGH,x143-微软Azure云平台
18,光环新网-300,国内云服务-基础设施IAAS,北京,硬件iaas营收A股第1,,,,,,,,ABCDEFGH,x143-微软Azure云平台
19,神州数码,国内云服务-基础设施IAAS,深圳,硬件iaas营收A股第2,,,,,,,,ABCDEFGH,x143-微软Azure云平台
20,网宿科技,国内云服务-基础设施IAAS,上海,硬件iaas营收A股第3,,,,,,,,ABCDEFGH,x143-微软Azure云平台
21,润泽科技-300,国内云服务-基础设施IAAS,河北-廊坊,硬件iaas营收A股第4,,,,,,,,ABCDEFGH,x143-微软Azure云平台
22,云赛智联,国内云服务-基础设施IAAS,上海,硬件iaas营收A股第5,,,,,,,,ABCDEFGH,x143-微软Azure云平台
23,数据港,国内云服务-基础设施IAAS,上海,硬件iaas营收A股第6,,,,,,,,ABCDEFGH,x143-微软Azure云平台
24,首都在线-300,国内云服务-基础设施IAAS,北京,硬件iaas营收A股第7,,,,,,,,ABCDEFGH,x143-微软Azure云平台
25,奥飞数据-300,国内云服务-基础设施IAAS,广东-广州,硬件iaas营收A股第8,,,,,,,,ABCDEFGH,x143-微软Azure云平台
26,拓维信息,国内云服务-基础设施IAAS,湖南-长沙,硬件iaas营收A股第9,,,,,,,,ABCDEFGH,x143-微软Azure云平台
27,铜牛信息-300,国内云服务-基础设施IAAS,北京,硬件iaas营收A股第10,,,,,,,,ABCDEFGH,x143-微软Azure云平台
28,青云科技,国内云服务-平台paas,北京,平台paas营收占比A股第1，,,,,,,,,ABCDEFGH,x143-微软Azure云平台
29,优刻得-688,国内云服务-平台paas,上海,平台paas营收占比A股第2，,,,,,,,,ABCDEFGH,x143-微软Azure云平台
30,品高股份-688,国内云服务-平台paas,广州,平台paas营收占比A股第3，,,,,,,,,ABCDEFGH,x143-微软Azure云平台
31,华胜天成,国内云服务-平台paas,北京,平台paas营收占比A股第4，,,,,,,,,ABCDEFGH,x143-微软Azure云平台
32,用友网络,国内云服务-软件SAAS,备用,"软件SAAS营收A股第1,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
33,广联达,国内云服务-软件SAAS,北京,"软件SAAS营收A股第2,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
34,金山办公-688,国内云服务-软件SAAS,北京,"软件SAAS营收A股第3,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
35,石基信息,国内云服务-软件SAAS,北京,"软件SAAS营收A股第4,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
36,税友股份,国内云服务-软件SAAS,浙江-杭州,"软件SAAS营收A股第5,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
37,普元信息-688,国内云服务-软件SAAS,上海,"软件SAAS营收A股第6,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
38,光云科技-688,国内云服务-软件SAAS,浙江-杭州,"软件SAAS营收A股第7,",,,,,,,,ABCDEFGH,x143-微软Azure云平台
39,赛意信息-300,国内云服务-软件SAAS,广州,泛ERP营收12亿,,,,,,,,ABCDEFGH,x143-微软Azure云平台
40,汉得信息-300,国内云服务-软件SAAS,,泛ERP营收10亿,,,,,,,,ABCDEFGH,x143-微软Azure云平台
