序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,辅助生殖分为,,,检测诊断，药品试剂，医疗服务,,,,,,,,ABCDEFGH,x144-辅助生殖
2,华大基因-300,检测诊断-基因检测,深圳,,,,,,,,,ABCDEFGH,x144-辅助生殖
3,贝瑞基因,检测诊断-基因检测,四川-成都,,,,,,,,,ABCDEFGH,x144-辅助生殖
4,凯普生物-300,检测诊断-精子检测,广东-潮州,,,,,,,,,ABCDEFGH,x144-辅助生殖
5,利德曼-300,检测诊断-精子检测,北京,,,,,,,,,ABCDEFGH,x144-辅助生殖
6,麦澜德-688,检测诊断-精子检测,江苏-南京,,,,,,,,,ABCDEFGH,x144-辅助生殖
7,丽珠集团,药品试剂,广东-珠海,,,,,,,,,ABCDEFGH,x144-辅助生殖
8,仙琚制药,药品试剂,浙江-台州,,,,,,,,,ABCDEFGH,x144-辅助生殖
9,福元医药,药品试剂,北京,,,,,,,,,ABCDEFGH,x144-辅助生殖
10,浙江医药,药品试剂,浙江-绍兴,,,,,,,,,ABCDEFGH,x144-辅助生殖
11,众生药业,药品试剂,广东-东莞,,,,,,,,,ABCDEFGH,x144-辅助生殖
12,长春高新,药品试剂,吉林-长春,,,,,,,,,ABCDEFGH,x144-辅助生殖
13,双鹭药业,药品试剂,北京,,,,,,,,,ABCDEFGH,x144-辅助生殖
14,安科生物-300,药品试剂,安徽-合肥,,,,,,,,,ABCDEFGH,x144-辅助生殖
15,新光药业-300,药品试剂,浙江-绍兴,,,,,,,,,ABCDEFGH,x144-辅助生殖
16,赛托生物-300,药品试剂,山东-菏泽,,,,,,,,,ABCDEFGH,x144-辅助生殖
17,共同药业-300,药品试剂,湖北-襄阳,,,,,,,,,ABCDEFGH,x144-辅助生殖
18,圣诺生物-688,药品试剂,四川-成都,,,,,,,,,ABCDEFGH,x144-辅助生殖
19,奥锐特,药品试剂,浙江-台州,,,,,,,,,ABCDEFGH,x144-辅助生殖
20,麦迪科技,医疗服务-生殖医院,江苏-苏州,,,,,,,,,ABCDEFGH,x144-辅助生殖
21,悦心健康,医疗服务-生殖医院,上海,,,,,,,,,ABCDEFGH,x144-辅助生殖
22,国际医学,医疗服务-生殖医院,陕西-西安,,,,,,,,,ABCDEFGH,x144-辅助生殖
23,澳洋健康,医疗服务-生殖医院,江苏-苏州,,,,,,,,,ABCDEFGH,x144-辅助生殖
24,汉商集团,医疗服务-生殖医院,湖北-武汉,,,,,,,,,ABCDEFGH,x144-辅助生殖
25,思创医惠-300,医疗服务-生殖医院,浙江-温州,,,,,,,,,ABCDEFGH,x144-辅助生殖
26,贝因美,医疗服务-生殖医院,浙江-杭州,,,,,,,,,ABCDEFGH,x144-辅助生殖
27,麦澜德,医疗服务-生殖医院,江苏-南京,,,,,,,,,ABCDEFGH,x144-辅助生殖
28,莱美药业-300,医疗服务-生殖医院,重庆,,,,,,,,,ABCDEFGH,x144-辅助生殖
29,汉商集团,医疗服务-授精牌照,湖北-武汉,,,,,,,,,ABCDEFGH,x144-辅助生殖
30,麦迪科技,医疗服务-授精牌照,江苏-苏州,,,,,,,,,ABCDEFGH,x144-辅助生殖
31,国际医学,医疗服务-授精牌照,陕西-西安,,,,,,,,,ABCDEFGH,x144-辅助生殖
32,康芝药业-300,医疗服务-授精牌照,海南-海口,,,,,,,,,ABCDEFGH,x144-辅助生殖
