序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,ASIC芯片分为,,,芯片，以太网，其他,,,,,,,,ABCDEFGH,x145-ASIC芯片
2,科德教育-300,芯片-TPU,江苏-苏州,公司持股 中昊芯英,,,,,,,,ABCDEFGH,x145-ASIC芯片
3,艾布鲁-300,芯片-TPU,湖南-长沙,公司参股中昊芯英,,,,,,,,ABCDEFGH,x145-ASIC芯片
4,寒武纪-688,芯片-NPU,北京,NPU芯片进度第1,,,,,,,,ABCDEFGH,x145-ASIC芯片
5,芯原股份-688,芯片-NPU,上海,NPU芯片进度第2,,,,,,,,ABCDEFGH,x145-ASIC芯片
6,瑞芯微,芯片-NPU,,NPU芯片进度第3,,,,,,,,ABCDEFGH,x145-ASIC芯片
7,国芯科技-688,芯片-NPU,江苏-苏州,NPU芯片进度第4,,,,,,,,ABCDEFGH,x145-ASIC芯片
8,北京君正-300,芯片-NPU,北京,公司拥有NPU技术,,,,,,,,ABCDEFGH,x145-ASIC芯片
9,紫光股份,以太网-交换机,北京,交换机市占率第2 ,,,,,,,,ABCDEFGH,x145-ASIC芯片
10,锐捷网络-300,以太网-交换机,北京,交换机市占率第3 ,,,,,,,,ABCDEFGH,x145-ASIC芯片
11,中兴通讯,以太网-交换机,深圳,交换机市占率第4 ,,,,,,,,ABCDEFGH,x145-ASIC芯片
12,星网锐捷,以太网-交换机,福建-福州,全资子公司锐捷网络,锐捷网络是星网锐捷旗下的一个品牌，专注于网络通信领域，提供包括交换机、路由器、无线产品等在内的网络设备和服务,,,,,,,ABCDEFGH,x145-ASIC芯片
13,天邑股份-300,以太网-交换机,四川-成都,宽带网络终端设备,,,,,,,,ABCDEFGH,x145-ASIC芯片
14,长芯博创-300,以太网-AEC,浙江-嘉兴,AEC相关营收A股第1，,有源电缆(AEC),,,,,,,ABCDEFGH,x145-ASIC芯片
15,瑞可达-688,以太网-AEC,江苏-苏州,AEC相关营收A股第2，,,,,,,,,ABCDEFGH,x145-ASIC芯片
16,鑫科材料,以太网-AEC,安徽-芜湖,,,,,,,,,ABCDEFGH,x145-ASIC芯片
17,新易盛-300,以太网-AEC,四川-成都,供货亚马逊AEC有源电缆,,,,,,,,ABCDEFGH,x145-ASIC芯片
18,长飞光纤,以太网-AEC,湖北-武汉,公司为博创科技第一大控股股东,,,,,,,,ABCDEFGH,x145-ASIC芯片
19,淳中科技,其他,北京,视频领域自研ASIC芯片： 寒硕，宙斯，雷神,,,,,,,,ABCDEFGH,x145-ASIC芯片
20,全志科技-300,其他,广东-珠海,,,,,,,,,ABCDEFGH,x145-ASIC芯片
21,润欣科技-300,其他,上海,,,,,,,,,ABCDEFGH,x145-ASIC芯片
22,兴森科技,其他,深圳,,,,,,,,,ABCDEFGH,x145-ASIC芯片
23,合众思壮,其他,北京,,,,,,,,,ABCDEFGH,x145-ASIC芯片
24,诺瓦星云-300,其他,陕西-西安,,,,,,,,,ABCDEFGH,x145-ASIC芯片
25,天融信,其他,广东-汕头,,,,,,,,,ABCDEFGH,x145-ASIC芯片
26,芯海科技-688,其他,深圳,公司创始人曾带领华为团队开发出多款通信用ASIC芯片,,,,,,,,ABCDEFGH,x145-ASIC芯片
27,瑞斯康达,其他,北京,自研ASIC芯片 主要用于公司相关通信产品,,,,,,,,ABCDEFGH,x145-ASIC芯片
