序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x147-eSIM,,,运营商，卡集成商，认证机构，卡芯片商,,,,,,,,ABCDEFGH,x147-eSIM
2,中国联通,运营厂商,北京,已开启ESIM手机业务试商用,,,,,,,,ABCDEFGH,x147-eSIM
3,东信和平,卡集成商,广东-珠海,消费电子ESIM进度第一,,,,,,,,ABCDEFGH,x147-eSIM
4,恒宝股份,卡集成商,江苏-镇江,消费电子ESIM进度第2,,,,,,,,ABCDEFGH,x147-eSIM
5,楚天龙,卡集成商,广东-东莞,,,,,,,,,ABCDEFGH,x147-eSIM
6,澄天伟业-300,卡集成商,广东-深圳,已具备esim卡生产能力,,,,,,,,ABCDEFGH,x147-eSIM
7,数字认证,认证机构,北京,,,,,,,,,ABCDEFGH,x147-eSIM
8,新恒汇-300,卡芯片商,山东-淄博,,,,,,,,,ABCDEFGH,x147-eSIM
9,紫光国微,卡芯片商,河北-唐山,国内首家实现esim全球商用的芯片商,,,,,,,,ABCDEFGH,x147-eSIM
10,移远通信,下游应用-物联网,上海,,,,,,,,,ABCDEFGH,x147-eSIM
11,广和通-300,下游应用-物联网,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
12,日海智能,下游应用-物联网,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
13,美格智能,下游应用-物联网,,,,,,,,,,ABCDEFGH,x147-eSIM
14,中国移动,下游应用-物联网,,,,,,,,,,ABCDEFGH,x147-eSIM
15,有方科技-688,下游应用-物联网,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
16,移远通信,下游应用-车联网,上海,,,,,,,,,ABCDEFGH,x147-eSIM
17,广和通-300,下游应用-车联网,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
18,美格智能,下游应用-车联网,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
19,高新兴-300,下游应用-车联网,广东-广州,,,,,,,,,ABCDEFGH,x147-eSIM
20,工业富联,下游应用-消费电子,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
21,光弘科技-300,下游应用-消费电子,广东-惠州,,,,,,,,,ABCDEFGH,x147-eSIM
22,卓翼科技,下游应用-消费电子,深圳,,,,,,,,,ABCDEFGH,x147-eSIM
23,福日电子,下游应用-消费电子,福建-福州,,,,,,,,,ABCDEFGH,x147-eSIM
