序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,机器人轻量化分为： ,,,PEEK，碳纤维，镁合金，钛合金，铝合金，MIM工艺，3D打印,,,,,,,,ABCDEFGH,x148-机器人轻量化
2,中研股份-688,PEEK-制品,吉林-长春,,,,,,,,,ABCDEFGH,x148-机器人轻量化
3,沃特股份,PEEK-制品,广东-深圳,,,,,,,,,ABCDEFGH,x148-机器人轻量化
4,双一科技-300,PEEK-制品,山东-德州,,,,,,,,,ABCDEFGH,x148-机器人轻量化
5,凯盛新材-300,PEEK-制品,山东-淄博,,,,,,,,,ABCDEFGH,x148-机器人轻量化
6,康拓医疗,PEEK-制品,陕西-西安,,,,,,,,,ABCDEFGH,x148-机器人轻量化
7,万润股份,PEEK-制品,山东-烟台,,,,,,,,,ABCDEFGH,x148-机器人轻量化
8,肯特股份-300,PEEK-制品,江苏-南京,,,,,,,,,ABCDEFGH,x148-机器人轻量化
9,中欣氟材,PEEK-氟酮,浙江-绍兴,,,,,,,,,ABCDEFGH,x148-机器人轻量化
10,新瀚新材-300,PEEK-氟酮,江苏-南京,,,,,,,,,ABCDEFGH,x148-机器人轻量化
11,大洋生物,PEEK-氟酮,浙江-杭州,,,,,,,,,ABCDEFGH,x148-机器人轻量化
12,浙江龙盛,PEEK-对苯二酚,浙江-绍兴,,,,,,,,,ABCDEFGH,x148-机器人轻量化
13,兄弟科技,PEEK-对苯二酚,浙江-嘉兴,,,,,,,,,ABCDEFGH,x148-机器人轻量化
14,中盐化工,PEEK-碳酸钠,内蒙古,,,,,,,,,ABCDEFGH,x148-机器人轻量化
15,三友化工,PEEK-碳酸钠,河北-唐山,,,,,,,,,ABCDEFGH,x148-机器人轻量化
16,山东海化,PEEK-碳酸钠,山东-潍坊,,,,,,,,,ABCDEFGH,x148-机器人轻量化
17,吉林化纤,碳纤维,吉林-吉林,,,,,,,,,ABCDEFGH,x148-机器人轻量化
18,中复神鹰-688,碳纤维,江苏-连云港,,,,,,,,,ABCDEFGH,x148-机器人轻量化
19,光威复材-300,碳纤维,山东-威海,,,,,,,,,ABCDEFGH,x148-机器人轻量化
20,中简科技-300,碳纤维,江苏-常州,,,,,,,,,ABCDEFGH,x148-机器人轻量化
21,精工科技,碳纤维,浙江-绍兴,,,,,,,,,ABCDEFGH,x148-机器人轻量化
22,奇德新材-300,碳纤维,广东-江门,,,,,,,,,ABCDEFGH,x148-机器人轻量化
23,万丰奥威,镁合金,浙江-绍兴,,,,,,,,,ABCDEFGH,x148-机器人轻量化
24,宝武镁业,镁合金,江苏-南京,,,,,,,,,ABCDEFGH,x148-机器人轻量化
25,宜安科技-300,镁合金,广东-东莞,,,,,,,,,ABCDEFGH,x148-机器人轻量化
26,星源卓镁-300,镁合金,浙江-宁波,,,,,,,,,ABCDEFGH,x148-机器人轻量化
27,丰华股份,镁合金,重庆,,,,,,,,,ABCDEFGH,x148-机器人轻量化
28,宝钛股份,钛合金,陕西-宝鸡,,,,,,,,,ABCDEFGH,x148-机器人轻量化
29,西部超导-688,钛合金,陕西-西安,,,,,,,,,ABCDEFGH,x148-机器人轻量化
30,西部材料,钛合金,陕西-西安,,,,,,,,,ABCDEFGH,x148-机器人轻量化
31,金天钛业-688,钛合金,湖南-常德,,,,,,,,,ABCDEFGH,x148-机器人轻量化
32,文灿股份,铝合金,广东-佛山,,,,,,,,,ABCDEFGH,x148-机器人轻量化
33,广东鸿图,铝合金,广东-肇庆,,,,,,,,,ABCDEFGH,x148-机器人轻量化
34,爱柯迪,铝合金,浙江-宁波,,,,,,,,,ABCDEFGH,x148-机器人轻量化
35,旭升集团,铝合金,浙江-宁波,,,,,,,,,ABCDEFGH,x148-机器人轻量化
36,泉峰汽车,铝合金,江苏-南京,,,,,,,,,ABCDEFGH,x148-机器人轻量化
37,嵘泰股份,铝合金,江苏-扬州,,,,,,,,,ABCDEFGH,x148-机器人轻量化
38,美利信-300,铝合金,重庆,,,,,,,,,ABCDEFGH,x148-机器人轻量化
39,东睦股份,MIM工艺-MIM制造,浙江-宁波,,,,,,,,,ABCDEFGH,x148-机器人轻量化
