序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,6G分为：,,,通信基站，卫星通信,,,,,,,,ABCDEFGH,x149-6G
2,金信诺-300,通信基站-天线PCB,深圳,,,,,,,,,ABCDEFGH,x149-6G
3,华正新材,通信基站-天线PCB,浙江-杭州,,,,,,,,,ABCDEFGH,x149-6G
4,本川智能-300,通信基站-天线PCB,江苏-南京,,,,,,,,,ABCDEFGH,x149-6G
5,通宇通讯,通信基站-天线,广东-中山,,,,,,,,,ABCDEFGH,x149-6G
6,硕贝德-300,通信基站-天线,广东-惠州,,,,,,,,,ABCDEFGH,x149-6G
7,盛路通信,通信基站-天线,广东-佛山,,,,,,,,,ABCDEFGH,x149-6G
8,平治信息-300,通信基站-天线,浙江-杭州,,,,,,,,,ABCDEFGH,x149-6G
9,世嘉科技,通信基站-天线,江苏-苏州,,,,,,,,,ABCDEFGH,x149-6G
10,信维通信-300,通信基站-天线,广东-深圳,,,,,,,,,ABCDEFGH,x149-6G
11,震有科技-688,通信基站-核心网,深圳,,,,,,,,,ABCDEFGH,x149-6G
12,天海防务-300,通信基站-太赫兹,上海,,,,,,,,,ABCDEFGH,x149-6G
13,雷科防务,通信基站-太赫兹,北京,,,,,,,,,ABCDEFGH,x149-6G
14,海格通信,通信基站-太赫兹,广州,,,,,,,,,ABCDEFGH,x149-6G
15,大富科技-300,通信基站-滤波器,安徽-蚌埠,,,,,,,,,ABCDEFGH,x149-6G
16,春兴精工,通信基站-滤波器,江苏-苏州,,,,,,,,,ABCDEFGH,x149-6G
17,武汉凡谷,通信基站-滤波器,湖北-武汉,,,,,,,,,ABCDEFGH,x149-6G
18,灿勤科技-688,通信基站-滤波器,江苏-苏州,,,,,,,,,ABCDEFGH,x149-6G
19,世嘉科技,通信基站-滤波器,,,,,,,,,,ABCDEFGH,x149-6G
20,欣龙控股,通信基站-滤波器,海南-澄迈县,,,,,,,,,ABCDEFGH,x149-6G
21,移为通信-300,通信基站-其他配套,上海,,,,,,,,,ABCDEFGH,x149-6G
22,华力创通-300,卫星通信-通信芯片,北京,,,,,,,,,ABCDEFGH,x149-6G
23,南京熊猫,卫星通信-通信芯片,南京,,,,,,,,,ABCDEFGH,x149-6G
24,中国卫通,卫星通信-通信广播,北京,,,,,,,,,ABCDEFGH,x149-6G
25,三维通信,卫星通信-通信广播,浙江-杭州,,,,,,,,,ABCDEFGH,x149-6G
26,航天环宇-688,卫星通信-通信零件,湖南-长沙,,,,,,,,,ABCDEFGH,x149-6G
27,上海瀚讯-300,卫星通信-通信零件,上海,,,,,,,,,ABCDEFGH,x149-6G
28,创意信息-300,卫星通信-通信零件,四川-成都,,,,,,,,,ABCDEFGH,x149-6G
29,信科移动-688,卫星通信-通信零件,湖北-武汉,,,,,,,,,ABCDEFGH,x149-6G
30,佳缘科技-300,卫星通信-通信零件,四川-成都,,,,,,,,,ABCDEFGH,x149-6G
31,北斗星通,卫星通信-导航芯片,北京,,,,,,,,,ABCDEFGH,x149-6G
32,海格通信,卫星通信-导航芯片,广州,,,,,,,,,ABCDEFGH,x149-6G
33,中海达-300,卫星通信-北斗导航,广州,,,,,,,,,ABCDEFGH,x149-6G
34,华测导航-300,卫星通信-北斗导航,上海,,,,,,,,,ABCDEFGH,x149-6G
35,合众思壮,卫星通信-北斗导航,北京,,,,,,,,,ABCDEFGH,x149-6G
36,司南导航-688,卫星通信-北斗导航,上海,,,,,,,,,ABCDEFGH,x149-6G
37,龙洲股份,卫星通信-北斗导航,福建-龙岩,,,,,,,,,ABCDEFGH,x149-6G
38,航天宏图-688,卫星通信-遥感监测,北京,,,,,,,,,ABCDEFGH,x149-6G
39,航宇微-300,卫星通信-遥感监测,广东-珠海,,,,,,,,,ABCDEFGH,x149-6G
40,中科星图-688,卫星通信-遥感监测,北京,,,,,,,,,ABCDEFGH,x149-6G
41,国博电子-688,卫星通信-雷达天线,江苏-南京,,,,,,,,,ABCDEFGH,x149-6G
42,亚光科技-300,卫星通信-雷达天线,湖南-益阳,,,,,,,,,ABCDEFGH,x149-6G
43,臻镭科技,卫星通信-雷达天线,,,,,,,,,,ABCDEFGH,x149-6G
44,雷电微力-300,卫星通信-雷达天线,杭州,,,,,,,,,ABCDEFGH,x149-6G
45,霍莱沃-688,卫星通信-雷达天线,上海,,,,,,,,,ABCDEFGH,x149-6G
46,盛路通信,卫星通信-雷达天线,,,,,,,,,,ABCDEFGH,x149-6G
47,中国卫星,卫星通信-卫星组装,北京,,,,,,,,,ABCDEFGH,x149-6G
48,上海沪工,卫星通信-卫星组装,上海,,,,,,,,,ABCDEFGH,x149-6G
49,达华智能,卫星通信-卫星组装,福建-福州,,,,,,,,,ABCDEFGH,x149-6G
50,银河电子,卫星通信-卫星组装,江苏-苏州,,,,,,,,,ABCDEFGH,x149-6G
