序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,种植业,种子生产（水稻，玉米，大豆，转基因），耕地种植，食用菌，果蔬，棉花，林业,,,,,,,,,,ABCDEFGH,x15-种植业
2,隆平高科,种子生产-水稻,湖南长沙,水稻种子市占率第1,,,,,,,,ABCDEFGH,x15-种植业
3,荃银高科-300,种子生产-水稻,安徽-合肥,水稻种子市占率第2,,,,,,,,ABCDEFGH,x15-种植业
4,苏垦农发,种子生产-水稻,江苏-南京,水稻种子市占率第3,,,,,,,,ABCDEFGH,x15-种植业
5,农发种业,种子生产-水稻,北京-西城,水稻种子市占率第4,,,,,,,,ABCDEFGH,x15-种植业
6,神农种业-300,种子生产-水稻,海南-海口,杂交水稻种子营收0.9亿,,,,,,,,ABCDEFGH,x15-种植业
7,隆平高科,种子生产-玉米,湖南-长沙,玉米种子市占率第1,,,,,,,,ABCDEFGH,x15-种植业
8,登海种业,种子生产-玉米,山东-烟台,玉米种子市占率第2,,,,,,,,ABCDEFGH,x15-种植业
9,万向德农,种子生产-玉米,黑龙江-哈尔滨,玉米种子市占率第3,,,,,,,,ABCDEFGH,x15-种植业
10,荃银高科-300,种子生产-玉米,安徽-合肥,玉米种子市占率第4,,,,,,,,ABCDEFGH,x15-种植业
11,农发种业,种子生产-玉米,北京-西城,玉米种子市占率第5,,,,,,,,ABCDEFGH,x15-种植业
12,神农种业-300,种子生产-玉米,海南-海口,玉米种子市占率第6,,,,,,,,ABCDEFGH,x15-种植业
13,敦煌种业,种子生产-玉米,甘肃-酒泉,玉米种子营收7.38亿,,,,,,,,ABCDEFGH,x15-种植业
14,丰乐种业,种子生产-玉米,安徽-合肥,玉米种子营收6.59亿,,,,,,,,ABCDEFGH,x15-种植业
15,大北农,种子生产-大豆,北京-海淀,大豆转基因种子，聚焦抗虫和耐除草剂特征,,,,,,,,ABCDEFGH,x15-种植业
16,新安股份,种子生产-大豆,浙江-杭州,大豆转基因种子，控股子公司山东鑫丰 主要从事玉米，小麦，大豆的新品种,,,,,,,,ABCDEFGH,x15-种植业
17,荃银高科-300,种子生产-大豆,安徽-合肥,大豆转基因种子，公司少量大豆种子业务,,,,,,,,ABCDEFGH,x15-种植业
18,农发种业,种子生产-大豆,北京-西城,大豆种子销售,,,,,,,,ABCDEFGH,x15-种植业
19,大北农,种子生产-转基因,北京-海淀,转基因安全证书品类数量第一,,,,,,,,ABCDEFGH,x15-种植业
20,隆平高科,种子生产-转基因,湖南-长沙,转基因安全证书品类数量第二,,,,,,,,ABCDEFGH,x15-种植业
21,北大荒,耕地种植,黑龙江-哈尔滨,耕地面积第一，1043万，大豆种植面积第一,,,,,,,,ABCDEFGH,x15-种植业
22,苏垦农发,耕地种植,江苏南京,更低面积第三， 大豆种植面积第二,,,,,,,,ABCDEFGH,x15-种植业
23,亚盛集团,耕地种植,甘肃-兰州,耕地面积第二，马铃薯，,,,,,,,,ABCDEFGH,x15-种植业
24,雪榕生物-300,食用菌,上海-奉贤区,食用菌产能第1，食用菌就是蘑菇,,,,,,,,ABCDEFGH,x15-种植业
25,众兴菌业,食用菌,甘肃-天水,食用菌产能第2,,,,,,,,ABCDEFGH,x15-种植业
26,华绿生物-300,食用菌,江苏-宿迁,食用菌产能第3,,,,,,,,ABCDEFGH,x15-种植业
27,博闻科技,食用菌,云南-保山市,食用菌产能第4,,,,,,,,ABCDEFGH,x15-种植业
28,万辰集团-300,食用菌,福建-漳州,食用菌产能第5,,,,,,,,ABCDEFGH,x15-种植业
29,宏辉果蔬,果蔬,广东-汕头,果蔬营收A股第一，，果蔬服务，速冻食品，食用油,,,,,,,,ABCDEFGH,x15-种植业
30,新赛股份,棉花,新疆,棉花营收第1,,,,,,,,ABCDEFGH,x15-种植业
31,冠农股份,棉花,新疆,棉花营收第2,,,,,,,,ABCDEFGH,x15-种植业
32,新农开发,棉花,新疆,棉花营收第3,,,,,,,,ABCDEFGH,x15-种植业
33,福建金森,林业,福建-三明,林业营收占比第1,,,,,,,,ABCDEFGH,x15-种植业
34,永安林业,林业,福建-三明,林业营收占比第2,,,,,,,,ABCDEFGH,x15-种植业
35,平潭发展,林业,福建-福州,林业营收占比第4,,,,,,,,ABCDEFGH,x15-种植业
36,岳阳林纸,林业,湖南-岳阳,林业营收占比第3,,,,,,,,ABCDEFGH,x15-种植业
