序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,卫星互联网分为；,,,卫星本体，卫星发射，卫星运维，地面设备，商业航天,,,,,,,,ABCDEFGH,x150-卫星互联网
2,航天制造-300,卫星本体-卫星分系统,河北-保定,,,,,,,,,ABCDEFGH,x150-卫星互联网
3,天银机电-300,卫星本体-卫星分系统,江苏-苏州,,,,,,,,,ABCDEFGH,x150-卫星互联网
4,天奥电子,卫星本体-卫星分系统,四川-成都,,,,,,,,,ABCDEFGH,x150-卫星互联网
5,佳缘科技-300,卫星本体-卫星分系统,四川-成都,,,,,,,,,ABCDEFGH,x150-卫星互联网
6,航天电子,卫星本体-卫星载荷,湖北-武汉,,,,,,,,,ABCDEFGH,x150-卫星互联网
7,上海瀚讯-300,卫星本体-卫星载荷,上海,,,,,,,,,ABCDEFGH,x150-卫星互联网
8,信科移动-688,卫星本体-卫星载荷,湖北-武汉,,,,,,,,,ABCDEFGH,x150-卫星互联网
9,臻镭科技-688,卫星本体-卫星载荷,湖北-武汉,,,,,,,,,ABCDEFGH,x150-卫星互联网
10,奥普光电,卫星本体-卫星载荷,吉林-长春,,,,,,,,,ABCDEFGH,x150-卫星互联网
11,国机精工,卫星本体-部件与材料,河南-洛阳,,,,,,,,,ABCDEFGH,x150-卫星互联网
12,光威复材-300,卫星本体-部件与材料,威海,,,,,,,,,ABCDEFGH,x150-卫星互联网
13,宝钛股份,卫星本体-部件与材料,陕西-宝鸡,,,,,,,,,ABCDEFGH,x150-卫星互联网
14,西部材料,卫星本体-部件与材料,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
15,西部超导-688,卫星本体-部件与材料,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
16,铂力特-688,卫星本体-部件与材料,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
17,上海港湾,卫星本体-部件与材料,,卫星太阳能帆板及电源系统，由子公司伏羲提供,,,,,,,,ABCDEFGH,x150-卫星互联网
18,中国卫星,卫星本体-卫星制造,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
19,银河电子,卫星本体-卫星制造,江苏-苏州,,,,,,,,,ABCDEFGH,x150-卫星互联网
20,上海沪工,卫星本体-卫星制造,上海,,,,,,,,,ABCDEFGH,x150-卫星互联网
21,西测测试-300,卫星本体-卫星监测,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
22,苏试试验-300,卫星本体-卫星监测,江苏-苏州,,,,,,,,,ABCDEFGH,x150-卫星互联网
23,北摩高科,卫星本体-卫星监测,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
24,航天智装-300,卫星本体-卫星监测,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
25,晨曦航空-300,卫星发射-火箭部件,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
26,赛微电子-300,卫星发射-火箭部件,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
27,星网宇达,卫星发射-火箭部件,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
28,中航光电,卫星发射-火箭部件,河南-洛阳,,,,,,,,,ABCDEFGH,x150-卫星互联网
29,航天电器,卫星发射-火箭部件,贵州-贵阳,,,,,,,,,ABCDEFGH,x150-卫星互联网
30,振华科技,卫星发射-火箭部件,贵州-贵阳,,,,,,,,,ABCDEFGH,x150-卫星互联网
31,航宇微-300,卫星发射-火箭部件,广东-珠海,,,,,,,,,ABCDEFGH,x150-卫星互联网
32,全信股份-300,卫星发射-火箭部件,江苏-南京,,,,,,,,,ABCDEFGH,x150-卫星互联网
33,通达股份,卫星发射-火箭部件,河南-洛阳,,,,,,,,,ABCDEFGH,x150-卫星互联网
34,新雷能-300,卫星发射-火箭部件,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
35,博云新材,卫星发射-火箭部件,湖南-长沙,,,,,,,,,ABCDEFGH,x150-卫星互联网
36,钢研高纳-300,卫星发射-火箭部件,北京,,,,,,,,,ABCDEFGH,x150-卫星互联网
37,龙溪股份,卫星发射-火箭部件,福建-漳州,,,,,,,,,ABCDEFGH,x150-卫星互联网
38,德恩精工-300,卫星发射-火箭部件,四川-眉山,,,,,,,,,ABCDEFGH,x150-卫星互联网
39,飞沃科技-300,卫星发射-火箭部件,湖南-常德,,,,,,,,,ABCDEFGH,x150-卫星互联网
40,航天动力,卫星发射-火箭动力,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
41,九丰能源,卫星发射-火箭动力,江西-赣州,,,,,,,,,ABCDEFGH,x150-卫星互联网
42,斯瑞新材-688,卫星发射-火箭动力,陕西-西安,,,,,,,,,ABCDEFGH,x150-卫星互联网
43,航天晨光,卫星发射-火箭动力,江苏-南京,,,,,,,,,ABCDEFGH,x150-卫星互联网
44,富瑞特装-300,卫星发射-火箭动力,江苏-苏州,,,,,,,,,ABCDEFGH,x150-卫星互联网
