序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,电源,,,分为通信电源， 光伏电源，不间断电源，服务器电源，特种电源,,,,,,,,ABCDEFGH,x151-电源
2,中恒电气,通信电源,浙江-杭州,通信电源市占率A股第一,,,,,,,,ABCDEFGH,x151-电源
3,动力源,通信电源,北京,,,,,,,,,ABCDEFGH,x151-电源
4,普铭光磁,通信电源,广东-东莞,,,,,,,,,ABCDEFGH,x151-电源
5,科泰电源,通信电源,上海,数据中心电源占营收51%,,,,,,,,ABCDEFGH,x151-电源
6,茂硕电源,通信电源,深圳,公司产品包含通信电源,,,,,,,,ABCDEFGH,x151-电源
7,英杰电气-300,光伏电源,四川-德阳,光伏电源市占率A股第一,,,,,,,,ABCDEFGH,x151-电源
8,爱科赛博-688,光伏电源,陕西-西安,,,,,,,,,ABCDEFGH,x151-电源
9,科华数据,不间断电源,福建-厦门,UPS市占率A股第一,,,,,,,,ABCDEFGH,x151-电源
10,科士达,不间断电源,深圳,,,,,,,,,ABCDEFGH,x151-电源
11,英威腾,不间断电源,深圳,,,,,,,,,ABCDEFGH,x151-电源
12,欧陆通-300,服务器电源,深圳,服务器电源营收A股第一,,,,,,,,ABCDEFGH,x151-电源
13,泰嘉股份,服务器电源,湖南-长沙,,,,,,,,,ABCDEFGH,x151-电源
14,麦格米特,服务器电源,深圳,,,,,,,,,ABCDEFGH,x151-电源
15,同洲电子,服务器电源,深圳,高功率电源业务,,,,,,,,ABCDEFGH,x151-电源
16,新雷能-300,特种电源,北京,特种领域：航天科工，航天科技，中电科等，铁路等,,,,,,,,ABCDEFGH,x151-电源
17,航天长峰,特种电源,北京,,,,,,,,,ABCDEFGH,x151-电源
18,甘化科工,特种电源,广东-江门,,,,,,,,,ABCDEFGH,x151-电源
19,通合科技-300,特种电源,河北-石家庄,,,,,,,,,ABCDEFGH,x151-电源
20,宏达电子-300,特种电源,湖南-株洲,,,,,,,,,ABCDEFGH,x151-电源
