序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,国产芯片分为,,,"CPU,GPU,AI芯片",,,,,,,,ABCDEFGH,x152-国产芯片
2,中国长城,CPU,,ARM架构,,,,,,,,ABCDEFGH,x152-国产芯片
3,海光信息,CPU,,X86,,,,,,,,ABCDEFGH,x152-国产芯片
4,龙芯中科,CPU,,LoongArch 指令集,,,,,,,,ABCDEFGH,x152-国产芯片
5,卓易信息,CPU,,,,,,,,,,ABCDEFGH,x152-国产芯片
6,澜起科技,CPU,,,,,,,,,,ABCDEFGH,x152-国产芯片
7,万通发展,CPU,,PCIe 交换芯片进度A股第2,,,,,,,,ABCDEFGH,x152-国产芯片
8,景嘉微,GPU,,国产GPU进度第一，拥有4款GPU产品,,,,,,,,ABCDEFGH,x152-国产芯片
9,东芯股份,GPU,,,,,,,,,,ABCDEFGH,x152-国产芯片
10,华东重机,GPU,,拟收购公司锐信图芯从事GPU芯片研发业务,,,,,,,,ABCDEFGH,x152-国产芯片
11,旋极信息,GPU,,公司持股的浙江曲速主要从事类GPU芯片,,,,,,,,ABCDEFGH,x152-国产芯片
12,好利科技,GPU,,公司曾持股合肥曲速超维集成电路有限公司股权,,,,,,,,ABCDEFGH,x152-国产芯片
13,和而泰,GPU,,参股摩尔线程股份比例A股第一，,,,,,,,,ABCDEFGH,x152-国产芯片
14,初灵信息,GPU,,参股摩尔线程,,,,,,,,ABCDEFGH,x152-国产芯片
15,寒武纪,AI芯片,,国产AI芯片进度A股第一,,,,,,,,ABCDEFGH,x152-国产芯片
16,澜起科技,AI芯片,,国产AI芯片进度A股第二,,,,,,,,ABCDEFGH,x152-国产芯片
