序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,算力租赁分为：,,,算力规划，智算中心，算力调度,,,,,,,,ABCDEFGH,x153-算力租赁
2,弘信电子-300,算力规划-万P,福建-厦门,,,,,,,,,ABCDEFGH,x153-算力租赁
3,首都在线,算力规划-万P,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
4,恒瑞股份,算力规划-万P,江苏-无锡,,,,,,,,,ABCDEFGH,x153-算力租赁
5,莲华控股,算力规划-万P,,,,,,,,,,ABCDEFGH,x153-算力租赁
6,中贝通信,算力规划-万P,湖北-武汉,,,,,,,,,ABCDEFGH,x153-算力租赁
7,汇纳科技-300,算力规划-万P,上海,,,,,,,,,ABCDEFGH,x153-算力租赁
8,真视通,算力规划-万P,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
9,亚康股份-300,算力规划-万P,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
10,锦鸡股份-300,算力规划-万P,江苏-泰州,,,,,,,,,ABCDEFGH,x153-算力租赁
11,优刻得-688,算力规划-万P,上海,,,,,,,,,ABCDEFGH,x153-算力租赁
12,润建股份,算力规划-千P,广西-南宁,,,,,,,,,ABCDEFGH,x153-算力租赁
13,立昂技术-300,算力规划-千P,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x153-算力租赁
14,鸿博股份,算力规划-千P,福建-福州,,,,,,,,,ABCDEFGH,x153-算力租赁
15,创业黑马-300,算力规划-千P,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
16,云从科技-688,算力规划-千P,广州,,,,,,,,,ABCDEFGH,x153-算力租赁
17,奥雅股份-300,算力规划-千P,深圳,,,,,,,,,ABCDEFGH,x153-算力租赁
18,恒为科技,智算中心-大型企业,上海,,,,,,,,,ABCDEFGH,x153-算力租赁
19,真视通,智算中心-大型企业,,,,,,,,,,ABCDEFGH,x153-算力租赁
20,元道通信-300,智算中心-大型企业,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x153-算力租赁
21,马钢股份,智算中心-大型企业,安徽-马鞍山,,,,,,,,,ABCDEFGH,x153-算力租赁
22,电子城,智算中心-地区智算,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
23,弘信电子,智算中心-地区智算,福建-厦门,,,,,,,,,ABCDEFGH,x153-算力租赁
24,超讯通信,智算中心-地区智算,广州,,,,,,,,,ABCDEFGH,x153-算力租赁
25,利通电子,智算中心-地区智算,江苏-无锡,,,,,,,,,ABCDEFGH,x153-算力租赁
26,朗科科技-300,智算中心-地区智算,深圳,,,,,,,,,ABCDEFGH,x153-算力租赁
27,达华智能,智算中心-地区智算,福建-福州,,,,,,,,,ABCDEFGH,x153-算力租赁
28,中安科,智算中心-地区智算,湖北-武汉,,,,,,,,,ABCDEFGH,x153-算力租赁
29,航锦科技,智算中心-地区智算,辽宁-葫芦岛,,,,,,,,,ABCDEFGH,x153-算力租赁
30,华胜天成,智算中心-地区智算,北京,混合云，运管，安管，信创， 天津2个长期运营数据中心,,,,,,,,ABCDEFGH,x153-算力租赁
31,中电鑫龙,智算中心-地区智算,安徽-芜湖,,,,,,,,,ABCDEFGH,x153-算力租赁
32,湖北广电,智算中心-地区智算,湖北-武汉,,,,,,,,,ABCDEFGH,x153-算力租赁
33,园林股份,智算中心-地区智算,浙江-杭州,,,,,,,,,ABCDEFGH,x153-算力租赁
34,嘉环科技,智算中心-地区智算,江苏-南京,,,,,,,,,ABCDEFGH,x153-算力租赁
35,广安爱众,智算中心-地区智算,四川-广安,,,,,,,,,ABCDEFGH,x153-算力租赁
36,中科金财,智算中心-自建智算,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
37,测绘股份-300,智算中心-自建智算,江苏-南京,,,,,,,,,ABCDEFGH,x153-算力租赁
38,东方材料,智算中心-自建智算,安徽-合肥,,,,,,,,,ABCDEFGH,x153-算力租赁
39,大位科技,智算中心-自建智算,广东-揭阳,,,,,,,,,ABCDEFGH,x153-算力租赁
40,奥瑞德,智算中心-自建智算,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x153-算力租赁
41,电光科技,智算中心-自建智算,浙江-温州,,,,,,,,,ABCDEFGH,x153-算力租赁
42,杭钢股份,智算中心-自建智算,浙江-杭州,,,,,,,,,ABCDEFGH,x153-算力租赁
43,艾布鲁-300,智算中心-自建智算,湖南-长沙,,,,,,,,,ABCDEFGH,x153-算力租赁
44,浙数文化,智算中心-自建智算,浙江-杭州,,,,,,,,,ABCDEFGH,x153-算力租赁
45,海南华铁,智算中心-自建智算,这件g-hangzhou,,,,,,,,,ABCDEFGH,x153-算力租赁
46,宏景科技-300,智算中心-自建智算,广州,,,,,,,,,ABCDEFGH,x153-算力租赁
47,亿田智能-300,智算中心-自建智算,浙江-绍兴,,,,,,,,,ABCDEFGH,x153-算力租赁
48,福鞍股份,智算中心-自建智算,辽宁-鞍山,,,,,,,,,ABCDEFGH,x153-算力租赁
49,甘咨询,智算中心-自建智算,甘肃-兰州,,,,,,,,,ABCDEFGH,x153-算力租赁
50,宁夏建材,智算中心-自建智算,宁夏-银川,,,,,,,,,ABCDEFGH,x153-算力租赁
51,锦龙股份,智算中心-自建智算,广东-东莞,,,,,,,,,ABCDEFGH,x153-算力租赁
52,恒为科技,算力调度-算力调优,上海,,,,,,,,,ABCDEFGH,x153-算力租赁
53,中科金财,算力调度-算力调优,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
54,首都在线,算力调度-调度平台,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
55,思特奇-300,算力调度-调度平台,北京,,,,,,,,,ABCDEFGH,x153-算力租赁
