序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,液冷数据中心分为：,,,液冷方案，热铺货，热交换，热发散，液冷测试，两大巨头,,,,,,,,ABCDEFGH,x154-液冷数据中心
2,英维克,液冷方案,深圳,,,,,,,,,ABCDEFGH,x154-液冷数据中心
3,高澜股份-300,液冷方案,广州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
4,网宿科技-300,液冷方案,上海,,,,,,,,,ABCDEFGH,x154-液冷数据中心
5,申菱环境-300,液冷方案,广东-佛山,,,,,,,,,ABCDEFGH,x154-液冷数据中心
6,中鼎股份,液冷方案,安徽-宣城,,,,,,,,,ABCDEFGH,x154-液冷数据中心
7,淳中科技,热捕获-冷头,北京,,,,,,,,,ABCDEFGH,x154-液冷数据中心
8,科创新源-300,热捕获-液冷板,深圳,,,,,,,,,ABCDEFGH,x154-液冷数据中心
9,思泉新材-300,热捕获-液冷板,广东-东莞,,,,,,,,,ABCDEFGH,x154-液冷数据中心
10,硕贝德-300,热捕获-液冷板,广东-惠州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
11,飞荣达-300,热捕获-液冷板,深圳,,,,,,,,,ABCDEFGH,x154-液冷数据中心
12,中石科技-300,热捕获-液冷板,北京,,,,,,,,,ABCDEFGH,x154-液冷数据中心
13,华信新材-300,热捕获-液冷板,江苏-徐州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
14,康盛股份,热捕获-液冷板,浙江-杭州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
15,博威合金,热捕获-液冷板,浙江-宁波,,,,,,,,,ABCDEFGH,x154-液冷数据中心
16,三美股份,热捕获-制冷剂,浙江-金华,,,,,,,,,ABCDEFGH,x154-液冷数据中心
17,巨化股份,热捕获-制冷剂,浙江-衢州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
18,昊华科技,热捕获-制冷剂,四川-成都,,,,,,,,,ABCDEFGH,x154-液冷数据中心
19,永和股份,热捕获-制冷剂,浙江-衢州,,,,,,,,,ABCDEFGH,x154-液冷数据中心
20,东阳光,热捕获-制冷剂,广东-韶关,,,,,,,,,ABCDEFGH,x154-液冷数据中心
21,英维克,热交换-液冷分配,深圳,,,,,,,,,ABCDEFGH,x154-液冷数据中心
22,同飞股份-300,热交换-液冷分配,河北-廊坊,,,,,,,,,ABCDEFGH,x154-液冷数据中心
